"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717745467455933E9,"2024-06-07 09:31:07.456 UTC+02:00"
"PAUSE",8.559122493333416E2,1.717746323367459E9,"2024-06-07 09:45:23.367 UTC+02:00"
