"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717739948108195E9,"2024-06-07 07:59:08.108 UTC+02:00"
"PAUSE",4.073333769583260E2,1.717740355444234E9,"2024-06-07 08:05:55.444 UTC+02:00"
"START",4.073333769583260E2,1.717740543700233E9,"2024-06-07 08:09:03.700 UTC+02:00"
"PAUSE",9.410118603333249E2,1.717741077382205E9,"2024-06-07 08:17:57.382 UTC+02:00"
