"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717745467617358E9,"2024-06-07 09:31:07.617 UTC+02:00"
"PAUSE",8.554154965416674E2,1.717746323057033E9,"2024-06-07 09:45:23.057 UTC+02:00"
