"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747975254134E9,"2024-06-07 10:12:55.254 UTC+02:00"
"PAUSE",7.187837964999999E2,1.717748694075144E9,"2024-06-07 10:24:54.075 UTC+02:00"
