"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,2.167483488E1
4.687500000E1,6.404181953E1
7.031250000E1,4.114448994E1
9.375000000E1,3.667889394E1
1.171875000E2,2.760398673E1
1.406250000E2,1.142788854E1
1.640625000E2,6.122846794E0
1.875000000E2,3.523895697E1
2.109375000E2,4.209691234E0
2.343750000E2,4.864552687E0
2.578125000E2,6.841859235E0
2.812500000E2,5.697247983E0
3.046875000E2,3.233105365E0
3.281250000E2,9.069658606E0
3.515625000E2,1.399404886E1
3.750000000E2,2.982114007E0
3.984375000E2,1.493628854E0
4.218750000E2,1.976312510E0
4.453125000E2,2.765596269E0
4.687500000E2,2.674338556E0
4.921875000E2,1.897082217E0
5.156250000E2,2.215854197E0
5.390625000E2,9.906259852E-1
5.625000000E2,5.029539095E-1
5.859375000E2,1.135076142E0
6.093750000E2,1.841468586E-1
6.328125000E2,8.862579359E-1
6.562500000E2,2.910562910E0
6.796875000E2,1.641272605E0
7.031250000E2,1.929577733E0
7.265625000E2,1.523007751E0
7.500000000E2,2.216029973E0
7.734375000E2,2.756598383E0
7.968750000E2,2.093258710E0
8.203125000E2,2.540360040E0
8.437500000E2,2.253324878E0
8.671875000E2,4.652401160E-1
8.906250000E2,1.985543086E0
9.140625000E2,1.386989991E0
9.375000000E2,5.935536443E-1
9.609375000E2,5.962985048E-1
9.843750000E2,3.216343129E-1
1.007812500E3,1.985362110E-1
1.031250000E3,9.165786865E-1
1.054687500E3,8.351101977E-1
1.078125000E3,9.923870389E-1
1.101562500E3,7.374144297E-1
1.125000000E3,6.365971390E-1
1.148437500E3,9.826471088E-1
1.171875000E3,2.292547493E-1
1.195312500E3,6.632294532E-1
1.218750000E3,1.653744715E-1
1.242187500E3,1.351802983E-1
1.265625000E3,3.556550070E-1
1.289062500E3,5.112165434E-1
1.312500000E3,6.378528864E-1
1.335937500E3,9.335060185E-1
1.359375000E3,3.392276631E-1
1.382812500E3,7.738431610E-2
1.406250000E3,2.369203240E-1
1.429687500E3,7.367231895E-1
1.453125000E3,3.131276978E-1
1.476562500E3,7.835833881E-1
1.500000000E3,3.600971142E-1
1.523437500E3,2.608862011E-1
1.546875000E3,5.298559383E-1
1.570312500E3,7.501548996E-1
1.593750000E3,3.400805515E-1
1.617187500E3,1.294738040E-1
1.640625000E3,6.544815642E-1
1.664062500E3,4.167141185E-1
1.687500000E3,4.464512600E-1
1.710937500E3,2.988249118E-1
1.734375000E3,5.625526806E-1
1.757812500E3,2.011046124E-1
1.781250000E3,5.832035598E-1
1.804687500E3,3.743155997E-1
1.828125000E3,2.860800889E-1
1.851562500E3,3.285296722E-1
1.875000000E3,2.949818328E-1
1.898437500E3,2.066049181E-1
1.921875000E3,6.540006358E-1
1.945312500E3,6.689942346E-1
1.968750000E3,6.809238866E-1
1.992187500E3,8.603416064E-1
2.015625000E3,4.318081122E-1
2.039062500E3,5.226573833E-1
2.062500000E3,5.641024937E-1
2.085937500E3,1.822183088E0
2.109375000E3,1.825600973E0
2.132812500E3,4.679468744E-1
2.156250000E3,6.065577857E-2
2.179687500E3,3.983192649E-1
2.203125000E3,3.052057872E-1
2.226562500E3,7.181353441E-1
2.250000000E3,3.266281828E-1
2.273437500E3,1.853548417E0
2.296875000E3,5.912676994E-1
2.320312500E3,5.314549260E-1
2.343750000E3,1.049766158E-1
2.367187500E3,4.865757818E-1
2.390625000E3,1.382436515E0
2.414062500E3,9.605264566E-1
2.437500000E3,2.145903605E-1
2.460937500E3,1.485501529E-1
2.484375000E3,5.816784666E-1
2.507812500E3,5.308127776E-1
2.531250000E3,7.315750229E-1
2.554687500E3,1.966732237E-1
2.578125000E3,4.752861358E-1
2.601562500E3,9.977866284E-1
2.625000000E3,3.381901327E0
2.648437500E3,1.155507718E0
2.671875000E3,5.503419613E-1
2.695312500E3,1.395853441E0
2.718750000E3,1.470895136E0
2.742187500E3,1.499851038E0
2.765625000E3,7.769041867E-1
2.789062500E3,1.307607700E0
2.812500000E3,6.314221892E-1
2.835937500E3,3.260432711E0
2.859375000E3,2.359998960E0
2.882812500E3,9.096526055E-1
2.906250000E3,1.535841721E-1
2.929687500E3,1.136462098E0
2.953125000E3,3.461368154E-1
2.976562500E3,7.303537689E-2
3.000000000E3,3.747469217E-1
3.023437500E3,6.812450681E-1
3.046875000E3,1.196466934E-1
3.070312500E3,7.621724423E-1
3.093750000E3,6.446611638E-1
3.117187500E3,5.642040423E-1
3.140625000E3,5.573435810E-1
3.164062500E3,2.184194092E-1
3.187500000E3,5.859609288E-1
3.210937500E3,7.349581073E-1
3.234375000E3,6.417728052E-1
3.257812500E3,7.310820615E-1
3.281250000E3,6.452799741E-1
3.304687500E3,1.721445026E-1
3.328125000E3,4.447380802E-1
3.351562500E3,2.784411176E-1
3.375000000E3,2.851136158E-1
3.398437500E3,2.053415019E-1
3.421875000E3,2.984099931E-1
3.445312500E3,2.366298376E-1
3.468750000E3,2.342328496E-1
3.492187500E3,7.559355385E-1
3.515625000E3,2.517341051E-1
3.539062500E3,3.153464640E-1
3.562500000E3,2.349678334E-1
3.585937500E3,2.338242579E-1
3.609375000E3,1.029461122E-1
3.632812500E3,3.426981335E-1
3.656250000E3,2.034397377E-1
3.679687500E3,1.752523075E-1
3.703125000E3,1.584424065E-1
3.726562500E3,3.032516179E-1
3.750000000E3,2.639974392E-1
3.773437500E3,3.825958514E-1
3.796875000E3,4.173886894E-1
3.820312500E3,4.291467317E-1
3.843750000E3,4.079740263E-1
3.867187500E3,2.837448876E-1
3.890625000E3,4.442816255E-1
3.914062500E3,5.303951232E-2
3.937500000E3,3.557942468E-1
3.960937500E3,5.149113264E-2
3.984375000E3,3.303460932E-1
4.007812500E3,1.620283839E-1
4.031250000E3,3.002544931E-1
4.054687500E3,3.240160321E-2
4.078125000E3,3.655082505E-1
4.101562500E3,3.227409970E-1
4.125000000E3,2.366634286E-1
4.148437500E3,6.010016976E-1
4.171875000E3,9.897280514E-1
4.195312500E3,7.965425959E-1
4.218750000E3,2.825851599E-1
4.242187500E3,6.764024461E-1
4.265625000E3,2.973780798E-1
4.289062500E3,1.109435199E-1
4.312500000E3,2.846472446E-1
4.335937500E3,2.450512039E-1
4.359375000E3,1.230421430E0
4.382812500E3,9.223936440E-1
4.406250000E3,3.394058114E-1
4.429687500E3,4.236516240E-2
4.453125000E3,2.110237255E-1
4.476562500E3,5.693801550E-1
4.500000000E3,5.479395030E-1
4.523437500E3,5.812974284E-2
4.546875000E3,4.286370623E-1
4.570312500E3,2.010256041E-1
4.593750000E3,3.313635274E-1
4.617187500E3,1.492384486E-1
4.640625000E3,3.335804667E-1
4.664062500E3,2.100111020E-1
4.687500000E3,1.935131477E-1
4.710937500E3,4.042289072E-1
4.734375000E3,2.680350866E-1
4.757812500E3,9.916732391E-2
4.781250000E3,7.876892805E-2
4.804687500E3,6.146481728E-2
4.828125000E3,1.977187538E-1
4.851562500E3,8.499866061E-2
4.875000000E3,1.541049740E-1
4.898437500E3,4.063204227E-1
4.921875000E3,4.491572249E-1
4.945312500E3,2.307580129E-1
4.968750000E3,2.311388283E-1
4.992187500E3,7.877861139E-2
5.015625000E3,2.290598316E-1
5.039062500E3,7.968771967E-2
5.062500000E3,9.175245880E-2
5.085937500E3,1.212406019E-1
5.109375000E3,3.461028542E-1
5.132812500E3,1.960411720E-1
5.156250000E3,1.951667272E-1
5.179687500E3,2.279534418E-1
5.203125000E3,1.502506403E-1
5.226562500E3,1.666320746E-1
5.250000000E3,2.263831296E-1
5.273437500E3,1.954940137E-1
5.296875000E3,2.074747787E-1
5.320312500E3,1.899396576E-1
5.343750000E3,1.839938037E-1
5.367187500E3,1.771547075E-1
5.390625000E3,1.278543220E-1
5.414062500E3,1.999867606E-1
5.437500000E3,1.684122021E-1
5.460937500E3,2.611932990E-1
5.484375000E3,1.398522576E-1
5.507812500E3,1.033089618E-1
5.531250000E3,3.558762566E-1
5.554687500E3,2.347120782E-1
5.578125000E3,3.635283081E-2
5.601562500E3,3.051033379E-1
5.625000000E3,1.540513602E-1
5.648437500E3,1.129546555E-1
5.671875000E3,1.123912937E-1
5.695312500E3,1.696481717E-1
5.718750000E3,2.147228713E-1
5.742187500E3,2.120233114E-1
5.765625000E3,1.641547120E-1
5.789062500E3,2.716225393E-1
5.812500000E3,1.252881900E-1
5.835937500E3,1.312095302E-1
5.859375000E3,2.523432946E-1
5.882812500E3,1.158267165E-1
5.906250000E3,7.172364801E-2
5.929687500E3,6.145540279E-2
5.953125000E3,1.644607297E-1
5.976562500E3,9.282653126E-2
6.000000000E3,2.136718652E-1
6.023437500E3,2.670519099E-2
6.046875000E3,1.428603050E-2
6.070312500E3,1.761549419E-1
6.093750000E3,3.980363558E-2
6.117187500E3,1.269089459E-1
6.140625000E3,1.662411726E-2
6.164062500E3,1.285964738E-1
6.187500000E3,1.322717191E-1
6.210937500E3,6.786566614E-2
6.234375000E3,3.202222761E-2
6.257812500E3,5.930029127E-2
6.281250000E3,1.857728787E-1
6.304687500E3,2.116141363E-1
6.328125000E3,1.663003526E-1
6.351562500E3,5.214994671E-2
6.375000000E3,1.146554488E-1
6.398437500E3,7.594359701E-2
6.421875000E3,7.265461427E-2
6.445312500E3,5.206903897E-2
6.468750000E3,7.232398990E-3
6.492187500E3,4.535733793E-2
6.515625000E3,5.606453730E-2
6.539062500E3,7.674330332E-2
6.562500000E3,3.230597597E-2
6.585937500E3,2.572371377E-2
6.609375000E3,9.351347863E-2
6.632812500E3,1.054328523E-1
6.656250000E3,1.179460947E-1
6.679687500E3,1.366252734E-1
6.703125000E3,1.425910657E-1
6.726562500E3,1.441862563E-1
6.750000000E3,1.608196689E-1
6.773437500E3,1.587338640E-1
6.796875000E3,1.688918985E-1
6.820312500E3,1.411548468E-1
6.843750000E3,5.657667713E-2
6.867187500E3,5.008559849E-2
6.890625000E3,1.852546953E-1
6.914062500E3,1.442917274E-1
6.937500000E3,1.144149413E-1
6.960937500E3,9.758032781E-2
6.984375000E3,1.243939836E-1
7.007812500E3,9.579555744E-2
7.031250000E3,9.033481569E-2
7.054687500E3,6.322091989E-2
7.078125000E3,8.321033441E-2
7.101562500E3,7.782646809E-2
7.125000000E3,5.871916028E-2
7.148437500E3,6.926004184E-2
7.171875000E3,1.163546054E-1
7.195312500E3,1.282783379E-1
7.218750000E3,1.066699723E-1
7.242187500E3,1.143175008E-1
7.265625000E3,1.350352702E-1
7.289062500E3,6.770307829E-2
7.312500000E3,1.008710304E-1
7.335937500E3,1.054844631E-1
7.359375000E3,3.586985871E-2
7.382812500E3,9.542478552E-2
7.406250000E3,1.168124568E-1
7.429687500E3,5.984760504E-2
7.453125000E3,6.704975548E-2
7.476562500E3,9.786640175E-2
7.500000000E3,9.865282692E-2
7.523437500E3,4.282210737E-2
7.546875000E3,8.984152590E-2
7.570312500E3,9.782760287E-2
7.593750000E3,1.247510921E-1
7.617187500E3,8.761795173E-2
7.640625000E3,1.172072771E-1
7.664062500E3,7.662162254E-2
7.687500000E3,9.094718370E-2
7.710937500E3,8.710659684E-2
7.734375000E3,1.021101656E-1
7.757812500E3,5.708192836E-2
7.781250000E3,8.344598360E-2
7.804687500E3,4.501333699E-2
7.828125000E3,4.314449480E-2
7.851562500E3,8.269349421E-2
7.875000000E3,8.338291534E-2
7.898437500E3,9.306327681E-2
7.921875000E3,1.105485213E-1
7.945312500E3,6.717721552E-2
7.968750000E3,5.271835100E-2
7.992187500E3,5.938644825E-2
8.015625000E3,4.359000662E-2
8.039062500E3,8.470688209E-2
8.062500000E3,1.132149728E-1
8.085937500E3,7.986225214E-2
8.109375000E3,4.251998849E-2
8.132812500E3,5.625398538E-2
8.156250000E3,1.047458406E-1
8.179687500E3,9.759339608E-2
8.203125000E3,8.785466038E-2
8.226562500E3,1.031382057E-1
8.250000000E3,8.104753825E-2
8.273437500E3,1.014032228E-1
8.296875000E3,3.608252015E-2
8.320312500E3,7.330398960E-2
8.343750000E3,7.569354178E-2
8.367187500E3,6.404852009E-2
8.390625000E3,6.284517913E-2
8.414062500E3,8.968689642E-2
8.437500000E3,6.979012019E-2
8.460937500E3,9.381338855E-2
8.484375000E3,9.747002845E-2
8.507812500E3,8.797453106E-2
8.531250000E3,5.153941458E-2
8.554687500E3,7.477173958E-2
8.578125000E3,7.833417192E-2
8.601562500E3,9.015857603E-2
8.625000000E3,5.058138116E-2
8.648437500E3,9.528797842E-2
8.671875000E3,9.461245014E-2
8.695312500E3,7.843613576E-2
8.718750000E3,6.680011118E-2
8.742187500E3,7.098955849E-2
8.765625000E3,7.758327209E-2
8.789062500E3,6.233339842E-2
8.812500000E3,6.999280832E-2
8.835937500E3,5.328943298E-2
8.859375000E3,8.946932008E-2
8.882812500E3,9.787818042E-2
8.906250000E3,9.513995143E-2
8.929687500E3,6.985374290E-2
8.953125000E3,6.774606884E-2
8.976562500E3,5.052907832E-2
9.000000000E3,8.531452850E-2
9.023437500E3,8.257829571E-2
9.046875000E3,7.277670519E-2
9.070312500E3,7.207062086E-2
9.093750000E3,7.061736570E-2
9.117187500E3,6.701652319E-2
9.140625000E3,6.482199536E-2
9.164062500E3,8.611186649E-2
9.187500000E3,8.486122896E-2
9.210937500E3,1.139902790E-1
9.234375000E3,8.525762116E-2
9.257812500E3,9.491371484E-2
9.281250000E3,8.789438910E-2
9.304687500E3,4.242415116E-2
9.328125000E3,3.850925541E-2
9.351562500E3,7.583559756E-2
9.375000000E3,1.086509072E-1
9.398437500E3,7.256385938E-2
9.421875000E3,9.055338458E-2
9.445312500E3,9.565811397E-2
9.468750000E3,6.324298452E-2
9.492187500E3,5.190436901E-2
9.515625000E3,6.513708011E-2
9.539062500E3,6.616720086E-2
9.562500000E3,7.277578627E-2
9.585937500E3,8.978226752E-2
9.609375000E3,1.071187425E-1
9.632812500E3,9.380624294E-2
9.656250000E3,9.688128297E-2
9.679687500E3,8.618565836E-2
9.703125000E3,8.828088678E-2
9.726562500E3,8.734227547E-2
9.750000000E3,1.104022670E-1
9.773437500E3,1.467903400E-1
9.796875000E3,1.186253271E-1
9.820312500E3,1.255368442E-1
9.843750000E3,1.225140479E-1
9.867187500E3,1.499215488E-1
9.890625000E3,1.817550354E-1
9.914062500E3,1.642795765E-1
9.937500000E3,1.845532413E-1
9.960937500E3,1.819933780E-1
9.984375000E3,1.573913898E-1
1.000781250E4,1.881328665E-1
1.003125000E4,1.616945567E-1
1.005468750E4,1.877597932E-1
1.007812500E4,1.807933090E-1
1.010156250E4,1.790899683E-1
1.012500000E4,1.789970091E-1
1.014843750E4,2.231895119E-1
1.017187500E4,1.941879939E-1
1.019531250E4,2.017589223E-1
1.021875000E4,2.008208629E-1
1.024218750E4,1.654441560E-1
1.026562500E4,1.517806165E-1
1.028906250E4,1.329420590E-1
1.031250000E4,1.211780994E-1
1.033593750E4,1.187664317E-1
1.035937500E4,7.792617084E-2
1.038281250E4,9.144510225E-2
1.040625000E4,6.979379587E-2
1.042968750E4,6.026067611E-2
1.045312500E4,2.856314155E-2
1.047656250E4,2.484593945E-2
1.050000000E4,3.784557634E-2
1.052343750E4,3.150873181E-2
1.054687500E4,5.190247135E-2
1.057031250E4,4.990604637E-2
1.059375000E4,3.884343559E-2
1.061718750E4,5.131942796E-2
1.064062500E4,7.002741630E-2
1.066406250E4,6.661646802E-2
1.068750000E4,7.821028728E-2
1.071093750E4,7.124133467E-2
1.073437500E4,5.614201810E-2
1.075781250E4,6.403034813E-2
1.078125000E4,6.595833402E-2
1.080468750E4,6.108481348E-2
1.082812500E4,5.572166344E-2
1.085156250E4,2.889614378E-2
1.087500000E4,6.632828769E-2
1.089843750E4,5.056921053E-2
1.092187500E4,4.770456542E-2
1.094531250E4,4.804942376E-2
1.096875000E4,3.539210046E-2
1.099218750E4,6.008704380E-2
1.101562500E4,2.497487140E-2
1.103906250E4,1.755654039E-2
1.106250000E4,4.961611889E-2
1.108593750E4,3.699526588E-2
1.110937500E4,3.693610521E-2
1.113281250E4,4.769224691E-2
1.115625000E4,5.180687792E-2
1.117968750E4,2.288984995E-2
1.120312500E4,5.110571977E-2
1.122656250E4,4.475665443E-2
1.125000000E4,5.513432388E-2
1.127343750E4,4.667304532E-2
1.129687500E4,5.020316543E-2
1.132031250E4,6.600102845E-2
1.134375000E4,5.707858183E-2
1.136718750E4,7.127144118E-2
1.139062500E4,6.131886754E-2
1.141406250E4,5.509511419E-2
1.143750000E4,6.186912590E-2
1.146093750E4,4.099139967E-2
1.148437500E4,4.632662648E-2
1.150781250E4,4.213757596E-2
1.153125000E4,5.056960335E-2
1.155468750E4,5.019302924E-2
1.157812500E4,4.572463514E-2
1.160156250E4,4.697615174E-2
1.162500000E4,3.373653385E-2
1.164843750E4,3.828059185E-2
1.167187500E4,5.355514114E-2
1.169531250E4,4.964475847E-2
1.171875000E4,4.877758209E-2
1.174218750E4,4.254049117E-2
1.176562500E4,5.171773594E-2
1.178906250E4,4.689532202E-2
1.181250000E4,4.515078212E-2
1.183593750E4,4.438516383E-2
1.185937500E4,5.200074301E-2
1.188281250E4,5.503066109E-2
1.190625000E4,4.606631470E-2
1.192968750E4,5.051665142E-2
1.195312500E4,4.219755151E-2
1.197656250E4,5.263263679E-2
1.200000000E4,6.296854715E-2
1.202343750E4,4.090811520E-2
1.204687500E4,4.237935390E-2
1.207031250E4,5.420752848E-2
1.209375000E4,4.324253505E-2
1.211718750E4,4.339076994E-2
1.214062500E4,4.552805034E-2
1.216406250E4,4.477010273E-2
1.218750000E4,5.360686791E-2
1.221093750E4,5.493677583E-2
1.223437500E4,5.394689684E-2
1.225781250E4,5.010868467E-2
1.228125000E4,4.814762298E-2
1.230468750E4,4.271172676E-2
1.232812500E4,4.388085179E-2
1.235156250E4,4.079556012E-2
1.237500000E4,4.705686373E-2
1.239843750E4,4.523900172E-2
1.242187500E4,3.593952457E-2
1.244531250E4,3.983085663E-2
1.246875000E4,4.867389655E-2
1.249218750E4,4.559896522E-2
1.251562500E4,4.504557725E-2
1.253906250E4,4.652389689E-2
1.256250000E4,4.703712980E-2
1.258593750E4,4.478262664E-2
1.260937500E4,3.680631605E-2
1.263281250E4,4.301242827E-2
1.265625000E4,4.753610256E-2
1.267968750E4,4.474043676E-2
1.270312500E4,4.478984093E-2
1.272656250E4,4.868211212E-2
1.275000000E4,4.037580321E-2
1.277343750E4,4.232350736E-2
1.279687500E4,5.281233455E-2
1.282031250E4,3.955087926E-2
1.284375000E4,3.783601241E-2
1.286718750E4,4.047269770E-2
1.289062500E4,4.271281289E-2
1.291406250E4,4.966624134E-2
1.293750000E4,3.909831460E-2
1.296093750E4,4.734699824E-2
1.298437500E4,4.343398102E-2
1.300781250E4,4.954480896E-2
1.303125000E4,4.113398666E-2
