"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717745468256085E9,"2024-06-07 09:31:08.256 UTC+02:00"
"PAUSE",8.552690269583836E2,1.717746323521749E9,"2024-06-07 09:45:23.522 UTC+02:00"
