"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717743154418383E9,"2024-06-07 08:52:34.418 UTC+02:00"
"PAUSE",9.087626329166815E2,1.717744063171787E9,"2024-06-07 09:07:43.172 UTC+02:00"
