"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747974901470E9,"2024-06-07 10:12:54.901 UTC+02:00"
"PAUSE",7.196156848333194E2,1.717748694516545E9,"2024-06-07 10:24:54.517 UTC+02:00"
