"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717747974904930E9,"2024-06-07 10:12:54.905 UTC+02:00"
"PAUSE",7.185879905417096E2,1.717748693489675E9,"2024-06-07 10:24:53.490 UTC+02:00"
