"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717746989918590E9,"2024-06-07 09:56:29.919 UTC+02:00"
"PAUSE",8.187906757500023E2,1.717747808708146E9,"2024-06-07 10:10:08.708 UTC+02:00"
