"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717739946575627E9,"2024-06-07 07:59:06.576 UTC+02:00"
"PAUSE",4.081383196664974E2,1.717740354713240E9,"2024-06-07 08:05:54.713 UTC+02:00"
"START",4.081383196664974E2,1.717740374877676E9,"2024-06-07 08:06:14.878 UTC+02:00"
"PAUSE",4.825509348746855E2,1.717740449290164E9,"2024-06-07 08:07:29.290 UTC+02:00"
"START",4.825509348746855E2,1.717740546836884E9,"2024-06-07 08:09:06.837 UTC+02:00"
"PAUSE",1.011674324666383E3,1.717741075959373E9,"2024-06-07 08:17:55.959 UTC+02:00"
