"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,2.413796046E1
4.687500000E1,6.953817542E1
7.031250000E1,1.165689826E1
9.375000000E1,4.570650078E0
1.171875000E2,1.515425480E1
1.406250000E2,2.006735200E1
1.640625000E2,8.240770032E0
1.875000000E2,1.805643767E1
2.109375000E2,1.862855977E1
2.343750000E2,8.348751011E0
2.578125000E2,7.131566475E0
2.812500000E2,1.031908027E1
3.046875000E2,7.320938453E0
3.281250000E2,1.744106477E1
3.515625000E2,2.766035072E1
3.750000000E2,4.986913056E0
3.984375000E2,4.435411725E0
4.218750000E2,3.477481590E0
4.453125000E2,2.173368762E0
4.687500000E2,3.450764946E-1
4.921875000E2,8.765796924E-1
5.156250000E2,1.497297540E0
5.390625000E2,1.900411983E0
5.625000000E2,2.728799411E-1
5.859375000E2,1.126165957E0
6.093750000E2,6.711443359E-1
6.328125000E2,8.198076397E-1
6.562500000E2,2.693142485E-1
6.796875000E2,1.385781500E0
7.031250000E2,2.711548102E-1
7.265625000E2,1.117330695E0
7.500000000E2,1.721588245E0
7.734375000E2,9.752364121E-1
7.968750000E2,7.353755459E-1
8.203125000E2,7.503314166E-1
8.437500000E2,9.071852541E-1
8.671875000E2,7.261949533E-1
8.906250000E2,4.546441200E-1
9.140625000E2,1.088766397E0
9.375000000E2,2.740887519E-1
9.609375000E2,7.270119153E-1
9.843750000E2,4.223779071E-1
1.007812500E3,7.151475442E-1
1.031250000E3,1.968392785E0
1.054687500E3,6.682365441E-1
1.078125000E3,1.295370641E0
1.101562500E3,5.496512280E-1
1.125000000E3,5.381171433E-1
1.148437500E3,5.087960404E-1
1.171875000E3,6.205100471E-1
1.195312500E3,3.433282322E-1
1.218750000E3,4.044933546E-1
1.242187500E3,9.342072640E-2
1.265625000E3,2.380639058E-1
1.289062500E3,3.077717790E-1
1.312500000E3,5.512770965E-1
1.335937500E3,7.559568486E-1
1.359375000E3,2.711762642E-1
1.382812500E3,2.858356508E-1
1.406250000E3,1.012420502E0
1.429687500E3,2.865749058E-1
1.453125000E3,4.317491060E-1
1.476562500E3,8.890876800E-2
1.500000000E3,4.850781967E-1
1.523437500E3,3.771746867E-1
1.546875000E3,2.163880649E-1
1.570312500E3,3.187551555E-1
1.593750000E3,2.240269800E-1
1.617187500E3,4.531920826E-1
1.640625000E3,5.192245557E-1
1.664062500E3,6.943311866E-2
1.687500000E3,4.944738433E-1
1.710937500E3,3.739543910E-1
1.734375000E3,5.482235042E-1
1.757812500E3,3.283447287E-1
1.781250000E3,9.648364099E-2
1.804687500E3,1.593797239E-2
1.828125000E3,3.926842310E-1
1.851562500E3,1.746648459E-1
1.875000000E3,6.357319136E-2
1.898437500E3,6.328613108E-1
1.921875000E3,2.607360693E-1
1.945312500E3,3.877788382E-1
1.968750000E3,5.797975502E-2
1.992187500E3,4.496934729E-1
2.015625000E3,1.167827476E-1
2.039062500E3,2.926990233E-1
2.062500000E3,1.972047227E-1
2.085937500E3,6.200008555E-1
2.109375000E3,3.476291540E-1
2.132812500E3,3.843843030E-1
2.156250000E3,4.664914982E-1
2.179687500E3,4.503254426E-1
2.203125000E3,3.834733077E-1
2.226562500E3,6.576859363E-1
2.250000000E3,3.478742626E-1
2.273437500E3,6.419815566E-1
2.296875000E3,5.901469357E-1
2.320312500E3,4.342391520E-1
2.343750000E3,6.770335372E-1
2.367187500E3,6.792609998E-1
2.390625000E3,2.633319080E-1
2.414062500E3,1.090187574E-1
2.437500000E3,1.691150932E-1
2.460937500E3,3.674326081E-1
2.484375000E3,6.933813026E-1
2.507812500E3,5.371232935E-1
2.531250000E3,3.072201515E-1
2.554687500E3,8.946253373E-1
2.578125000E3,1.104183630E0
2.601562500E3,1.337121963E-1
2.625000000E3,2.193795883E-1
2.648437500E3,2.326827944E-1
2.671875000E3,4.045771451E-1
2.695312500E3,6.139719738E-1
2.718750000E3,4.658158634E-1
2.742187500E3,5.736972250E-1
2.765625000E3,8.772406892E-1
2.789062500E3,8.338339748E-1
2.812500000E3,2.916548515E-1
2.835937500E3,6.787261722E-1
2.859375000E3,8.819230175E-2
2.882812500E3,4.390169215E-1
2.906250000E3,1.750618457E-1
2.929687500E3,8.379123664E-1
2.953125000E3,8.822709460E-2
2.976562500E3,3.453916806E-1
3.000000000E3,1.420186433E-1
3.023437500E3,6.432667074E-1
3.046875000E3,8.660647256E-1
3.070312500E3,3.774272712E-1
3.093750000E3,7.585967245E-1
3.117187500E3,5.946496900E-1
3.140625000E3,2.847799410E-1
3.164062500E3,9.726913835E-2
3.187500000E3,2.513814745E-1
3.210937500E3,6.053191167E-1
3.234375000E3,2.161497236E-1
3.257812500E3,1.894063175E-1
3.281250000E3,3.328042433E-1
3.304687500E3,2.743945823E-1
3.328125000E3,5.095873757E-1
3.351562500E3,1.404668800E-1
