"Time (s)","Recording (a.u.)"
3.625000000E-3,-3.246980533E-2
3.645833333E-3,-3.495909274E-2
3.666666667E-3,-3.712266311E-2
3.687500000E-3,-3.809613734E-2
3.708333333E-3,-3.924376518E-2
3.729166667E-3,-3.982537985E-2
3.750000000E-3,-3.965837881E-2
3.770833333E-3,-4.019083083E-2
3.791666667E-3,-3.968634456E-2
3.812500000E-3,-3.674111888E-2
3.833333333E-3,-3.382004425E-2
3.854166667E-3,-3.180401400E-2
3.875000000E-3,-2.925140038E-2
3.895833333E-3,-2.658379078E-2
3.916666667E-3,-2.481030114E-2
3.937500000E-3,-2.350752428E-2
3.958333333E-3,-2.146408521E-2
3.979166667E-3,-1.877461933E-2
4.000000000E-3,-1.804178953E-2
4.020833333E-3,-1.920244470E-2
4.041666667E-3,-1.854820177E-2
4.062500000E-3,-1.501767058E-2
4.083333333E-3,-1.010734402E-2
4.104166667E-3,-6.460488774E-3
4.125000000E-3,-6.318604574E-3
4.145833333E-3,-6.980529055E-3
4.166666667E-3,-5.149566568E-3
4.187500000E-3,-1.838844852E-3
4.208333333E-3,1.646261197E-3
4.229166667E-3,4.608852323E-3
4.250000000E-3,5.755542777E-3
4.270833333E-3,6.193575449E-3
4.291666667E-3,8.386404254E-3
4.312500000E-3,1.047768816E-2
4.333333333E-3,1.070846617E-2
4.354166667E-3,1.422328223E-2
4.375000000E-3,2.275962383E-2
4.395833333E-3,2.926023677E-2
4.416666667E-3,3.134655580E-2
4.437500000E-3,3.348094970E-2
4.458333333E-3,3.565771505E-2
4.479166667E-3,3.477246314E-2
4.500000000E-3,3.302022070E-2
4.520833333E-3,3.470192477E-2
4.541666667E-3,4.016074911E-2
4.562500000E-3,4.585318267E-2
4.583333333E-3,4.816379771E-2
4.604166667E-3,4.954248667E-2
4.625000000E-3,5.345215276E-2
4.645833333E-3,5.662848800E-2
4.666666667E-3,5.644425005E-2
4.687500000E-3,5.581764132E-2
4.708333333E-3,5.827712268E-2
4.729166667E-3,6.263802201E-2
4.750000000E-3,6.560295820E-2
4.770833333E-3,6.875863671E-2
4.791666667E-3,7.367202640E-2
4.812500000E-3,7.827701420E-2
4.833333333E-3,8.145561814E-2
4.854166667E-3,8.297589421E-2
4.875000000E-3,8.352426440E-2
4.895833333E-3,8.378885686E-2
4.916666667E-3,8.352985978E-2
4.937500000E-3,8.305296302E-2
4.958333333E-3,8.194682002E-2
4.979166667E-3,7.989247143E-2
5.000000000E-3,7.754614949E-2
5.020833333E-3,7.539194822E-2
5.041666667E-3,7.456101477E-2
5.062500000E-3,7.558269799E-2
5.083333333E-3,7.684797049E-2
5.104166667E-3,7.816378772E-2
5.125000000E-3,8.247090876E-2
5.145833333E-3,8.919019997E-2
5.166666667E-3,9.207274765E-2
5.187500000E-3,8.870140463E-2
5.208333333E-3,8.328900486E-2
5.229166667E-3,7.998287678E-2
5.250000000E-3,8.005774766E-2
5.270833333E-3,7.997187227E-2
5.291666667E-3,7.567591220E-2
5.312500000E-3,7.218794525E-2
5.333333333E-3,7.467277348E-2
5.354166667E-3,7.792402804E-2
5.375000000E-3,7.728801668E-2
5.395833333E-3,7.506796718E-2
5.416666667E-3,7.387338579E-2
5.437500000E-3,7.367500663E-2
5.458333333E-3,7.391154021E-2
5.479166667E-3,7.424461842E-2
5.500000000E-3,7.294715941E-2
5.520833333E-3,6.997143477E-2
5.541666667E-3,6.805447489E-2
5.562500000E-3,6.549601257E-2
5.583333333E-3,5.982152000E-2
5.604166667E-3,5.620553344E-2
5.625000000E-3,5.733918771E-2
5.645833333E-3,5.859798193E-2
5.666666667E-3,5.902974680E-2
5.687500000E-3,5.927360803E-2
5.708333333E-3,5.876513571E-2
5.729166667E-3,6.070062518E-2
5.750000000E-3,6.420806050E-2
5.770833333E-3,6.441949308E-2
5.791666667E-3,6.359528005E-2
5.812500000E-3,6.513264030E-2
5.833333333E-3,6.674286723E-2
5.854166667E-3,6.610655785E-2
5.875000000E-3,6.372204423E-2
5.895833333E-3,6.198196858E-2
5.916666667E-3,6.174486130E-2
5.937500000E-3,6.088628992E-2
5.958333333E-3,6.052947789E-2
5.979166667E-3,6.333823502E-2
6.000000000E-3,6.602386385E-2
6.020833333E-3,6.526046991E-2
6.041666667E-3,6.341610849E-2
6.062500000E-3,6.230597571E-2
6.083333333E-3,6.074262410E-2
6.104166667E-3,5.908049643E-2
6.125000000E-3,5.923032016E-2
6.145833333E-3,6.048462540E-2
6.166666667E-3,6.066773832E-2
6.187500000E-3,6.084172428E-2
6.208333333E-3,6.177437305E-2
6.229166667E-3,6.033720449E-2
6.250000000E-3,5.715867877E-2
6.270833333E-3,5.672262236E-2
6.291666667E-3,6.045462936E-2
6.312500000E-3,6.646084785E-2
6.333333333E-3,6.811637431E-2
6.354166667E-3,6.338020414E-2
6.375000000E-3,6.062263995E-2
6.395833333E-3,6.120762974E-2
6.416666667E-3,6.011886522E-2
6.437500000E-3,5.980550498E-2
6.458333333E-3,6.299525499E-2
6.479166667E-3,6.575563550E-2
6.500000000E-3,6.396548450E-2
6.520833333E-3,6.053425372E-2
6.541666667E-3,6.144981086E-2
6.562500000E-3,6.503109634E-2
6.583333333E-3,6.491842121E-2
6.604166667E-3,6.182644144E-2
6.625000000E-3,6.024816632E-2
6.645833333E-3,5.990284681E-2
6.666666667E-3,6.033524871E-2
6.687500000E-3,6.177865341E-2
6.708333333E-3,6.248712912E-2
6.729166667E-3,6.382651627E-2
6.750000000E-3,6.716704369E-2
6.770833333E-3,7.012355328E-2
6.791666667E-3,7.126872241E-2
6.812500000E-3,7.071435452E-2
6.833333333E-3,7.032541931E-2
6.854166667E-3,7.140588015E-2
6.875000000E-3,7.092821598E-2
6.895833333E-3,6.892713904E-2
6.916666667E-3,6.919416785E-2
6.937500000E-3,7.022444159E-2
6.958333333E-3,7.010594010E-2
6.979166667E-3,7.001769543E-2
7.000000000E-3,6.949087977E-2
7.020833333E-3,7.000279427E-2
7.041666667E-3,7.306165993E-2
7.062500000E-3,7.550291717E-2
7.083333333E-3,7.684181631E-2
7.104166667E-3,8.106286824E-2
7.125000000E-3,8.814702928E-2
7.145833333E-3,9.400606155E-2
7.166666667E-3,9.611706436E-2
7.187500000E-3,9.297122061E-2
7.208333333E-3,8.635762334E-2
7.229166667E-3,8.283230662E-2
7.250000000E-3,8.422359824E-2
7.270833333E-3,8.418834209E-2
7.291666667E-3,7.919001579E-2
7.312500000E-3,7.364179194E-2
7.333333333E-3,6.964647770E-2
7.354166667E-3,6.719928980E-2
7.375000000E-3,7.017572224E-2
7.395833333E-3,7.642378658E-2
7.416666667E-3,7.996158302E-2
7.437500000E-3,7.939399034E-2
7.458333333E-3,7.545332611E-2
7.479166667E-3,7.362414896E-2
7.500000000E-3,7.698093355E-2
7.520833333E-3,7.992127538E-2
7.541666667E-3,7.925084978E-2
7.562500000E-3,7.652424276E-2
7.583333333E-3,7.280190289E-2
7.604166667E-3,6.878525019E-2
7.625000000E-3,6.594425440E-2
7.645833333E-3,6.482368708E-2
7.666666667E-3,6.375345588E-2
7.687500000E-3,6.302910298E-2
7.708333333E-3,6.392927468E-2
7.729166667E-3,6.304995716E-2
7.750000000E-3,5.959045142E-2
7.770833333E-3,5.880025029E-2
7.791666667E-3,5.971955135E-2
7.812500000E-3,5.778650194E-2
7.833333333E-3,5.489767343E-2
7.854166667E-3,5.395331234E-2
7.875000000E-3,5.506655201E-2
7.895833333E-3,5.723123252E-2
7.916666667E-3,5.872386321E-2
7.937500000E-3,5.744057894E-2
7.958333333E-3,5.356147140E-2
7.979166667E-3,5.114009604E-2
8.000000000E-3,5.125937611E-2
8.020833333E-3,5.124068260E-2
8.041666667E-3,4.922214150E-2
8.062500000E-3,4.460324347E-2
8.083333333E-3,4.045523703E-2
8.104166667E-3,3.899170458E-2
