"Time (s)","Recording (a.u.)"
0.000000000E0,4.450805113E-2
2.083333333E-5,4.209324718E-2
4.166666667E-5,2.852388099E-2
6.250000000E-5,8.838979527E-3
8.333333333E-5,-5.313000176E-3
1.041666667E-4,-5.965630058E-3
1.250000000E-4,4.401106853E-3
1.458333333E-4,1.633943990E-2
1.666666667E-4,2.322157472E-2
1.875000000E-4,2.425887622E-2
2.083333333E-4,2.271532454E-2
2.291666667E-4,2.185195312E-2
2.500000000E-4,2.038672939E-2
2.708333333E-4,1.542892028E-2
2.916666667E-4,7.317372598E-3
3.125000000E-4,6.547712255E-4
3.333333333E-4,2.960525453E-4
3.541666667E-4,5.408936646E-3
3.750000000E-4,1.104700472E-2
3.958333333E-4,1.356366836E-2
4.166666667E-4,1.281021535E-2
4.375000000E-4,1.058132574E-2
4.583333333E-4,8.273125626E-3
4.791666667E-4,6.757264026E-3
5.000000000E-4,6.152546033E-3
5.208333333E-4,6.828224286E-3
5.416666667E-4,1.021976583E-2
5.625000000E-4,1.577326097E-2
5.833333333E-4,1.889322326E-2
6.041666667E-4,1.371308044E-2
6.250000000E-4,3.782939166E-5
6.458333333E-4,-1.325493492E-2
6.666666667E-4,-1.624137722E-2
6.875000000E-4,-8.353782818E-3
7.083333333E-4,2.050386509E-3
7.291666667E-4,7.167054806E-3
7.500000000E-4,6.562020630E-3
7.708333333E-4,4.448542371E-3
7.916666667E-4,2.912309486E-3
8.125000000E-4,8.679641178E-4
8.333333333E-4,-1.293726265E-3
8.541666667E-4,-5.514821969E-4
8.750000000E-4,3.955705091E-3
8.958333333E-4,8.171739057E-3
9.166666667E-4,6.322289817E-3
9.375000000E-4,-3.295927308E-3
9.583333333E-4,-1.615938917E-2
9.791666667E-4,-2.652971819E-2
1.000000000E-3,-3.152749687E-2
1.020833333E-3,-2.975206077E-2
1.041666667E-3,-2.089099959E-2
1.062500000E-3,-8.039342239E-3
1.083333333E-3,1.236632001E-3
1.104166667E-3,7.509971038E-4
1.125000000E-3,-6.963658147E-3
1.145833333E-3,-1.381933037E-2
1.166666667E-3,-1.543079689E-2
1.187500000E-3,-1.560074091E-2
1.208333333E-3,-2.088347077E-2
1.229166667E-3,-3.104320914E-2
1.250000000E-3,-3.891331330E-2
1.270833333E-3,-3.985096514E-2
1.291666667E-3,-3.698026389E-2
1.312500000E-3,-3.425715119E-2
1.333333333E-3,-2.902333811E-2
1.354166667E-3,-1.715405658E-2
1.375000000E-3,-3.613180481E-3
1.395833333E-3,-7.194038481E-4
1.416666667E-3,-1.344555058E-2
1.437500000E-3,-3.374458104E-2
1.458333333E-3,-4.878301919E-2
1.479166667E-3,-5.119713768E-2
1.500000000E-3,-4.386924952E-2
1.520833333E-3,-3.304603323E-2
1.541666667E-3,-2.259260230E-2
1.562500000E-3,-1.540675014E-2
1.583333333E-3,-1.300731488E-2
1.604166667E-3,-1.532560959E-2
1.625000000E-3,-1.861568168E-2
1.645833333E-3,-1.860914193E-2
1.666666667E-3,-1.767566428E-2
1.687500000E-3,-1.983835362E-2
1.708333333E-3,-2.534153126E-2
1.729166667E-3,-3.200547397E-2
1.750000000E-3,-3.738704324E-2
1.770833333E-3,-4.055599123E-2
1.791666667E-3,-3.992784023E-2
1.812500000E-3,-3.332810104E-2
1.833333333E-3,-2.197000757E-2
1.854166667E-3,-1.203781925E-2
1.875000000E-3,-9.843768552E-3
1.895833333E-3,-1.513077319E-2
1.916666667E-3,-2.370119095E-2
1.937500000E-3,-3.234403953E-2
1.958333333E-3,-3.973283619E-2
1.979166667E-3,-4.468818754E-2
2.000000000E-3,-4.262010008E-2
2.020833333E-3,-3.036670573E-2
2.041666667E-3,-1.333340071E-2
2.062500000E-3,-1.687322743E-3
2.083333333E-3,1.662676223E-4
2.104166667E-3,-2.130459063E-3
2.125000000E-3,-1.928834477E-3
2.145833333E-3,2.239975147E-4
2.166666667E-3,-1.744790003E-3
2.187500000E-3,-1.244491339E-2
2.208333333E-3,-2.722133324E-2
2.229166667E-3,-3.649476543E-2
2.250000000E-3,-3.780045360E-2
2.270833333E-3,-3.567507863E-2
2.291666667E-3,-3.261741996E-2
2.312500000E-3,-2.589285746E-2
2.333333333E-3,-1.255247463E-2
2.354166667E-3,3.175839782E-3
2.375000000E-3,9.964660741E-3
2.395833333E-3,2.230716869E-3
2.416666667E-3,-1.261097752E-2
2.437500000E-3,-2.417005226E-2
2.458333333E-3,-2.853605896E-2
2.479166667E-3,-2.830951288E-2
2.500000000E-3,-2.581251040E-2
2.520833333E-3,-1.841953583E-2
2.541666667E-3,-5.986448377E-3
2.562500000E-3,5.446839146E-3
2.583333333E-3,1.040393673E-2
2.604166667E-3,6.642322056E-3
2.625000000E-3,-4.779726267E-3
2.645833333E-3,-1.937570050E-2
2.666666667E-3,-3.260677308E-2
2.687500000E-3,-4.128072411E-2
2.708333333E-3,-4.150978476E-2
2.729166667E-3,-3.053294122E-2
2.750000000E-3,-1.181446668E-2
2.770833333E-3,6.248162128E-3
2.791666667E-3,1.835181750E-2
2.812500000E-3,2.504870854E-2
2.833333333E-3,2.618641034E-2
2.854166667E-3,1.838256791E-2
2.875000000E-3,2.375558019E-3
2.895833333E-3,-1.426566020E-2
2.916666667E-3,-2.358360775E-2
2.937500000E-3,-2.358264662E-2
2.958333333E-3,-1.914429292E-2
2.979166667E-3,-1.407926902E-2
3.000000000E-3,-6.274735555E-3
3.020833333E-3,3.827892942E-3
3.041666667E-3,1.051300112E-2
3.062500000E-3,1.114522666E-2
3.083333333E-3,9.370615706E-3
3.104166667E-3,1.120453142E-2
3.125000000E-3,1.679926366E-2
3.145833333E-3,1.848130673E-2
3.166666667E-3,1.281010266E-2
3.187500000E-3,5.769496318E-3
3.208333333E-3,3.076856956E-3
3.229166667E-3,3.590938868E-3
3.250000000E-3,3.322645556E-3
3.270833333E-3,3.571191803E-3
3.291666667E-3,9.572001174E-3
3.312500000E-3,2.058252133E-2
3.333333333E-3,2.931026183E-2
3.354166667E-3,3.040558845E-2
3.375000000E-3,2.615601942E-2
3.395833333E-3,2.334264480E-2
3.416666667E-3,2.315786667E-2
3.437500000E-3,1.964887604E-2
3.458333333E-3,9.738566354E-3
3.479166667E-3,-1.111831516E-3
3.500000000E-3,-3.894929774E-3
3.520833333E-3,3.833595663E-3
3.541666667E-3,1.566748694E-2
3.562500000E-3,2.586970106E-2
3.583333333E-3,3.442982584E-2
3.604166667E-3,4.293745756E-2
3.625000000E-3,4.995848984E-2
3.645833333E-3,5.055880919E-2
3.666666667E-3,4.297206551E-2
3.687500000E-3,3.219469264E-2
3.708333333E-3,2.408351004E-2
3.729166667E-3,2.149562538E-2
3.750000000E-3,2.456631698E-2
3.770833333E-3,3.118918836E-2
3.791666667E-3,3.767929971E-2
3.812500000E-3,3.969711065E-2
3.833333333E-3,3.596453369E-2
3.854166667E-3,3.005658463E-2
3.875000000E-3,2.652432770E-2
3.895833333E-3,2.701612934E-2
3.916666667E-3,2.926071361E-2
3.937500000E-3,3.173945099E-2
3.958333333E-3,3.795596957E-2
3.979166667E-3,4.949453473E-2
4.000000000E-3,6.095305830E-2
4.020833333E-3,6.474665552E-2
4.041666667E-3,5.605841801E-2
4.062500000E-3,3.942253068E-2
4.083333333E-3,2.667450905E-2
4.104166667E-3,2.159636095E-2
4.125000000E-3,1.849934459E-2
