"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717741592647017E9,"2024-06-07 08:26:32.647 UTC+02:00"
"PAUSE",5.729383867082652E2,1.717742165583262E9,"2024-06-07 08:36:05.583 UTC+02:00"
"START",5.729383867082652E2,1.717742371244550E9,"2024-06-07 08:39:31.245 UTC+02:00"
"PAUSE",1.071428321708227E3,1.717742869732621E9,"2024-06-07 08:47:49.733 UTC+02:00"
