"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717743151950506E9,"2024-06-07 08:52:31.951 UTC+02:00"
"PAUSE",9.099200972083490E2,1.717744061865870E9,"2024-06-07 09:07:41.866 UTC+02:00"
