BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,timestamp,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean
2.600804674311016,1,Esmee,1757.8125,0.0,-26.551764164285714,-0.1272846576689293,-0.0004533718408585854,0.04834385763385858,0.38837777359848485,7.939695619,175.8023316
2.6061151679679897,1,Esmee,1188.6160714285713,1.0,-21.59458394511111,-0.04849672701706435,0.0015671174795643566,0.029491103703534655,0.13647067875138613,52.390604804999995,72.74223587
2.642755124175022,1,Esmee,1496.484375,2.0,-22.0945595449,-0.35038863409548,0.19221326311871,0.0032587117495250007,0.5520806427787001,34.900273625,10.957885224999998
2.6479178438668702,1,Esmee,1712.0535714285713,3.0,-24.271340297777776,0.3007763059573337,-0.8157245499361385,-0.12406641854158416,2.178927782046535,3.256083792,44.822367925
2.6494404811508474,1,Esmee,1042.4592391304348,4.0,-26.12209622111111,-0.50681549837136,0.20070471540448,0.27352447436328003,2.0879173929598,14.200187622000001,106.09256483
2.6814000405346916,1,Esmee,79.1015625,5.0,-22.989164867777777,-0.15479210492226733,0.10104852703768812,0.06985424230563367,0.36068635857584164,15.581623035,84.239102245
2.7008353148183075,1,Esmee,300.61141304347825,6.0,-26.68388979222222,-0.072360758585468,0.048763403110028004,0.051560841178340006,0.2320228894205,16.766331185,73.76588470499999
2.6928795472056994,1,Esmee,541.015625,7.0,-27.090951673,-0.037479488113160396,0.01788094611490297,0.07776916077623762,0.18356995790663366,16.27520598,79.25549355
2.704111082657592,1,Esmee,894.7010869565217,8.0,-28.392793301111112,-0.030849260922227725,0.01616783061640594,0.0674838100278604,0.17440863089752476,13.118741085,87.71449351999999
2.7169001772889354,1,Esmee,92.73097826086956,9.0,-25.985347061111113,-0.016228420976702,0.010603332094257002,0.06398023366734,0.08065433900289999,12.700599335,91.31427536499999
2.710506933105582,1,Esmee,98.6328125,10.0,-26.933708166666666,-0.011311909062079208,-0.006690973213183168,0.06457587968633663,0.08620582050019801,10.4565184705,83.66183091
2.7065237605742354,1,Esmee,114.1304347826087,11.0,-27.52169326,-0.008595092355985,0.0015744490611509997,0.061336385876640004,0.0744904924303,10.892862025,95.383629915
2.7697144029697327,1,Esmee,112.3046875,12.0,-27.87570267222222,-0.0029968470959544557,-0.0023439909962633663,0.06371625793269307,0.1087442130638614,10.692577335,87.67623595
2.7626132394822718,1,Esmee,100.88315217391305,13.0,-26.38067447888889,-0.019070312504473,0.00770731581513,0.059362781025248,0.13139956804,11.605672985,87.041794245
2.761668006010258,1,Esmee,94.7265625,14.0,-25.553677631,0.0025732022110099002,-0.018158552816,0.0686516784610396,0.20229412943178218,11.09307917,92.34472446
2.7668879004821494,1,Esmee,102.9211956521739,15.0,-27.16166281375,0.0053166539240099,-0.015329962237564358,0.0655434259883096,0.27046538980930696,11.898591605,84.45211392499999
2.7772487675926367,1,Esmee,125.0,16.0,-27.80530126888889,-0.0068939016038489995,-0.007055043560259999,0.055991218009869996,0.2288205413762,7.5019660275,107.7092717
2.7777076411493957,1,Esmee,91.71195652173913,17.0,-26.237795003000002,0.00962423328724693,0.005702970341719802,0.064399322721,0.1112223300480495,5.6795817185,115.22489755000001
2.7550253974845753,1,Esmee,108.0163043478261,18.0,-26.734526047777777,-0.0016597146218962,-0.007765755811088999,0.06458077779871,0.1057615253224,6.624030718,116.97085135
2.752151958580368,1,Esmee,104.4921875,19.0,-26.911224546666666,0.0018051932310544554,-0.006987448756844554,0.06109739425086138,0.06465399111336634,6.737647637,93.30705618
2.757400185796208,1,Esmee,118.20652173913044,20.0,-26.99437544,-0.0041278079035649996,-0.008812816719642201,0.06536067357729,0.0918001769326,5.6672006150000005,95.095250445
2.7555003366139728,1,Esmee,117.1875,21.0,-25.985337466666667,0.018834774621256434,-0.002871658788955445,0.06494460742346535,0.21386016800495047,6.852601782,99.45570595
2.739218744347133,1,Esmee,98.84510869565217,22.0,-26.760780175555553,-0.015066417179524753,-0.007364953105547525,0.0594422385454802,0.1772256433069307,7.125708888,98.033936345
2.740655440106182,1,Esmee,83.984375,23.0,-28.05468506888889,0.00434535748949,-0.006978045232843,0.062459618461285,0.0727543700602,7.4016437865,95.48894552
2.7323791119819147,1,Esmee,74.38858695652173,24.0,-27.180468043999998,0.0027261845138864356,-0.006129526171678217,0.06359113909831683,0.06603190894940594,6.718985156,94.50431169999999
2.6996317350896875,1,Esmee,86.61684782608695,25.0,-26.190731807777777,0.0010063763458316,-0.006803665182154,0.062188880682,0.0659651518951,6.832401495,93.10324391
2.621870980024889,1,Esmee,75.1953125,26.0,-26.033199337777777,-0.0024556545422629705,-0.006602743939129901,0.061299192663267325,0.06601241638089109,7.376638707,93.921642435
2.566473982061257,1,Esmee,74.38858695652173,27.0,-26.536847342999998,-0.37215674800375903,-0.145818903289929,0.038834195046877,0.4153098930177,8.4469707455,108.73129681500001
2.5474232899865155,1,Esmee,72.265625,28.0,-25.548087416666664,-0.3429397963069307,-0.1264252924510891,0.045533877717145545,0.37165679942079205,7.983881508,118.76830545
2.5269466353194483,1,Esmee,75.40760869565217,29.0,-25.202828766666666,-0.240983406974,-0.0778295861355,0.05444263556487,0.260636823247,8.8803801805,115.01759975
2.5618017481650317,1,Esmee,81.0546875,30.0,-25.299487561,-0.17571326244653465,-0.05342821659594059,0.06367990098990099,0.1972987412970297,9.073994392,114.4230972
