timestamp,BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean
0.0,5.740331825795782,1,Kiara,87.23958333333333,-23.35683358875,-0.058900404588219005,-0.20879845762801,0.050871740968176,0.2635908360866,4.5556397754999995,-0.029063624949999978
1.0,5.767378571963387,1,Kiara,156.25,-21.439578639,-0.09395390727527426,-0.2068589613750594,0.003609955156587129,0.2962109072546535,3.948957536,-0.7516341094
2.0,5.842847681006998,1,Kiara,207.23684210526315,-20.293018583333335,0.02029360456143,-0.21736619560363699,0.180351385092,0.6900762748214,3.9655727725,-0.97956193475
3.0,6.008649901079328,1,Kiara,155.2734375,-20.32388001,-0.07840381404074158,-0.11118918669944555,-0.04834466901534653,0.27822002218722774,4.0418349414999994,-3.7604833620000004
4.0,5.970797581743429,1,Kiara,181.640625,-22.554616243333335,-0.011427835869013003,-0.1683534891398,0.06569322812845,0.6055316150091,4.1681324835,-2.1195112306
5.0,5.897492127007066,1,Kiara,139.60597826086956,-22.118384495,-0.015479529795846039,-0.1272070507067327,0.05278978603604654,0.18000213088346534,3.9018646385,2.9707277375
6.0,5.910972247148046,1,Kiara,75.1953125,-22.995578522222225,-0.014364439724015,-0.12793251472630002,0.061012976375046,0.1577422574393,3.7147156965,-1.11018894695
7.0,5.9420755593176535,1,Kiara,66.23641304347827,-23.188590072222222,-0.013624616188364356,-0.11143465252871287,0.0704491646570594,0.14584366352683167,3.793528933,-5.308127901
8.0,5.967168464197751,1,Kiara,55.6640625,-22.297319212222224,-0.0159349650283,-0.06121708221145,0.07914509271403,0.1309834536132,4.210271280000001,-1.51335213065
9.0,6.2780514042784334,1,Kiara,64.19836956521739,-20.210676126000003,-0.005367664004425743,-0.010469147264666336,0.08694655100229703,0.11410894023534653,4.7490661885000005,1.52844842425
10.0,6.236075965805576,1,Kiara,101.5625,-20.486441192222223,-0.0066237944583328705,0.021774524524231686,0.13033524161044555,0.15497178442702972,3.7399018594999998,-2.549392538
11.0,5.806327904445133,1,Kiara,91.796875,-22.47096292111111,-0.0612384945318487,0.058102861003052,0.08534808804918001,0.1460059014968,5.03311664,-7.087018449
12.0,5.684951024056811,1,Kiara,63.17934782608695,-23.07863604111111,-0.14161575716749505,0.0849760566969703,0.12574558257443563,0.22696083699029704,5.323589299,-12.92936212
13.0,5.734696804106472,1,Kiara,63.419117647058826,-20.997607629,-0.09260887064459,0.090841509149936,0.1666886465212,0.2297633840274,5.247801754999999,-13.708471715
14.0,6.048460054158137,1,Kiara,68.75,-19.579666366666668,0.012993387910082178,0.09124379136129702,0.10701906394103168,0.1675724043570297,5.3418861495000005,-8.8956311735
15.0,6.145606377633222,1,Kiara,78.125,-19.425424066666668,0.08680113356368199,0.085274509609257,0.12268079998052,0.31230622688250004,5.8786241245,0.3584662435115
16.0,6.253145442231188,1,Kiara,89.84375,-18.56859036666667,0.02067336789578911,0.0698416128999109,0.10932657786274357,0.25207485132049506,5.334475508000001,6.2693022015
17.0,6.331930722249301,1,Kiara,81.52173913043478,-17.738339685555555,-0.010584697618697327,0.104352467295099,0.1070038495990792,0.3693344488988119,5.35465595,0.42956228500000027
18.0,6.34798197421937,1,Kiara,120.1171875,-15.051998137999998,0.066587111072719,0.33033004875869,0.14018503644854,0.41343145510470003,6.221342323,3.302480569
19.0,6.293101081352001,1,Kiara,79.4836956521739,-17.58048876666667,0.09428701491036731,0.5022856866546535,0.2637016624462079,0.6922520273792079,9.2412830325,0.1180636224999998
20.0,6.287013511262273,1,Kiara,78.46467391304348,-16.41805878888889,0.058543576609830096,0.48943660197100003,0.15300806809073,0.633557588164,9.202604069500001,-0.1422135099
21.0,6.326890170086134,1,Kiara,79.1015625,-15.487799172999999,-0.1125934170688812,0.39284267683960394,0.24336469325752477,0.5293608513118812,9.051067212500001,-5.7614195525
22.0,6.39071088188252,1,Kiara,87.63586956521739,-15.342985135000001,-0.18557229107942,0.332513337689,0.18177435765472702,0.47196810556499996,9.703578840999999,-4.8672871436000005
23.0,6.310342045880036,1,Kiara,65.4296875,-14.655659502222221,-0.31031978807772276,0.3017191875990099,0.10201174002749505,0.5092826506801981,9.674900802,1.1401157204999994
24.0,6.26679667658046,1,Kiara,58.08423913043478,-17.45245603,-0.4007371418059406,0.2543029811619802,0.1260436863631485,0.5219402873267327,9.161569722,1.839912089
25.0,6.19155915289178,1,Kiara,61.78977272727273,-19.382233706,-0.330634777126,0.202741247987,0.129533894599784,0.422843144154,9.2235363245,-10.1832997565
26.0,6.107952053492331,1,Kiara,65.91796875,-19.675149385555553,-0.24115735252257425,0.1820600325791089,0.12193347006653961,0.34145551820990094,9.336178444,-15.137380495
27.0,6.075797666527568,1,Kiara,134.765625,-18.565011456666667,-0.015853776531289998,0.133281386805,0.11638417902715,0.223907135478,9.8507100105,-15.892879255
28.0,6.035820557462502,1,Kiara,121.875,-18.34421306222222,0.2247636162137277,0.0985359900510297,0.06825986869802872,0.29507730405346533,9.579709128,-8.688306323
29.0,5.767166605944153,1,Kiara,107.14285714285714,-21.368496381,0.388529909222,0.104118506911983,0.12630860553016998,0.45180608885300005,9.583059538,-4.570322239
30.0,5.7949272252011665,1,Kiara,102.5390625,-20.44342350777778,0.49508060641485147,0.19426530789950497,0.16169642382505942,0.5684812536287128,11.276266005,-6.788974641499999
31.0,5.888929782910062,1,Kiara,110.15625,-19.31329523,0.6027334730792079,0.1946064147849703,0.15268846391182672,0.6690855593534654,10.994920915,-0.1770563075
32.0,5.977667029371312,1,Kiara,91.28289473684211,-20.717336930000002,0.528718730649,0.2228215995711,0.14953938281592,0.615360442428,11.480074904999999,2.1989693085
33.0,6.089838931486381,1,Kiara,230.29891304347825,-19.98012381222222,0.39569973206138614,0.2148390227491089,0.17210980544105942,0.5157116474841584,11.64040703,3.7059806625
34.0,6.087444435675324,1,Kiara,108.3984375,-18.955732583333333,0.259893588084,0.2698589280093,0.14980962942917,0.427921163713,12.113096735,4.063300419
35.0,5.980195096149888,1,Kiara,285.32608695652175,-14.83527656111111,0.06267044509456535,0.26281913813861385,0.1345770723622699,0.33567735346831684,12.958132175,1.5697344925499999
36.0,6.030631826108902,1,Kiara,333.984375,-17.690837944000002,-0.092928966690525,0.241542493982,0.1874250483863,0.345788567994,12.944210564999999,-0.6562549418000001
37.0,6.054958589058117,1,Kiara,179.34782608695653,-18.750299532222222,-0.16533263546366336,0.24290578234653465,0.11302428178530693,0.3479693589267327,12.666264730000002,-0.8010980939500001
38.0,6.124583466577391,1,Kiara,187.5,-17.751185808888888,-0.15184572255762377,0.18898500585887126,0.1467536326464099,0.3124471142326733,12.1723087,-1.01998697045
39.0,6.022468815592048,1,Kiara,185.46195652173913,-15.400088121333333,-0.09806203261433,0.14838204634778,0.13091298379722,0.287728641273,12.65477372,-2.458279748
40.0,5.8358708316566,1,Kiara,164.0625,-15.505939350699999,-0.09621380744528714,0.13565319450631683,0.0846086952410099,0.3356863671564356,13.086568995,-3.1672389115
41.0,5.458886590450047,1,Kiara,206.86141304347825,-19.733296714444446,-0.0834491619190946,0.099710279338884,0.11624848853773,0.2312346575526,12.107012475000001,1.3931953111
42.0,4.505199403402703,1,Kiara,185.46195652173913,-20.44210351,-0.07049782498916238,0.04106862977190098,0.10585767955110593,0.17313245252821785,12.279901355,0.026808510650000006
43.0,3.7169368991295517,1,Kiara,213.8671875,-18.89713020111111,-0.061839522885768,0.01310282382635,0.06607407481772,0.1674982786753,12.390133095,-0.7395518183
44.0,3.14946062719028,1,Kiara,169.1576086956522,-20.873719686999998,-0.05391086831315248,0.005452097292191981,0.04565617715463168,0.16654082078247523,12.24358994,0.65426415235
45.0,2.666531814829491,1,Kiara,121.09375,-22.61446617888889,-0.041555723374393,-0.0161168339932,0.08848993150475,0.15499744755529998,12.203418339999999,1.0044186904
46.0,2.755216895782745,1,Kiara,73.3695652173913,-21.979611265555558,-0.034351634461745544,-0.017385565376965346,0.09425198118670297,0.13375410755435643,12.143733555,-1.52664880955
47.0,2.8359365599849498,1,Kiara,87.890625,-21.58999087666667,-0.023312557780028713,0.028763795470999998,0.07909764238779406,0.12386575525465347,12.66464321,-0.7848132627350001
48.0,2.920494811814531,1,Kiara,177.30978260869566,-20.979380247777776,0.021379108810009997,0.26003535136,0.15429963031581,0.324853990041,14.05712542,0.0292770708
49.0,2.9709100275700373,1,Kiara,101.90217391304348,-22.057047795555555,0.0032924171546811877,0.28076108923435644,0.1771698179740297,0.34812907680693067,14.047869734999999,-0.38702438910000003
50.0,3.0515523484069154,1,Kiara,139.6484375,-21.29652858,0.020787201906304,0.234491067652,0.1437722155424,0.285834216439,14.3487273,0.36237578439999996
51.0,3.2093485297004842,1,Kiara,134.5108695652174,-22.641218124444446,0.01401671960020792,0.1917704819009901,0.14412457975983564,0.28199914581643565,15.01792136,-0.5224909964
52.0,3.147514268940316,1,Kiara,83.984375,-21.958038394444443,-0.0006878716112100003,0.1719302806668,0.14240911263107,0.23675681760279998,14.905605625,-0.15401347040000002
53.0,3.179426195877833,1,Kiara,81.52173913043478,-22.54473768222222,0.013943107258572474,0.2077260325359802,0.1588831199578119,0.2916694050938614,15.133532644999999,0.5545711358
54.0,3.1863057020276693,1,Kiara,55.6640625,-21.63059159777778,-0.0012801616583108905,0.07449889121930296,0.11728034268928714,0.24393426859999998,14.205115795000001,-0.16985771515
55.0,3.1951730142985038,1,Kiara,68.27445652173913,-22.127793722,-0.04359368167679,-0.4010222252601,-0.005796853584953,0.4198705360225,11.295634555,-1.49871686705
56.0,3.277345167105815,1,Kiara,82.03125,-23.01218602666667,-0.07030520442505347,-0.6850791294336633,-0.10206125610635147,0.7178716819871287,9.6462998725,-1.9139921764999999
57.0,3.272530870724447,1,Kiara,69.29347826086956,-16.446611763333333,-0.062062870627819997,-0.581228153564,-0.07821882358844,0.5937119772180001,8.98775428,0.59692099475
58.0,3.2068963264709947,1,Kiara,118.20652173913044,-20.67804433,-0.044383876715014856,-0.4587102875138614,-0.057774334755287135,0.46668746456336635,8.6196063455,1.54928485865
59.0,3.1922728687062523,1,Kiara,84.9609375,-23.144163203333335,-0.037561330112562,-0.365332921531,-0.03351067357088,0.372311578559,8.6280981065,-1.2049893053999998
60.0,3.2146343612233546,1,Kiara,80.50271739130434,-23.215262889,-0.03602109521911881,-0.28955915582079206,-0.0075020529425294065,0.29891665763663366,9.132926438,0.2584900445
61.0,3.2033242916585256,1,Kiara,52.734375,-22.785925635555557,-0.017568095205785148,-0.23190695116336635,-0.003014783864769306,0.2435245235326733,8.929148221999998,2.0744716785
62.0,3.257633013387581,1,Kiara,54.00815217391305,-22.287166156666665,-0.027070338745959002,-0.18183876181199998,0.0016603695093846999,0.189343534136,8.6746372075,0.334121879
63.0,3.32465071301705,1,Kiara,67.3828125,-22.715695175555553,-0.009780420974229603,-0.15730976159108911,0.03856782340239604,0.17354442693564356,9.018437698,-0.4479641286
64.0,3.3437516780112486,1,Kiara,72.35054347826087,-23.407243471,-0.011850046543903401,-0.12581766453249998,0.02469089135419,0.1378051920909,9.2481088065,-0.20282202369000002
65.0,3.423830771912768,1,Kiara,104.95923913043478,-24.599016966666667,-0.009124563200489108,-0.0987057098271287,0.02690844065472277,0.11709855532138615,8.802956754,1.8793730245
66.0,3.454414206969048,1,Kiara,70.3125,-25.123350707777778,-0.00585800202941,-0.08425645381600001,0.0476821023702,0.1060926293941,8.355141726,0.74245126696
67.0,3.4691494940450562,1,Kiara,56.046195652173914,-22.206090999,-0.008730030194340425,-0.0697797467536594,0.06287384204992079,0.16090804871277226,8.983777706,-1.5805967987999998
68.0,3.444146584242765,1,Kiara,56.640625,-20.61938336,0.08202684136470298,-0.0486737789699604,0.04625263946613861,0.46057047576465343,8.996683939,2.615173479
69.0,3.441893477275344,1,Kiara,58.08423913043478,-21.524992074444445,-0.11740173307953,-0.04571920815767,0.013132150539650002,0.5774030852683,8.60810009,1.542984489
70.0,3.410883003984179,1,Kiara,52.734375,-22.135361087777778,0.007411203648653466,-0.07385963134519802,0.032368014857079214,0.528968969750198,8.6211686655,-0.42930000995000006
71.0,3.271369366842817,1,Kiara,65.21739130434783,-23.27179488333333,-0.021688380951139993,-0.04086860509542999,0.07263529981848,0.3142332929139,8.9863257575,0.6004545606199999
72.0,3.0105062272552128,1,Kiara,75.1953125,-23.557647810000002,-0.0009554554800851472,-0.04276366377745544,0.05607750750981188,0.1325517902072277,9.2895864955,-0.6910021668499999
73.0,3.048794281380833,1,Kiara,86.61684782608695,-24.352654938,-0.012065583683688,-0.035158281531563,0.048707639675895996,0.1041370323516,8.546661705000002,0.92986693075
74.0,3.0736212464645716,1,Kiara,94.76902173913044,-23.038558606666665,-0.01611966743170198,-0.03709945150281188,0.06621736679678714,0.09377067078841585,8.550213735,-1.5230664864999999
75.0,3.105088841976306,1,Kiara,72.265625,-24.623020333333333,-0.0006257518502673263,-0.024337854131592375,0.04275952441412871,0.07129977841065346,8.856627752,-0.4892037078
76.0,3.1535408782768366,1,Kiara,54.00815217391305,-23.951070611111113,-0.008483365403567,-0.027103464227709997,0.052884036845329996,0.0656709340941,8.9806463965,-1.7651133445
77.0,3.1989827934852686,1,Kiara,65.4296875,-24.281983601,-0.009267345078581188,-0.022758110141935545,0.056846294790818805,0.07381321551386139,9.022080662499999,-1.0087058224
78.0,3.271638849150165,1,Kiara,57.06521739130435,-24.367923406666666,-0.011103452670422,-0.02144402898233,0.06169447521047,0.074529091371,8.7244515785,-1.934426765
79.0,3.3265205736609307,1,Kiara,56.640625,-23.68920001777778,-0.00683547542439901,-0.022140525488071286,0.05847913844552178,0.07687087439386138,8.774531574000001,-3.126992972
80.0,3.26391383560174,1,Kiara,60.12228260869565,-24.16481499777778,-0.0070451599392680996,-0.014074885421859999,0.047333736955939995,0.060476125923700004,9.009487188,-3.4126372089999997
81.0,3.135682583005304,1,Kiara,63.17934782608695,-25.352697272,-0.009658082731354852,-0.016679480798333663,0.05447054791559604,0.06925542533544554,9.028204574,-3.3327072665
82.0,3.151949097056377,1,Kiara,62.5,-21.98337781111111,-0.006576625229846535,-0.018773360040239207,0.057535687308894065,0.06881703158366337,8.974682456,-2.250978251
83.0,3.1934723699161327,1,Kiara,78.46467391304348,-16.163229758,-0.009488713370881,-0.017358769440583,0.05531405780903,0.0702671065998,8.7635664395,-2.31699787
84.0,3.2292788547802314,1,Kiara,68.359375,-21.04782573411111,-0.01005294527718614,-0.015039276019840595,0.05597950006928901,0.0774544753299208,8.4839611475,-1.06696677005
85.0,3.2598677184506513,1,Kiara,85.59782608695652,-27.674987927,-0.00828704093548,-0.014703174591415,0.0577311330374,0.0634656500545,8.942030755000001,-3.0202998
86.0,3.3636353571028175,1,Kiara,87.890625,-26.61126939,-0.006608346375376138,-0.013473336669662675,0.054012068314495044,0.05922003972178218,9.0760443035,-2.3966983859999997
87.0,3.3786249267615776,1,Kiara,109.03532608695652,-25.479248218888888,-0.012641320271197999,-0.062035008278466995,0.039073112281509996,0.1028225961264,7.822519406,-2.38811056
88.0,3.398057662605807,1,Kiara,70.3125,-24.152702696,-0.0243600999653,-0.20957733627138614,-0.0033127081868792076,0.2275127768006931,7.524456656,-2.7949730445
89.0,3.4003118008256465,1,Kiara,57.06521739130435,-24.18526366777778,-0.047716140292039994,-0.489982348926,-0.08386949093458,0.5016190150740001,5.653655972999999,-5.535413666
90.0,3.343562073185298,1,Kiara,63.17934782608695,-24.280582814444443,-0.050491480216340597,-0.48478236501386135,-0.09305175622822773,0.5011759207396039,4.582311583,-5.1285696125
91.0,3.2968604213781787,1,Kiara,76.171875,-23.317969532,-0.05524468561842574,-0.4863053475940594,-0.08568033935148515,0.510339246920792,3.9546314795,-5.2652901255
92.0,3.2009965569453893,1,Kiara,93.75,-25.965459244444446,-0.0562548592747628,-0.44352345483199995,-0.06392645097781,0.45541618872199996,3.5348094515,-8.1393808685
93.0,3.178244507706151,1,Kiara,141.6015625,-22.840212443333332,-0.05104148773643564,-0.4307765028534653,-0.0576280212104198,0.4394843876920792,3.2351031255000002,-6.2645050775
94.0,3.088342948914819,1,Kiara,121.26358695652173,-23.52037002111111,-0.0457642764844,-0.403157444235,-0.042095216451350004,0.41145192143099996,2.7338503364999998,-2.3572046330000003
95.0,3.0563082562983266,1,Kiara,135.7421875,-22.209331466000002,-0.04685212108767129,-0.3441539020673267,-0.020134944991333763,0.3543694673712871,2.407165713,-5.0434717634999995
96.0,3.1163062991464483,1,Kiara,179.34782608695653,-20.577246575555552,-0.047088966114017,-0.288902482006,-1.074718235000105e-05,0.302471485687,2.592878609,-3.491637106
97.0,3.1437928820941474,1,Kiara,77.44565217391305,-22.03397937222222,-0.019911535402445547,-0.24506382465445542,0.03080316679348515,0.26321970572178216,3.147661257,-3.3858047855
98.0,3.041557020258395,1,Kiara,113.28125,-23.240508300000002,-0.034548019135061385,-0.17990303814613862,0.0069261427277801995,0.23960564171485146,3.3294204115,-14.289309802
99.0,3.1915439228736844,1,Kiara,73.3695652173913,-23.940857656666665,-0.00968186389584,-0.13022376664292,0.05969671550848,0.1741887244444,2.9535249445,-2.9245690214999995
100.0,3.2683144068172862,1,Kiara,85.9375,-23.879412274,-0.010089269838467328,-0.043699322490673265,0.07711785042572278,0.11574535019130693,3.52225623,-7.70408175
101.0,3.3086974963834157,1,Kiara,57.06521739130435,-22.633931554444445,-0.017809262324118,0.030532888367871172,0.09064034446442999,0.18725711718149998,4.929572959,-2.096686848
102.0,3.3513609310574934,1,Kiara,60.546875,-22.266051023333333,-0.0028585430790405942,0.06550269810280199,0.1457174307792475,0.27080449056445544,4.4505202,-1.141648337
103.0,3.3576018082186336,1,Kiara,73.3695652173913,-23.150955954444445,0.013448084186736,0.0872297425095,0.138002031113162,0.18712681096699998,5.1554004075,-0.07374735550000011
104.0,3.293668509334326,1,Kiara,79.1015625,-22.090561133,-0.01980656159822475,0.08269952143818712,0.1469805393568317,0.19203439425693067,5.0061075299999995,-9.242779879
105.0,3.182971702392009,1,Kiara,89.67391304347827,-18.66760774888889,0.01033158174643495,0.09549005963,0.1663702364570891,0.2702573243920792,5.578490825,-4.5010568719999995
106.0,3.307885463272453,1,Kiara,115.14945652173913,-16.69062789,0.014924308066200001,0.14236260387726,-0.025947189022219996,0.49740995684719996,5.049184952,-5.224562686
107.0,4.094302868049466,1,Kiara,125.9765625,-14.290469431111111,0.031705718361059405,0.07439512630129703,0.27755592785946537,0.5779677253219803,5.9302445835,-14.075108428
108.0,5.762062898126487,1,Kiara,125.33967391304348,-11.6896341143,0.00921695196297,0.2657081358022,0.17755090794586,0.5008229083783,7.655175689,-9.8823339325
109.0,6.02194916661512,1,Kiara,88.8671875,-15.285508067777776,0.03737112794373267,0.5899649950962376,0.24519700222722773,0.8804750584633663,7.9203390185,-8.8441275225
110.0,6.061962342212382,1,Kiara,106.99728260869566,-17.441355292222223,0.05863889755258,0.617121706384,0.24930712566304,0.8060745418199999,9.582082252,-4.5023618925
111.0,6.025400273324519,1,Kiara,83.0078125,-15.941107877777776,0.0957215525620495,0.4543077075348515,0.1933242332798911,0.6577242800772277,9.1009396425,-0.75047146
112.0,5.788519143498563,1,Kiara,99.86413043478261,-20.004254516666666,0.0836926854921782,0.2856171946057426,0.093330494745901,0.5572357105564356,7.698892494000001,-5.065998002
113.0,5.70647311660942,1,Kiara,117.1875,-19.532380931,0.15748202421271,0.31298756089,0.2099653104406661,0.47443649840200003,8.677013205,-5.17343029
114.0,5.48675014760978,1,Kiara,122.0703125,-19.495540883333334,0.23606701678732672,0.19454138911261387,0.14518844301927725,0.4179241036386138,8.892786213,-10.640172291
115.0,5.385601496277598,1,Kiara,80.50271739130434,-21.95224044888889,0.37582664282149997,0.13889255912993,-0.04159022167094,0.46272430774,8.545876753,-7.7312972945
116.0,5.6478704182081225,1,Kiara,101.5625,-20.449578644444443,0.3826754170386139,0.03539374633135049,0.06190504525233663,0.42284770946138617,8.8338972545,-1.7939572275000002
117.0,5.486014701838415,1,Kiara,97.82608695652173,-19.117184606000002,0.334828637564,0.020341615409670003,-0.01217780308241,0.35740963147000004,8.664211255000001,4.5913072135
118.0,5.307968434626819,1,Kiara,97.65625,-19.13683033888889,0.2688776025401089,-0.019781055288651487,-0.0030246662376246535,0.32028901278554456,9.1161600135,6.242970103499999
119.0,5.10878161363684,1,Kiara,98.84510869565217,-18.445123657777778,0.136395746521245,-0.01933672170037,-0.05346489340366,0.2824187962763,9.2068427365,5.468159159500001
120.0,5.332985292499174,1,Kiara,124.0234375,-18.051421472222223,-0.11506770292989109,-0.009675946411584159,0.021251728447930694,0.22804137229722773,9.3344660535,1.894536145
121.0,5.501361661507579,1,Kiara,125.33967391304348,-19.441246947,-0.22637849704940594,0.0014029467673069315,0.06912960439461881,0.29704543454158416,9.401397643,-1.7889291437000001
122.0,6.180486182165262,1,Kiara,136.54891304347825,-16.278397621222222,-0.169704074034998,0.01817842628194,-0.017307267165566,0.251600387574,9.7826295825,-0.4735910565000001
123.0,5.905972600073379,1,Kiara,108.3984375,-11.767200017777778,-0.20552035694872278,0.07707280660140375,0.014048612957039606,0.3745629217509901,10.476257754999999,-3.40098628235
124.0,4.4926238572023145,1,Kiara,74.38858695652173,-18.54214992111111,-0.11971673996091,0.0993041171169657,0.21118340824813,0.476521109531,10.1667066,-0.6058748745
125.0,2.188569905878791,1,Kiara,98.6328125,-16.61672676888889,-0.11751694304555445,0.1481271696610891,0.08495743244482178,0.3416620769209901,10.168227725,-3.74489612886
126.0,1.0965171035137837,1,Kiara,78.46467391304348,-20.140950398,-0.12827956848246,0.10676372588039999,0.07341661061882,0.275076755464,10.658282995,-0.5394572565
127.0,0.9132943601404891,1,Kiara,76.171875,-19.982815215555558,-0.05961337490195941,0.12518344804892576,0.10583573801778218,0.21737867791782178,11.216190619999999,-0.211008789865
128.0,0.8754217597732254,1,Kiara,64.19836956521739,-19.672131392222223,-0.1200932360540792,0.12068757024768317,0.11074863807921782,0.2327249769277228,10.817507535,-2.7651435704000003
129.0,0.8960030459187137,1,Kiara,93.75,-19.219453024444444,-0.13361824293609,0.1217801884306,0.07316490553307001,0.23893140748330002,10.72351721,-0.1424385265000001
130.0,0.8590030183490636,1,Kiara,109.375,-18.432687019,-0.19587225677599998,0.10185150895084356,0.09075315207434653,0.30387814915346534,11.553744905,-4.44724079325
131.0,1.1301981549719395,1,Kiara,125.33967391304348,-20.957261575555556,-0.3566573664682,0.11644365982244001,0.0952339346214988,0.44293659336799995,11.61736251,-6.4089903790000005
132.0,1.0684873224497928,1,Kiara,145.5078125,-19.981138093333335,-0.3538937683891089,0.08385917482254455,0.09164557612967328,0.4039473399376238,11.033010860000001,-8.1049403755
133.0,0.913505307203567,1,Kiara,123.30163043478261,-20.18845769111111,-0.300250294573,0.07799035240602,0.08891770795436998,0.340752461748,11.6186363,-7.951796069
134.0,0.9990992857365394,1,Kiara,112.3046875,-19.900017812222224,-0.23573143047683168,0.06303836880486337,0.08167548293042277,0.2857464911019802,11.88319813,-9.125849473
135.0,0.993735709500688,1,Kiara,125.33967391304348,-20.680153839,-0.194351831859901,0.04676755048482575,0.08535070690773267,0.25978158243237626,11.755459160000001,-4.7103534175
136.0,1.0039174724248539,1,Kiara,131.8359375,-20.67937417111111,-0.16451965878515998,0.054062285881710005,0.08718396758423501,0.2394487555161,11.58559739,-9.194975381
137.0,1.0492434625950502,1,Kiara,109.03532608695652,-20.828043868888887,-0.11586348888672278,0.05864578409117327,0.0973041930229505,0.22612126448683167,11.78737975,-6.6716929025
138.0,0.9931890735611094,1,Kiara,142.66304347826087,-20.763070337,-0.07966937453222,0.062037385173152,0.10982205939884,0.200121708192,11.971538865,-6.452103345499999
139.0,1.5865703757095537,1,Kiara,111.328125,-22.162493407777777,-0.05921090554804653,0.0675647273860901,0.12372045443275248,0.23394087033336633,11.76959077,-6.652506633
140.0,1.5260256994211558,1,Kiara,121.26358695652173,-22.491943965555556,-0.0293938909581,0.073706743617573,0.143703516610658,0.21425176444729999,11.53593491,-6.694693761
141.0,1.0017641403107467,1,Kiara,91.796875,-21.74005579,0.022517557642673266,0.08366753377636436,0.1687857791270495,0.23644195935881188,11.566334335,-6.685251613
142.0,1.025366138875237,1,Kiara,82.54076086956522,-21.80373492,0.15431977375861386,0.10934788257372277,0.14129264585249118,0.2802899590693069,12.295486475,-4.284212046
143.0,1.2783190591529865,1,Kiara,93.75,-21.992405746666666,0.2314614666165,0.19195027874735002,0.16495786483996,0.37388596320899997,12.813627270000001,-1.4113245182
144.0,1.7688218104355906,1,Kiara,106.99728260869566,-22.697639864444444,0.28836307963366337,0.2955948920782178,0.21785670706250493,0.48846180277227724,13.566410015,-2.9884591565
145.0,1.1771054922134327,1,Kiara,231.3179347826087,-19.385366695,0.314727001205,0.270130197885,0.2325496020186,0.484540542772,13.54974044,-3.6943103835000004
146.0,1.0151028694898583,1,Kiara,315.4296875,-14.93348707,0.33530732096435645,0.2114213888831683,0.18441823491336634,0.4491571383465347,13.30017688,-5.499250522
147.0,1.0762237412739173,1,Kiara,219.08967391304347,-17.74811752,0.288535174907,0.18041503203569997,0.15980350915966,0.399466931349,13.54294265,-5.409855741
