timestamp,BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
608.0,1.9185489550373611,1,Kiara,98.84510869565216,-16.92651816888889,-0.0025309897294158,-0.0306908032824257,0.0322474232729881,0.1439433740565346,10.51153094,-28.20515749,0.15606273109779417,0.545964728516287,0.02193926836350974,69.8483455110594
609.0,1.9275238509883357,1,Kiara,110.05434782608695,-17.866561222,-0.008314062379125,-0.024355191012696,0.02728357601292,0.2019388858270999,10.112381746,-26.744109135,0.18972332015810275,0.5023202218767632,0.015572538542602847,69.94688937402404
610.0,1.9169499288796892,1,Kiara,102.5390625,-18.27500370222222,-0.0214079750221683,-0.0169755120116237,0.0285716724665079,0.1185288452126732,10.1549861195,-28.62630758,0.16715542521994134,0.48335697282032325,0.01739393364853126,69.28254364743096
611.0,1.869369065857904,1,Kiara,85.59782608695652,-17.83953935,-0.006578120534462,-0.037114520155306,0.0221018202781319,0.1345986961348,10.248584025,-25.583014845,0.11628203493561136,0.5035747987474856,0.02113522304281797,68.5376200680246
612.0,1.7816617519867095,1,Kiara,119.140625,-18.342716856666662,-0.0205670180428725,-0.0306461835261623,0.0257931624264158,0.1303326010516831,9.5427988585,-29.380511845,0.21700879765395895,0.4802131729603564,0.0223329207348053,70.2813973944819
613.0,0.8622015839730641,1,Kiara,96.8070652173913,-19.641536668,-0.0138005991066039,-0.0095544372156732,0.0314165976106029,0.16830702964,9.6581310275,-30.02519509,0.1499426239959199,0.41991130732592935,0.01387702679520329,68.14880438219117
614.0,0.6588112084485171,1,Kiara,111.328125,-19.830606860000003,0.04089760655299,0.2632656354126,0.105999991804551,0.3292944281847,10.516888483,-32.712123085,0.1935483870967742,0.41113311868577057,0.23957852764599327,70.72119338733268
615.0,0.7203224004487746,1,Kiara,95.78804347826087,-18.904262852222224,0.0708717678267247,0.3904739726683168,0.1330585157300683,0.4352117426118811,12.247989575,-23.317684135,0.1468825704449828,0.45414160331223113,0.3580663518094115,71.25188146312172
616.0,0.7605257612609865,1,Kiara,124.0234375,-18.44741385333333,0.0935043618533,0.3607110849459999,0.13310370746861,0.416474745215,13.153104865,-20.52903249,0.2316715542521994,0.4753522798863277,0.3375075690467956,73.03771899605428
617.0,0.7136081893657819,1,Kiara,136.54891304347825,-18.137580903,0.1167748118232376,0.324891753880198,0.1370603501153762,0.4067560841029702,12.65923019,-20.850899305,0.26928471248246844,0.4897372659922438,0.3157207967054228,73.78830781519967
618.0,0.7900866513395784,1,Kiara,127.37771739130434,-19.14345762,0.10376923371387,0.301253954704,0.12286560122978,0.353753417589,13.41142815,-21.07242925,0.24174423052403415,0.4430362208556869,0.28879455550015826,72.46167570475019
619.0,0.8152290720567709,1,Kiara,113.28125,-17.34201077875,0.1238264699475247,0.2634929284227723,0.1248481333925049,0.3333424059821782,13.52535251,-18.300249655,0.19941348973607037,0.5266741546327385,0.2665806425841572,72.44100479098753
620.0,0.8606641307220904,1,Kiara,122.28260869565216,-19.25772807888889,0.1488652434395,0.2283002900734,0.114399949785476,0.321190348235,13.120674245,-17.320642980000002,0.22644396276934842,0.4377308491653457,0.24753022558989815,71.7618912500903
621.0,0.8039522300077454,1,Kiara,96.6796875,-18.81828309333333,0.1917926484960396,0.2089169555017822,0.1185183719254504,0.3222606517752475,12.412834975,-16.19651057,0.1495601173020528,0.4581334887320231,0.2581258785443954,70.5538112391805
622.0,0.9171456235744464,1,Kiara,95.78804347826087,-17.427198422222222,0.2574329721782178,0.1705956588144554,0.1223165437421089,0.3415498154386138,12.909320735,-12.632679965,0.1468825704449828,0.5227190457057336,0.2804131757133626,71.45358536307536
623.0,0.83126091330411,1,Kiara,117.1875,-18.617282229,0.29028805358,0.1692918254637,0.10982953213773,0.361572946781,13.21718482,-9.909659572,0.21114369501466276,0.46746559701037566,0.29962023577311414,72.22942295060268
624.0,0.6408404805795279,1,Kiara,111.0733695652174,-17.19388832,0.3334219546663366,0.2193439145237624,0.1229262172892178,0.4288098465455445,13.71245098,-7.6106671045,0.19278337370903995,0.5335512137344273,0.35720160915964533,73.11589491227109
625.0,0.6304224251126993,1,Kiara,103.94021739130434,-17.444644696666664,0.349502197649,0.0964683461684,0.10261105086215,0.391056601448,13.898522884999998,-1.99558075515,0.1713629988524799,0.5219090465910065,0.3205379834637982,72.25447240385206
626.0,0.6333493019910506,1,Kiara,96.6796875,-17.767362963333333,0.3741544205564356,-0.0028992333314009,0.0924856647052277,0.4018583180435643,13.05262613,-2.0272902565,0.1495601173020528,0.506925818444578,0.3282809621180616,71.70055986432048
627.0,0.6338191149161416,1,Kiara,111.0733695652174,-17.265193034,0.360099390165,-0.130098134829,0.03816785804523,0.4056457954199999,12.61090998,-1.37325481625,0.19278337370903995,0.5302406642300159,0.3276978898060749,72.84013856338959
628.0,0.6415816342933008,1,Kiara,104.4921875,-15.647183021111111,0.2570239437060396,-0.2929015994118812,0.0161830956104346,0.418800288540594,12.2450022,1.610459800505,0.17302052785923755,0.6053619562991762,0.33240841415897665,73.38402134604668
