BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,timestamp,Inclination (deg)_mean,Rotation (deg)_mean
3.490742142539319,2,Esmee,87.5,-28.74275611,0.18329414730357002,-0.914603505338,0.104461852492958,0.985404569361,0.0,6.4452677165,-11.257620495000001
3.628523410270293,2,Esmee,71.2890625,-26.205454996999997,0.17249102454542573,-0.7341062716141633,0.1298506868989406,0.8413347539465347,1.0,6.0366594165,0.3461075099999995
3.3381720770061634,2,Esmee,81.52173913043478,-26.223823752222224,0.1278053377811,-0.7416589432684999,0.12813131128518,0.8333803043269999,2.0,6.433172621000001,4.4335819690000005
3.031211926809176,2,Esmee,79.4836956521739,-27.197005345555553,0.10555711855327723,-0.6003146084035644,0.16474160163214852,0.7376505171405942,3.0,6.263751248,2.6621511515
3.0590765302856004,2,Esmee,74.21875,-26.708060851,0.04964009467889109,-0.5840860568162772,0.13164783152871287,0.7327258048277229,4.0,6.055456084999999,-4.25815371
3.7596263797855807,2,Esmee,78.46467391304348,-25.051975534444445,0.4256209466208,-0.36933710834343997,0.2390215868019,1.114131694218,5.0,7.916382799999999,-82.5984449515
4.150120085103075,2,Esmee,71.33152173913044,-25.37772284888889,-0.12765940576261386,-0.65831295047,0.09608585905790099,1.1142381580237624,6.0,5.89443017,-7.4179280915
3.129003778532377,2,Esmee,75.1953125,-22.220965282222224,-0.5335352969703699,-0.5315032635408999,0.147746451088328,1.047236984295,7.0,5.7801051975,-6.5687449255
2.348272331384393,2,Esmee,98.84510869565217,-22.880385874,-0.2878942291939881,0.17765623864396038,0.2175663899109505,1.1549482351663367,8.0,5.8913370235,-9.150579653
3.49986080792424,2,Esmee,95.703125,-20.686016603333332,-0.5846381536085,-0.08208430634140002,-0.053517079798519995,0.968812524132,9.0,5.648142096999999,-8.763422238
4.675893046645056,2,Esmee,93.75,-20.422711794444442,-0.49208089468811883,-0.04135197791723564,0.10366531524907921,0.5830257862227722,10.0,5.6563364955,-5.603684719
4.287288786288706,2,Esmee,100.5859375,-22.800136376666668,-0.3900114561,-0.04359095686818119,0.05215956619128713,0.47850257133465346,11.0,5.579768789,-3.423190685
5.046857067351069,2,Esmee,89.67391304347827,-23.48257858222222,-0.3145509488488,0.013732604398969998,0.10608403968077001,0.431282886562,12.0,5.144946526,-5.648863254
4.5593861511595115,2,Esmee,87.63586956521739,-23.996904772,-0.22264166201631586,-0.023193353209415842,0.053346498863900985,0.41985252086237623,13.0,4.771989422,-6.0636975435
4.262282586604039,2,Esmee,141.6015625,-24.05332145222222,-0.12033672212598001,-0.057519013961230006,0.088229484825999,0.3734359231113,14.0,4.8398123715,-7.1582386525
4.670519844664884,2,Esmee,103.94021739130434,-23.250102495555556,-0.1068075626269604,0.004009068875772278,0.1326570667349406,0.28795299855306933,15.0,4.7652864505,-6.9760656700000006
5.088377474342499,2,Esmee,74.21875,-23.27647443444444,-0.041918548678130996,0.0171680529992406,0.10466601387295,0.16938082962679998,16.0,4.401376840999999,-2.2845621579
5.192798214269486,2,Esmee,64.19836956521739,-22.869090746,-0.022978255640916833,-0.010162277354394058,0.07967099950859406,0.13190581274930693,17.0,4.0799673235,-3.297461897
