BrightnessEV_mean,trial,experimenter,timestamp,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
1.5187596048728549,2,Yaoyi,0.0,66.40625,-15.961949609625,0.595122528497,-0.688426492017,0.03427059525833,0.985484994162,5.51350173,11.65202435,0.0056471651231082,0.5574719337899672,0.7653127967841699,72.92510888221513
1.6546485301915654,2,Yaoyi,1.0,71.33152173913044,-13.087071392,0.5654734189980001,-0.796339048845,0.1843465068858,1.110665396834,5.58778342,10.802084817,0.008495300576501903,0.671993650906407,0.836576962411051,74.92644552169533
1.6013644452869835,2,Yaoyi,2.0,73.2421875,-14.356600424444444,0.6282479306376237,-0.8688338935079207,0.10521551632599,1.1064931800059403,5.5358204075,0.7784250414999999,0.009600180709283939,0.6214215453356817,0.9079372906139909,74.91256048312579
1.6175902365128818,2,Yaoyi,3.0,70.3125,-14.614102483333332,0.6569252021623762,-0.7122928576841584,0.1171390716416722,1.0072097923514851,3.9807335865,-8.981015428000001,0.00790603117235148,0.6111638663271649,0.8212588571351959,74.06215787645458
1.9032217459643104,2,Yaoyi,4.0,88.65489130434783,-14.721362878888888,0.6201425333080001,-0.550346649817,0.12773118631854,0.91996976349,4.45788548,-2.536945136,0.018512880447059055,0.6068911132754692,0.7039326396635803,73.28441208555546
2.0357072652391945,2,Yaoyi,5.0,95.703125,-15.081759928,0.5872282919217822,-0.3887173156663366,0.1093673983757128,0.7671986861267327,4.604456779,-4.0716912265,0.0225886604924328,0.5925345785691054,0.5959125417875213,72.3294884869781
2.0884849682054454,2,Yaoyi,6.0,72.35054347826087,-14.598042128888888,0.316688249694,-0.23155206337557,0.09542130280212,0.473243246492,4.8492044955,-6.6114425720000005,0.009084569980652324,0.6118036358162516,0.33157952139607577,70.17597120057667
2.0271326051054226,2,Yaoyi,7.0,97.65625,-14.92197378777778,0.1826154011027128,-0.0805404019630435,0.0709639164716831,0.338416310950495,4.724672144,-3.404100826,0.02371809351705444,0.5988997118945699,0.1673599162148095,69.0000377427944
1.8477275021110515,2,Yaoyi,8.0,87.63586956521739,-16.5565856,0.273299794418,0.041382903888883,0.06403999221349,0.347695758823,4.222956893999999,1.09550516435,0.017923611042908634,0.5337844139988724,0.22888958068972307,68.59500183436242
2.471615195262276,2,Yaoyi,9.0,116.2109375,-15.5995217498,0.2276741005485148,0.1723217257571287,0.043227573763495,0.3603328345544554,29.8608960605,-98.902849725,0.03444770725096002,0.571909366507477,0.23321247303978482,69.41756632742721
2.211801091638712,2,Yaoyi,10.0,94.76902173913044,-17.69947270666667,0.18366419538294,0.1859265455162999,0.1051146297988299,0.519733987718,12.09058442,110.081143765,0.02204849687196158,0.48825713109579555,0.22713999308757576,68.11717545528938
1.7768306626138268,2,Yaoyi,11.0,82.03125,-17.399334356666667,0.0889680173998812,0.2661133259113663,0.0231282562576767,0.6524924838673267,5.786456391,-119.96006605,0.01468262932008132,0.5002132407507259,0.22701272143285045,68.11231324687314
1.9546835098133253,2,Yaoyi,12.0,78.46467391304348,-20.48967115555556,0.111334556843516,0.17176159891158,0.05277192817185,0.5960551528139,6.390971543,-123.0807429,0.012620186405554849,0.37710866035244694,0.16697837109908287,66.11353462113313
2.436074500963926,2,Yaoyi,13.0,95.78804347826087,-21.593621594444446,0.1970556991750396,0.1822196177862376,0.0829887733571287,0.3449819151435643,6.015807945,-117.0182244,0.022637766276112005,0.3331324323863642,0.2264887235029583,66.26225430218227
2.2859940649151,2,Yaoyi,14.0,117.1875,-22.191912847,0.2135192253082178,0.1482889130150158,0.0658510937377762,0.3060415172415841,5.558179582499999,-110.21351425,0.035012423763270836,0.3092993040269266,0.21557188226105162,66.13641518167695
2.6673181607183447,2,Yaoyi,15.0,94.76902173913044,-22.065840243333334,0.287207879426,0.1021618282854879,0.10305804126231,0.344208726003,4.3829353055,-110.04501152,0.02204849687196158,0.31432144756147073,0.2614472425422362,66.30440524851477
2.931851842701774,2,Yaoyi,16.0,101.5625,-21.31013844,0.1194567639172277,0.0884883901297029,0.0776725948835247,0.1819790375751485,5.4462200395,46.05443546,0.025976959566297718,0.3444250768613649,0.1296265337190013,65.68965238341434
2.8983117599522408,2,Yaoyi,17.0,123.3016304347826,-22.596000340000003,0.2017770537355,0.067160676056156,0.09161652542313,0.2395974197082,5.53865945,-81.74843911,0.03854804018817336,0.29320234615235347,0.18424049486639837,65.76331291652289
2.6207565624799805,2,Yaoyi,18.0,94.7265625,-21.645844388,0.2326483446366336,0.05338705849299,0.1001144343417821,0.2645565343316832,12.335132465,25.009045009999998,0.022023943980121977,0.3310521202695121,0.20758681240959653,66.07379882211336
2.3018089690419603,2,Yaoyi,19.0,95.78804347826087,-21.18402385888889,0.08789826340371,0.0364679182360015,0.08296976232062,0.1780865044980999,5.416049410499999,-59.76318412,0.022637766276112005,0.3494488925811823,0.0941373269832713,65.3992406523626
2.270437773198955,2,Yaoyi,20.0,126.3586956521739,-23.55724459888889,-0.0493848957830396,0.0367226295713069,0.0880271975103564,0.1198277629216831,5.155728532,-59.33839707,0.040315848400624625,0.25491086569193344,0.07801068479465119,64.48933283467291
