BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,timestamp,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
4.505161136542736,2,Kiara,49.8046875,0.0,-17.1827492125,0.32656141740898,-0.066182849107488,0.02652246148915,0.378477249491,39.52811879,-10.04400869,0.002988565488565488,0.5291995953155556,0.26062850594640574,68.49519450112922
4.639183672538795,2,Kiara,46.875,1.0,-16.110023702,0.268741800652,-0.0637234086085527,0.10893073323343,0.32767351266,25.10324535,62.079718873,0.0,0.5749963030170188,0.22961214949750886,68.7368528321843
4.602771657155127,2,Kiara,80.50271739130434,2.0,-13.881960586666668,0.1840637427631782,-0.0080851752124554,0.0688696232946633,0.3111735902954455,32.28352620333333,104.83446889666668,0.03430353430353429,0.6701165870361544,0.14641141231932106,69.8987610290591
4.477671376583086,2,Kiara,49.932065217391305,3.0,-14.61227650111111,0.0868390494387901,-0.0524624722225049,0.0913600004307856,0.3039780759282178,4.173761667,-118.79714,0.0031185031185031182,0.6389380011479996,0.09645756560816449,68.50128660101137
4.073640909038086,2,Kiara,46.875,4.0,-18.09230962555556,0.012103165934306,-0.04891674268421,0.090224642518627,0.3000102200496,4.364393448,-109.84140145,0.0,0.490368718296408,0.0689041426485469,66.43565776074527
4.935688808142265,2,Kiara,46.875,5.0,-16.117163123,-0.0532409757980198,-0.0076619388261455,0.0864008436826831,0.277788364159901,4.456975298,-116.6865525,0.0,0.5746915074532941,0.06760312865632168,67.4371231186901
4.677006760920835,2,Kiara,57.29166666666666,6.0,-13.74567920111111,-0.1058519552899699,-0.01376227280523,0.1090749314184,0.293182643752,10.5556934835,19.97577583,0.010626010626010615,0.675934700540819,0.10981436507685079,69.20225153962485
4.305411766217574,2,Kiara,60.9375,7.0,-16.785231505555558,-0.0757813296194851,0.0063879043538514,0.0418200389615574,0.2806671319845544,4.9370871065,-32.033053831000004,0.014345114345114342,0.5461703879860916,0.05516021735625803,67.28222868158545
4.128721465608281,2,Kiara,49.3421052631579,8.0,-14.363316335,-0.07995646952897,0.020323418142924,0.11342717775601,0.416018371655,3.385100459,-10.70180553,0.002516686727213045,0.6495665877203315,0.09955281282769342,68.64155528980979
4.079466047895684,2,Kiara,58.59375,9.0,-13.968837466666669,-0.1553675090433663,0.0001443386637722,0.0597124609608019,0.3441706907762376,3.806402643,37.975425115,0.011954261954261951,0.666407646547249,0.12129904400749314,69.20636934971218
4.132331009776706,2,Kiara,53.90625,10.0,-14.887034647777776,-0.1991427820150495,-0.0376263608899901,0.1056451708880891,0.3324440592831683,3.4633210965,-5.3502359035,0.007172557172557171,0.6272080493492174,0.17286160380943152,69.0528405661172
4.1517688755656,2,Kiara,49.00568181818182,11.0,-16.462332765,-0.15999225654812,0.03941814916736,0.110822822049437,0.486060955178,2.614808051,-12.674374111,0.002173502173502175,0.559955553989556,0.1479766666605732,67.9467500246293
4.1794819353469865,2,Kiara,51.33928571428572,12.0,-13.865584875555555,-0.1094637869767821,0.147638327230198,0.0295270785469009,0.5767617559366336,3.3162988795,-157.40209199999998,0.004554004554004561,0.6708156975241764,0.13765691381152573,69.24212377186241
4.143495064353917,2,Kiara,75.0,13.0,-14.100860596666667,-0.632885523142,0.441996580176,0.14510959655971,0.8096638486090001,3.2907635615,-128.5226041,0.028690228690228685,0.6607713261323238,0.635269946412967,73.5852200586962
4.063846610319301,2,Kiara,54.6875,14.0,-14.3831578592,-0.6665198831264356,0.5899498632480298,0.1521880232970099,0.951909067460396,2.6419172405,-118.57620855,0.007969507969507968,0.6487195150300257,0.7328744005355436,73.80701954403482
4.013938877976838,2,Kiara,53.04276315789474,15.0,-13.488802280222224,-0.455512430852,0.669203481853,0.215999578515167,0.8654489885540001,3.78081942,-74.43737295,0.006291716818032609,0.6869012685454495,0.6787555563168183,73.7986940094406
3.5254285722918235,2,Kiara,58.59375,16.0,-13.141237651111112,-0.1235593998690693,0.701406166400396,0.2500908264654455,0.857834364140594,2.62842135,-66.859092565,0.011954261954261951,0.7017394685984621,0.6098384200833696,73.53866622293374
1.7323884891408146,2,Kiara,61.19791666666666,17.0,-11.632945068555555,-0.034318963677288,0.658934948189,0.24814083418323,0.776389593053,2.319797011,-92.453213885,0.014610764610764599,0.7661313692808519,0.5684108001789852,74.0330781250174
0.6797063040715455,2,Kiara,51.0110294117647,18.0,-12.59031848,-0.0524687783298514,0.5778429615372198,0.2463905926273099,0.7229437963059406,13.941405455000002,-155.53528795,0.004219151277974804,0.7252592637366873,0.5064901759421944,72.8394155979373
0.6142534481950911,2,Kiara,50.223214285714285,19.0,-12.601987274444443,-0.1403932601418712,0.5196241457683168,0.2746283022273267,0.7416214665346534,6.207768720500001,-75.07158869,0.0034155034155034136,0.724761100541005,0.4848197768531494,72.64400148962733
0.9679487305006724,2,Kiara,71.69117647058823,20.0,-12.185154231111111,-0.1697640363660099,0.6010932749671,0.1060166797561699,0.784261711371,2.7300945665,-80.87818720499999,0.025314907667848836,0.7425565019358596,0.5091236021547756,73.4899649938255
2.0847369909247164,2,Kiara,64.453125,21.0,-13.834675282222223,-0.1221992910594841,0.4583247852092673,0.1930864889693564,0.6140803918039603,1.6072401874,-7.890912969999995,0.01793139293139293,0.6721352872954663,0.4083173929415606,71.69079044970594
