BrightnessEV_mean,trial,experimenter,timestamp,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean
1.5187596048728549,2,Yaoyi,0.0,66.40625,-15.961949609625,0.595122528497,-0.688426492017,0.034270595258330004,0.985484994162,5.51350173,11.65202435
1.6546485301915654,2,Yaoyi,1.0,71.33152173913044,-13.087071391999999,0.5654734189980001,-0.796339048845,0.1843465068858,1.110665396834,5.58778342,10.802084817
1.6013644452869835,2,Yaoyi,2.0,73.2421875,-14.356600424444444,0.6282479306376237,-0.8688338935079207,0.10521551632599009,1.1064931800059405,5.5358204075,0.7784250414999999
1.6175902365128818,2,Yaoyi,3.0,70.3125,-14.614102483333333,0.6569252021623762,-0.7122928576841584,0.11713907164167228,1.0072097923514853,3.9807335865,-8.981015428000001
1.9032217459643106,2,Yaoyi,4.0,88.65489130434783,-14.721362878888888,0.6201425333080001,-0.550346649817,0.12773118631854,0.9199697634899999,4.45788548,-2.536945136
2.0357072652391945,2,Yaoyi,5.0,95.703125,-15.081759928,0.5872282919217822,-0.3887173156663366,0.10936739837571287,0.7671986861267327,4.6044567789999995,-4.0716912265
2.0884849682054454,2,Yaoyi,6.0,72.35054347826087,-14.598042128888888,0.316688249694,-0.23155206337557,0.09542130280212,0.473243246492,4.8492044955,-6.6114425720000005
2.0271326051054226,2,Yaoyi,7.0,97.65625,-14.92197378777778,0.18261540110271288,-0.08054040196304356,0.07096391647168317,0.33841631095049507,4.7246721439999995,-3.404100826
1.8477275021110515,2,Yaoyi,8.0,87.63586956521739,-16.5565856,0.273299794418,0.041382903888883,0.06403999221349001,0.347695758823,4.222956893999999,1.09550516435
2.471615195262276,2,Yaoyi,9.0,116.2109375,-15.5995217498,0.22767410054851486,0.1723217257571287,0.04322757376349505,0.3603328345544554,29.8608960605,-98.902849725
2.2118010916387116,2,Yaoyi,10.0,94.76902173913044,-17.69947270666667,0.18366419538294,0.18592654551629997,0.10511462979882999,0.519733987718,12.090584419999999,110.08114376500001
1.7768306626138268,2,Yaoyi,11.0,82.03125,-17.399334356666667,0.0889680173998812,0.2661133259113663,0.023128256257676727,0.6524924838673267,5.786456391,-119.96006605
1.9546835098133253,2,Yaoyi,12.0,78.46467391304348,-20.489671155555556,0.11133455684351601,0.17176159891158002,0.05277192817185001,0.5960551528139,6.390971543,-123.08074289999999
2.436074500963926,2,Yaoyi,13.0,95.78804347826087,-21.593621594444446,0.1970556991750396,0.18221961778623763,0.0829887733571287,0.34498191514356435,6.015807945,-117.0182244
2.2859940649150996,2,Yaoyi,14.0,117.1875,-22.191912847,0.21351922530821782,0.14828891301501584,0.06585109373777624,0.3060415172415841,5.558179582499999,-110.21351425
2.6673181607183447,2,Yaoyi,15.0,94.76902173913044,-22.065840243333334,0.287207879426,0.10216182828548799,0.10305804126231001,0.344208726003,4.3829353055,-110.04501152
2.931851842701774,2,Yaoyi,16.0,101.5625,-21.31013844,0.11945676391722772,0.08848839012970297,0.07767259488352475,0.18197903757514852,5.4462200395,46.05443546
2.8983117599522408,2,Yaoyi,17.0,123.30163043478261,-22.596000340000003,0.2017770537355,0.067160676056156,0.09161652542313,0.2395974197082,5.53865945,-81.74843911
2.6207565624799805,2,Yaoyi,18.0,94.7265625,-21.645844388,0.23264834463663364,0.053387058492990094,0.10011443434178217,0.2645565343316832,12.335132465000001,25.009045009999994
2.3018089690419603,2,Yaoyi,19.0,95.78804347826087,-21.18402385888889,0.08789826340371,0.036467918236001505,0.08296976232062,0.17808650449809998,5.416049410499999,-59.76318412
2.270437773198955,2,Yaoyi,20.0,126.3586956521739,-23.55724459888889,-0.04938489578303961,0.03672262957130693,0.08802719751035643,0.11982776292168316,5.155728532,-59.33839707
2.1138837336942755,2,Yaoyi,21.0,147.4609375,-24.316868671111113,-0.44108784630590003,0.022099879000501,0.050661942870876005,0.46064781980150005,5.0543320985,-57.700281065
1.9828720338719645,2,Yaoyi,22.0,168.13858695652175,-24.642542176,-0.7360727264326733,0.012737991046821783,0.026689899514680197,0.8509981540326732,5.007021223,-56.80380859
2.7114879963394025,2,Yaoyi,23.0,592.7734375,-24.23015402,-0.622732421528,0.018540215444729998,0.030705530331828,0.647694917478,5.0662711185,-57.034987709999996
3.114991070354357,2,Yaoyi,24.0,972.1467391304348,-23.448862574444448,-0.48778059033465343,0.014288122290760397,0.038411378542732674,0.49763887757821784,5.0505704265,-55.76786549
2.997001159509951,2,Yaoyi,25.0,160.15625,-25.017120134444447,-0.3877539290009901,0.010823360444636634,0.04208494098518812,0.39693927822574254,5.047926391,-55.5260597
3.0166285197613045,2,Yaoyi,26.0,162.02445652173913,-25.617526824,-0.30464204743,0.007767349910091001,0.039528815030425005,0.309470794017,5.033875969,-55.9567286
3.181833788834447,2,Yaoyi,27.0,162.109375,-26.135977285555555,-0.24210642066336635,0.005681306335759406,0.048508147906633665,0.26590485813861386,5.0668285345,-55.819739245
3.1767671906569337,2,Yaoyi,28.0,164.0625,-25.00152526222222,-0.191026541652,0.006020378750869,0.04419748928626,0.207268340476,5.0126841335000005,-55.255259475
3.18235713625399,2,Yaoyi,29.0,157.9483695652174,-26.205229378000002,-0.15806741147851486,0.01241356646577228,0.04619212368277227,0.3338290990485149,5.0276081315,-55.89431887
