timestamp,BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
0.0,3.630640009962639,1,Yaoyi,63.28125,-23.22593669,-0.3209049811334752,0.0251344985503356,0.0513874558383762,0.5443871165871287,11.265200865,-10.745187147425,0.03034380776340111,0.04390121114421,0.31794305260436295,63.67723510983345
1.0,5.006607621314743,1,Yaoyi,98.01136363636364,-21.657463654,-0.221046101541141,-0.13471314735729,0.05203322603928,0.7405031581510001,11.251545875,-5.717157681,0.09082171063686775,0.1568561070457906,0.25488132445897177,65.73775809295861
2.0,5.032595397599764,1,Yaoyi,94.921875,-19.036396176666667,-0.1637768984309109,-0.0586405606780594,0.0029360490834504,0.5922300063930693,9.834002813,2.8594150179999995,0.08544177449168207,0.3456144709181072,0.16317291990645882,67.1615925001026
3.0,5.068440947064616,1,Yaoyi,61.78977272727273,-20.374327797777777,0.10741618816126,-0.105122924073753,0.00602921608761,0.42657119931,8.174767747,19.905307515,0.027746597210552847,0.2492622075910643,0.13917448311328542,64.6594743002101
4.0,5.128109197958678,1,Yaoyi,89.0625,-17.64976507,0.0634637142967623,-0.5916056145206436,0.020106531009693,0.8410725429445545,7.1867182195,19.96292493,0.07523844731977819,0.445473868378241,0.5922632041042732,71.58856099976865
5.0,5.142878553027432,1,Yaoyi,93.75,-14.935578856,0.2348898959996299,-0.5582842582152999,0.16342924476829,0.908061344279,7.906060222000001,-19.96417648,0.08340110905730129,0.640938255857756,0.6248577565319954,74.35814330369506
6.0,4.048813751605036,1,Yaoyi,68.08035714285714,-16.41737898222222,0.1970280246697623,-0.4558968569961386,0.0817017490912376,0.7644910999336634,8.235399154,-4.715513719999999,0.03870081858991285,0.5342251819554896,0.4985608663568006,71.17320548611853
7.0,3.419198850879188,1,Yaoyi,103.61842105263158,-17.817532676666666,0.24114068135676,-0.566384691114,-0.0315195504688299,0.905086631777,7.373154651,-4.011188773,0.10058566008366572,0.4333919440405309,0.6136978615199842,72.12199942231956
8.0,3.585090872510371,1,Yaoyi,117.1875,-19.41552780111111,0.2865012700843267,-0.3042904612450495,0.0949470993412841,0.8787426821891089,8.1495464775,1.46398827545,0.12421441774491682,0.31831099027853355,0.42245441581576987,69.6836555647669
9.0,3.664061335101512,1,Yaoyi,71.2890625,-19.299052075555554,0.2881371136434,-0.4923596148221,0.0092323208218099,0.869811525052,9.7298595435,-3.176700561500001,0.044288354898336414,0.3266990869516784,0.5670177213264261,69.34229791199827
10.0,3.7266598323794295,1,Yaoyi,88.65489130434783,-19.272961588,0.3612342218054455,-0.1479331242338168,0.0920089892650495,0.5383356283178218,8.658179516,-31.512386095,0.07452865064695009,0.32857801520751545,0.39440608636513647,68.58875788635028
11.0,3.5993774464816126,1,Yaoyi,56.04619565217392,-20.098234536666663,0.6091277630564356,-0.3609217499211386,0.1266563703582079,0.7875403291386138,6.481994746,-13.61412348,0.01774491682070242,0.26914529442274243,0.7184639946134788,69.3323538263948
12.0,3.665551321868517,1,Yaoyi,70.3125,-15.842566486666666,0.714446962734,-0.666321126857,0.1924942335277999,1.030191904354,6.3399247075,-19.2367492945,0.04258780036968577,0.5756207839889093,1.0,75.75920541526062
