timestamp,BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,Inclination (deg)_mean,Rotation (deg)_mean
0.0,3.630640009962639,1,Yaoyi,63.28125,-23.22593669,-0.32090498113347526,0.025134498550335643,0.05138745583837624,0.5443871165871287,11.265200865,-10.745187147425
1.0,5.006607621314743,1,Yaoyi,98.01136363636364,-21.657463654,-0.22104610154114102,-0.13471314735729,0.05203322603928,0.7405031581510001,11.251545875,-5.717157681
2.0,5.0325953975997635,1,Yaoyi,94.921875,-19.036396176666667,-0.1637768984309109,-0.05864056067805941,0.002936049083450499,0.5922300063930693,9.834002813,2.8594150179999995
3.0,5.068440947064616,1,Yaoyi,61.78977272727273,-20.374327797777777,0.10741618816126,-0.105122924073753,0.006029216087610001,0.42657119931,8.174767747,19.905307515
4.0,5.128109197958678,1,Yaoyi,89.0625,-17.64976507,0.06346371429676237,-0.5916056145206436,0.020106531009693066,0.8410725429445545,7.1867182194999994,19.96292493
5.0,5.142878553027432,1,Yaoyi,93.75,-14.935578856000001,0.23488989599962998,-0.5582842582152999,0.16342924476829002,0.9080613442790001,7.906060222000001,-19.96417648
6.0,4.048813751605036,1,Yaoyi,68.08035714285714,-16.41737898222222,0.19702802466976238,-0.45589685699613863,0.08170174909123762,0.7644910999336634,8.235399154,-4.715513719999999
7.0,3.4191988508791877,1,Yaoyi,103.61842105263158,-17.817532676666666,0.24114068135676,-0.566384691114,-0.031519550468829996,0.905086631777,7.373154651,-4.011188773
8.0,3.585090872510371,1,Yaoyi,117.1875,-19.41552780111111,0.28650127008432674,-0.3042904612450495,0.09494709934128416,0.8787426821891089,8.1495464775,1.46398827545
9.0,3.664061335101512,1,Yaoyi,71.2890625,-19.299052075555554,0.2881371136434,-0.4923596148221,0.009232320821809999,0.869811525052,9.7298595435,-3.1767005615000006
