BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,timestamp,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
3.490742142539319,2,Esmee,87.5,-28.74275611,0.18329414730357,-0.914603505338,0.104461852492958,0.985404569361,0.0,6.4452677165,-11.257620495,0.02101010101010101,0.04771472169185691,0.7716237860700105,67.16576896906439
3.628523410270293,2,Esmee,71.2890625,-26.205454997,0.1724910245454257,-0.7341062716141633,0.1298506868989406,0.8413347539465347,1.0,6.0366594165,0.3461075099999995,0.012626262626262626,0.20118873195357528,0.6270849296191693,67.6834694729215
3.338172077006164,2,Esmee,81.52173913043478,-26.223823752222224,0.1278053377811,-0.7416589432684999,0.12813131128518,0.8333803043269999,2.0,6.433172621000001,4.4335819690000005,0.017918313570487482,0.20007765904503222,0.6256037935850466,67.76412852863051
3.031211926809176,2,Esmee,79.4836956521739,-27.197005345555556,0.1055571185532772,-0.6003146084035644,0.1647416016321485,0.7376505171405942,3.0,6.263751248,2.6621511515,0.016864295125164686,0.14121271744369399,0.5155685740238849,66.1563871040187
3.0590765302856004,2,Esmee,74.21875,-26.708060851,0.049640094678891,-0.5840860568162772,0.1316478315287128,0.7327258048277229,4.0,6.055456084999999,-4.25815371,0.014141414141414142,0.17078755662630318,0.490063181594785,66.2527844151022
3.7596263797855807,2,Esmee,78.46467391304348,-25.051975534444445,0.4256209466208,-0.3693371083434399,0.2390215868019,1.114131694218,5.0,7.916382799999999,-82.5984449515,0.016337285902503298,0.27095937051354535,0.4995062813778021,67.57430841523502
4.150120085103075,2,Esmee,71.33152173913044,-25.37772284888889,-0.1276594057626138,-0.65831295047,0.0960858590579009,1.1142381580237624,6.0,5.89443017,-7.4179280915,0.01264822134387352,0.2512558570347437,0.5539323854806881,67.6994937951399
3.129003778532377,2,Esmee,75.1953125,-22.220965282222224,-0.5335352969703699,-0.5315032635408999,0.147746451088328,1.047236984295,7.0,5.7801051975,-6.5687449255,0.014646464646464647,0.44219899764115284,0.6289655130978439,70.63104136940588
2.348272331384393,2,Esmee,98.84510869565216,-22.880385874,-0.2878942291939881,0.1776562386439603,0.2175663899109505,1.1549482351663367,8.0,5.8913370235,-9.150579653,0.026877470355731216,0.40231255209838007,0.3245630243845896,67.9618042273719
3.49986080792424,2,Esmee,95.703125,-20.68601660333333,-0.5846381536085,-0.0820843063414,-0.0535170797985199,0.968812524132,9.0,5.648142096999999,-8.763422238,0.025252525252525252,0.535043606461141,0.48339601891976636,70.79274193394232
4.675893046645056,2,Esmee,93.75,-20.42271179444444,-0.4920808946881188,-0.0413519779172356,0.1036653152490792,0.5830257862227722,10.0,5.6563364955,-5.603684719,0.024242424242424242,0.550970153268821,0.40987460697978734,70.37548717991264
4.287288786288706,2,Esmee,100.5859375,-22.800136376666668,-0.3900114561,-0.0435909568681811,0.0521595661912871,0.4785025713346534,11.0,5.579768789,-3.423190685,0.027777777777777776,0.40716661223106637,0.31928920747181533,67.99586856210287
5.046857067351069,2,Esmee,89.67391304347827,-23.48257858222222,-0.3145509488488,0.0137326043989699,0.10608403968077,0.431282886562,12.0,5.144946526,-5.648863254,0.022134387351778657,0.3658876558148033,0.2662412452437672,66.96326957876335
4.559386151159512,2,Esmee,87.63586956521739,-23.996904772,-0.2226416620163158,-0.0231933532094158,0.0533464988639009,0.4198525208623762,13.0,4.771989422,-6.0636975435,0.021080368906455864,0.3347775512539397,0.18112449621830773,65.88793396292286
4.262282586604039,2,Esmee,141.6015625,-24.05332145222222,-0.12033672212598,-0.05751901396123,0.088229484825999,0.3734359231113,14.0,4.8398123715,-7.1582386525,0.04898989898989899,0.33136506933959586,0.12261902002569972,65.93713097207873
4.670519844664884,2,Esmee,103.94021739130434,-23.25010249555556,-0.1068075626269604,0.0040090688757722,0.1326570667349406,0.2879529985530693,15.0,4.7652864505,-6.9760656700000006,0.029512516469038207,0.37994946232561905,0.13132001662130233,66.20020401025862
5.088377474342499,2,Esmee,74.21875,-23.27647443444444,-0.0419185486781309,0.0171680529992406,0.10466601387295,0.1693808296267999,16.0,4.401376840999999,-2.2845621579,0.014141414141414142,0.3783542999702657,0.08438861196685064,65.49818877820627
5.192798214269486,2,Esmee,64.19836956521739,-22.869090746,-0.0229782556409168,-0.010162277354394,0.079670999508594,0.1319058127493069,17.0,4.0799673235,-3.297461897,0.008959156785243741,0.40299576174255586,0.05896119076706369,65.48682180275205
5.1903834608209545,2,Esmee,63.4765625,-21.63883116111111,-0.0078500281283603,0.0090276349258613,0.083127873405,0.1515282717512871,18.0,4.0447869025,-1.430142567,0.008585858585858586,0.47741060796968365,0.05933245330262876,66.3753040937744
5.172605501882552,2,Esmee,66.23641304347827,-19.47645174222222,0.06873828553579,0.0018506141544399,0.09277184752656,0.3518365387252,19.0,4.0765423005,-7.1278380035,0.010013175230566537,0.6082066886650072,0.08558003888188126,68.18338407964647
5.18336624945126,2,Esmee,63.4765625,-18.472235706,0.6360273105811881,-0.0460502018744376,0.0406559856868613,0.7282497112128713,20.0,1.31084834905,17.025595884,0.008585858585858586,0.6689488140117009,0.5218959487326497,72.37427052971879
