"Time (s)","Recording (a.u.)"
3.166666667E-3,4.834087193E-2
3.187500000E-3,4.845982417E-2
3.208333333E-3,4.799845070E-2
3.229166667E-3,4.698417336E-2
3.250000000E-3,4.757133871E-2
3.270833333E-3,4.824844003E-2
3.291666667E-3,4.726657271E-2
3.312500000E-3,4.675447568E-2
3.333333333E-3,4.698549584E-2
3.354166667E-3,4.532755166E-2
3.375000000E-3,4.237997532E-2
3.395833333E-3,4.086009413E-2
3.416666667E-3,4.037231207E-2
3.437500000E-3,3.867394850E-2
3.458333333E-3,3.471779078E-2
3.479166667E-3,3.054375574E-2
3.500000000E-3,2.781130187E-2
3.520833333E-3,2.473655343E-2
3.541666667E-3,2.119792253E-2
3.562500000E-3,1.876889914E-2
3.583333333E-3,1.737095229E-2
3.604166667E-3,1.555231865E-2
3.625000000E-3,1.288398542E-2
3.645833333E-3,1.113720331E-2
3.666666667E-3,9.663457051E-3
3.687500000E-3,6.879629102E-3
3.708333333E-3,3.942146432E-3
3.729166667E-3,8.282313356E-4
3.750000000E-3,-3.540349426E-3
3.770833333E-3,-6.484905258E-3
3.791666667E-3,-5.411733873E-3
3.812500000E-3,-5.512308795E-3
3.833333333E-3,-9.344970807E-3
3.854166667E-3,-1.175910700E-2
3.875000000E-3,-1.206456684E-2
3.895833333E-3,-1.136510074E-2
3.916666667E-3,-1.130007114E-2
3.937500000E-3,-1.392105967E-2
3.958333333E-3,-1.547396369E-2
3.979166667E-3,-1.499610581E-2
4.000000000E-3,-1.434322260E-2
4.020833333E-3,-1.308621094E-2
4.041666667E-3,-1.247080788E-2
4.062500000E-3,-1.273516659E-2
4.083333333E-3,-1.271889079E-2
4.104166667E-3,-1.175266411E-2
4.125000000E-3,-9.565248154E-3
4.145833333E-3,-7.013599854E-3
4.166666667E-3,-4.991041496E-3
4.187500000E-3,-3.609800246E-3
4.208333333E-3,-1.484416192E-3
4.229166667E-3,2.312966157E-3
4.250000000E-3,6.096600089E-3
4.270833333E-3,8.005510084E-3
4.291666667E-3,8.597753942E-3
4.312500000E-3,9.337678552E-3
4.333333333E-3,1.079905685E-2
4.354166667E-3,1.316630654E-2
4.375000000E-3,1.513770130E-2
4.395833333E-3,1.541008521E-2
4.416666667E-3,1.522744354E-2
4.437500000E-3,1.642576978E-2
4.458333333E-3,1.886045188E-2
4.479166667E-3,2.085516974E-2
4.500000000E-3,2.186544240E-2
4.520833333E-3,2.141657844E-2
4.541666667E-3,1.978754997E-2
4.562500000E-3,1.953043416E-2
4.583333333E-3,2.022746764E-2
4.604166667E-3,1.991575025E-2
4.625000000E-3,1.999434829E-2
4.645833333E-3,2.062881924E-2
4.666666667E-3,1.995474845E-2
4.687500000E-3,1.940126717E-2
4.708333333E-3,1.941697672E-2
4.729166667E-3,1.737561077E-2
4.750000000E-3,1.402145904E-2
4.770833333E-3,1.113574207E-2
4.791666667E-3,8.742540143E-3
4.812500000E-3,5.686891265E-3
4.833333333E-3,8.569458150E-4
4.854166667E-3,-3.429499688E-3
4.875000000E-3,-5.802743137E-3
4.895833333E-3,-7.910596207E-3
4.916666667E-3,-1.065710373E-2
4.937500000E-3,-1.245793141E-2
4.958333333E-3,-1.287874300E-2
4.979166667E-3,-1.496773772E-2
5.000000000E-3,-1.791528240E-2
5.020833333E-3,-2.137650736E-2
5.041666667E-3,-2.782476693E-2
5.062500000E-3,-3.393352404E-2
5.083333333E-3,-3.724782914E-2
5.104166667E-3,-3.998341411E-2
5.125000000E-3,-4.369678348E-2
5.145833333E-3,-4.724320769E-2
5.166666667E-3,-5.000191182E-2
5.187500000E-3,-5.446752533E-2
5.208333333E-3,-5.967075378E-2
5.229166667E-3,-6.237041205E-2
5.250000000E-3,-6.259579957E-2
5.270833333E-3,-6.359587610E-2
5.291666667E-3,-6.717879325E-2
5.312500000E-3,-6.995227933E-2
5.333333333E-3,-7.099317014E-2
