"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717739944475739E9,"2024-06-07 07:59:04.476 UTC+02:00"
"PAUSE",4.110185281666636E2,1.717740355489468E9,"2024-06-07 08:05:55.489 UTC+02:00"
"START",4.110185281666636E2,1.717740546876137E9,"2024-06-07 08:09:06.876 UTC+02:00"
"PAUSE",9.404068971250017E2,1.717741076296650E9,"2024-06-07 08:17:56.297 UTC+02:00"
