"Time (s)","Sound pressure level (dB)"
0.000000000E0,-2.488977127E1
1.370918751E-1,NaN
2.449468749E-1,-2.058561785E1
3.528763750E-1,-4.800900777E0
4.611879999E-1,-1.449344868E1
5.700099166E-1,-1.665847557E1
6.779056666E-1,-1.671746325E1
7.861883333E-1,-1.617490811E1
8.945640833E-1,-1.337501137E1
1.003089292E0,-9.332055440E0
1.111673167E0,-1.581573964E1
1.219507167E0,-9.968041436E0
1.328267625E0,-1.428711736E1
1.436622000E0,-1.702817529E1
1.544596292E0,-1.040500831E1
1.652881542E0,-8.623928364E0
1.761270792E0,-1.334292368E1
1.864660833E0,-1.655882870E1
1.972975833E0,-1.550889570E1
2.083023958E0,-1.600264050E1
2.192578625E0,-1.451246403E1
2.302780292E0,-1.610552101E1
2.411620667E0,-1.246452747E1
2.519904458E0,-1.218583197E1
2.627810000E0,-1.029580954E1
2.736290292E0,-1.561480946E1
2.844996000E0,-1.687176319E1
2.953330458E0,-1.515603665E1
3.061691417E0,-1.554239812E1
3.169547458E0,-1.452132371E1
3.277961667E0,-1.321657829E1
3.386224875E0,-1.397046482E1
3.495022708E0,-1.649105114E1
3.605097208E0,-1.440294745E1
3.714346792E0,-1.564394859E1
3.819566958E0,-1.440750211E1
3.927901458E0,-1.333070812E1
4.036205125E0,-1.468464178E1
4.145559625E0,-1.433172082E1
4.252920917E0,-1.369892440E1
4.361186542E0,-1.611160424E1
4.469557292E0,-1.256250318E1
4.579528083E0,-1.477275319E1
4.688239208E0,-1.607221990E1
4.794492125E0,-1.535109722E1
4.904569167E0,-1.490680118E1
5.013348292E0,-1.521050460E1
5.119489125E0,-1.697058484E1
5.227892750E0,-1.463545450E1
5.336207875E0,-1.242794747E1
5.442057958E0,-1.476530541E1
5.552892417E0,-1.522134639E1
5.661192458E0,-1.425414760E1
5.769514625E0,-1.512727517E1
5.876095042E0,-1.547741801E1
5.986218375E0,-1.672761529E1
6.095514458E0,-1.706983561E1
6.202879458E0,-1.663207644E1
6.311252667E0,-1.508815405E1
6.419608542E0,-1.470156715E1
6.527832375E0,-1.371921950E1
6.636163542E0,-1.448463159E1
6.744950458E0,-1.457150800E1
6.852800167E0,-1.399768825E1
6.961165833E0,-1.111769857E1
7.069487417E0,-1.680439171E1
7.180362333E0,-1.497829083E1
7.286181708E0,-1.438428335E1
7.397010167E0,-1.602345701E1
7.502886083E0,-1.412567826E1
7.613691125E0,-1.602969118E1
7.719531250E0,-1.072927129E1
7.830452625E0,-1.568755661E1
7.936171250E0,-1.553514385E1
8.047019333E0,-1.554598613E1
8.152872292E0,-1.623827599E1
8.263713750E0,-1.510999022E1
8.371690875E0,-1.417837299E1
8.480352250E0,-2.011388405E1
8.586182792E0,-1.815587192E1
8.697029042E0,-1.855496668E1
8.802892500E0,-1.469337414E1
8.913684208E0,-1.641854828E1
9.019554750E0,-1.437673054E1
9.130341833E0,-1.481522722E1
9.239025625E0,-1.518226798E1
9.347021208E0,-1.992022102E1
9.452861083E0,-1.463057973E1
9.563671667E0,-1.723296849E1
9.669571833E0,-1.731382860E1
9.780377250E0,-7.788068278E0
9.886189125E0,-1.806274614E1
9.997030750E0,-1.667257950E1
1.010286521E1,-2.098013002E1
1.021370825E1,-1.749660704E1
1.031959183E1,-1.566320798E1
1.043034592E1,-1.632303521E1
1.053619179E1,-1.564128322E1
1.064700383E1,-1.682142384E1
1.075282525E1,-1.756839526E1
1.086371413E1,-1.828232016E1
1.096956029E1,-2.051885163E1
1.108027642E1,-1.815636766E1
1.118623575E1,-1.771435375E1
1.129702046E1,-1.927530220E1
1.140288617E1,-1.479220960E1
1.151369692E1,-1.343396889E1
1.162154304E1,-1.481854404E1
1.173034233E1,-1.923122988E1
1.183816383E1,-1.989114571E1
1.194700038E1,-1.928088748E1
1.205286704E1,-1.973293346E1
1.216369554E1,-1.967309987E1
1.226946779E1,-2.180465653E1
1.237836321E1,-2.011243483E1
1.248623438E1,-2.214967796E1
1.259705013E1,-2.049135835E1
1.270286575E1,-2.007808311E1
1.281368633E1,-1.946607767E1
1.291956325E1,-2.089871862E1
1.303031850E1,-2.322761098E1
1.313621579E1,-2.224115452E1
1.324701375E1,-2.024469643E1
1.335288975E1,-2.025602709E1
1.346366767E1,-2.241232930E1
1.356951079E1,-2.281930426E1
1.368034008E1,-1.964708245E1
1.378620417E1,-1.996346216E1
1.389701537E1,-2.353092716E1
1.400286267E1,-2.085831232E1
1.411368708E1,-2.307281363E1
1.421955442E1,-2.218891551E1
1.433032038E1,-2.345720903E1
1.443623263E1,-2.122030420E1
1.454701392E1,-2.360793825E1
1.465284892E1,-2.145415142E1
1.476366667E1,-2.216211500E1
1.486953567E1,-2.203881946E1
1.498036583E1,-2.185854965E1
1.508618363E1,-2.090309028E1
1.519701421E1,-2.024705342E1
1.530286617E1,-2.209783526E1
1.541367567E1,-2.168892963E1
1.551953742E1,-2.484087596E1
1.563033479E1,-2.224449482E1
1.573617125E1,-2.182468637E1
1.584701308E1,-2.365204771E1
1.595285396E1,-2.109354874E1
1.606366717E1,-2.059662485E1
1.616951579E1,-1.944147508E1
1.628033662E1,-2.287201173E1
1.638617012E1,-2.011581854E1
1.649700667E1,-2.131358925E1
1.660293225E1,-2.085537056E1
1.671239700E1,-2.183271795E1
1.681963188E1,-2.350564670E1
1.693074629E1,-2.125799130E1
1.703616517E1,-2.262548023E1
1.714452167E1,-2.055780519E1
1.725502683E1,-2.220856143E1
1.736616754E1,-2.243723144E1
1.746958200E1,-2.182154098E1
