"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.801787915E-1,NaN
2.891189582E-1,-3.451615541E1
3.975807915E-1,-2.840038167E1
5.084548332E-1,-2.716332996E1
6.142526665E-1,-2.261390124E1
7.226290416E-1,-2.479843508E1
8.304993333E-1,-2.366153890E1
9.392512499E-1,-2.470860689E1
1.047144000E0,-2.119424485E1
1.155945458E0,-2.069987649E1
1.263784250E0,-1.722648359E1
1.372551875E0,-7.269172486E0
1.475615875E0,-2.458305567E1
1.586559208E0,-2.521082929E1
1.697656750E0,-2.637285552E1
1.805925917E0,-2.626311463E1
1.914293625E0,-2.553162298E1
2.022597875E0,-2.599084640E1
2.133527708E0,-2.105133167E1
2.242325125E0,-9.001186229E0
2.347211667E0,-2.312017831E1
2.455939708E0,-2.043696899E1
2.564214042E0,-2.371929332E1
2.672158125E0,-2.344601907E1
2.780468375E0,-2.584045488E1
2.889303000E0,-2.454068918E1
2.997197375E0,-2.379862740E1
3.105975917E0,-2.392305434E1
3.213846667E0,-2.529493671E1
3.323829125E0,-2.382355589E1
3.431007333E0,-2.598497551E1
3.541328750E0,-2.456694517E1
3.649595375E0,-2.431880577E1
3.760153958E0,-2.035400333E1
3.866304208E0,-2.453104860E1
3.974631333E0,-2.564473736E1
4.080471750E0,-2.574191789E1
4.191307417E0,-2.741890486E1
4.297661083E0,-2.675288247E1
4.408003791E0,-2.632122772E1
4.518983542E0,-2.665729006E1
4.624660792E0,-2.503493053E1
4.730512000E0,-2.696814797E1
4.841295792E0,-2.618981464E1
4.947174542E0,-2.401374985E1
5.057970042E0,-2.635191778E1
5.163805958E0,-2.196066346E1
5.274649417E0,-2.267202129E1
5.380479292E0,-1.956543120E1
5.491323208E0,-1.822091882E1
5.597155083E0,-2.121277057E1
5.708001250E0,-2.429811421E1
5.813826708E0,-2.647159380E1
5.924692583E0,-2.614905268E1
6.030495417E0,-2.626152821E1
6.141333750E0,-2.769716221E1
6.247195667E0,-2.652501781E1
6.357985208E0,-2.740538655E1
6.463830292E0,-2.747509134E1
6.574637291E0,-2.496584705E1
6.680479625E0,-2.655980685E1
6.789283708E0,-2.631792123E1
6.897145792E0,-2.694724688E1
7.008016250E0,-2.691588142E1
7.113840208E0,-2.582542839E1
7.217114375E0,-3.020490740E1
7.324663583E0,-2.626375137E1
7.430500542E0,-2.591610215E1
7.541369333E0,-2.792277487E1
7.647168291E0,-2.624853096E1
7.757975083E0,-2.695970350E1
7.863820042E0,-2.729477150E1
