"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717746990601025E9,"2024-06-07 09:56:30.601 UTC+02:00"
"PAUSE",8.176708772083293E2,1.717747808272367E9,"2024-06-07 10:10:08.272 UTC+02:00"
