"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717741593365146E9,"2024-06-07 08:26:33.365 UTC+02:00"
"PAUSE",5.716160305416852E2,1.717742164984912E9,"2024-06-07 08:36:04.985 UTC+02:00"
"START",5.716160305416852E2,1.717742370361442E9,"2024-06-07 08:39:30.361 UTC+02:00"
"PAUSE",1.072310077458358E3,1.717742871051210E9,"2024-06-07 08:47:51.051 UTC+02:00"
