"Time (s)","Peak-Frequency"
9.992648500E0,7.031250000E1
1.003531517E1,1.171875000E2
1.007798183E1,1.640625000E2
1.012064850E1,4.687500000E1
1.016331517E1,1.640625000E2
1.020598183E1,1.640625000E2
1.024864850E1,1.640625000E2
1.029131517E1,1.640625000E2
1.033398183E1,7.031250000E1
1.037664850E1,4.687500000E1
1.041931517E1,7.031250000E1
1.046198183E1,7.031250000E1
1.050464850E1,1.640625000E2
1.054731517E1,7.031250000E1
1.058998183E1,7.031250000E1
1.063264850E1,7.031250000E1
1.067531517E1,7.031250000E1
1.071798183E1,7.031250000E1
1.076064850E1,7.031250000E1
1.080331517E1,7.031250000E1
1.084598183E1,7.031250000E1
1.088864850E1,7.031250000E1
1.093131517E1,7.031250000E1
1.097398183E1,7.031250000E1
1.101664850E1,7.031250000E1
1.105931517E1,7.031250000E1
1.110198183E1,7.031250000E1
1.114464850E1,7.031250000E1
1.118731517E1,1.640625000E2
1.122998183E1,7.031250000E1
1.127264850E1,1.640625000E2
1.131531517E1,1.640625000E2
1.135798183E1,7.031250000E1
1.140064850E1,7.031250000E1
1.144331517E1,7.031250000E1
1.148598183E1,7.031250000E1
1.152864850E1,7.031250000E1
1.157131517E1,7.031250000E1
1.161398183E1,7.031250000E1
1.165664850E1,7.031250000E1
1.169931517E1,7.031250000E1
1.174198183E1,7.031250000E1
1.178464850E1,7.031250000E1
1.182731517E1,7.031250000E1
1.186998183E1,7.031250000E1
1.191264850E1,7.031250000E1
1.195531517E1,7.031250000E1
1.199798183E1,7.031250000E1
1.204064850E1,7.031250000E1
1.208331517E1,7.031250000E1
1.212598183E1,7.031250000E1
1.216864850E1,7.031250000E1
1.221131517E1,7.031250000E1
1.225398183E1,7.031250000E1
1.229664850E1,7.031250000E1
1.233931517E1,7.031250000E1
1.238198183E1,7.031250000E1
1.242464850E1,7.031250000E1
1.246731517E1,7.031250000E1
1.250998183E1,7.031250000E1
1.255264850E1,7.031250000E1
1.259531517E1,7.031250000E1
1.263798183E1,7.031250000E1
1.268064850E1,7.031250000E1
1.272331517E1,1.640625000E2
1.276598183E1,7.031250000E1
1.280864850E1,7.031250000E1
1.285131517E1,1.640625000E2
1.289398183E1,7.031250000E1
1.293664850E1,7.031250000E1
1.297931517E1,7.031250000E1
1.302198183E1,7.031250000E1
1.306464850E1,7.031250000E1
1.310731517E1,7.031250000E1
1.314998183E1,4.687500000E1
1.319264850E1,7.031250000E1
1.323531517E1,7.031250000E1
1.327798183E1,7.031250000E1
1.332064850E1,7.031250000E1
1.336331517E1,1.640625000E2
1.340598183E1,1.640625000E2
1.344864850E1,1.640625000E2
1.349131517E1,1.640625000E2
1.353398183E1,7.031250000E1
1.357664850E1,7.031250000E1
1.361931517E1,7.031250000E1
1.366198183E1,1.640625000E2
1.370464850E1,7.031250000E1
1.374731517E1,7.031250000E1
1.378998183E1,1.640625000E2
1.383264850E1,2.343750000E1
1.387531517E1,7.031250000E1
1.391798183E1,7.031250000E1
1.396064850E1,1.640625000E2
1.400331517E1,7.031250000E1
1.404598183E1,7.031250000E1
1.408864850E1,7.031250000E1
1.413131517E1,7.031250000E1
1.417398183E1,7.031250000E1
1.421664850E1,1.640625000E2
1.425931517E1,7.031250000E1
1.430198183E1,1.640625000E2
1.434464850E1,1.640625000E2
1.438731517E1,1.640625000E2
1.442998183E1,4.687500000E1
1.447264850E1,7.031250000E1
1.451531517E1,1.640625000E2
1.455798183E1,1.640625000E2
1.460064850E1,1.640625000E2
1.464331517E1,1.640625000E2
1.468598183E1,1.640625000E2
1.472864850E1,7.031250000E1
1.477131517E1,7.031250000E1
1.481398183E1,9.375000000E1
1.485664850E1,1.640625000E2
1.489931517E1,7.031250000E1
1.494198183E1,1.640625000E2
1.498464850E1,1.640625000E2
1.502731517E1,7.031250000E1
1.506998183E1,1.171875000E2
1.511264850E1,7.031250000E1
1.515531517E1,9.375000000E1
1.519798183E1,1.640625000E2
1.524064850E1,4.687500000E1
1.528331517E1,1.640625000E2
1.532598183E1,1.640625000E2
1.536864850E1,4.687500000E1
1.541131517E1,4.687500000E1
1.545398183E1,7.031250000E1
1.549664850E1,7.031250000E1
1.553931517E1,7.031250000E1
1.558198183E1,1.640625000E2
1.562464850E1,9.375000000E1
1.566731517E1,4.687500000E1
1.570998183E1,1.640625000E2
1.575264850E1,7.031250000E1
1.579531517E1,7.031250000E1
1.583798183E1,1.640625000E2
1.588064850E1,7.031250000E1
1.592331517E1,7.031250000E1
1.596598183E1,7.031250000E1
1.600864850E1,7.031250000E1
1.605131517E1,7.031250000E1
1.609398183E1,1.640625000E2
1.613664850E1,7.031250000E1
1.617931517E1,7.031250000E1
1.622198183E1,1.640625000E2
1.626464850E1,1.640625000E2
1.630731517E1,1.640625000E2
1.634998183E1,7.031250000E1
1.639264850E1,7.031250000E1
1.643531517E1,7.031250000E1
1.647798183E1,9.375000000E1
1.652064850E1,7.031250000E1
1.656331517E1,7.031250000E1
1.660598183E1,1.640625000E2
1.664864850E1,7.031250000E1
1.669131517E1,7.031250000E1
1.673398183E1,1.171875000E2
1.677664850E1,7.031250000E1
1.681931517E1,9.375000000E1
1.686198183E1,7.031250000E1
1.690464850E1,7.031250000E1
1.694731517E1,1.640625000E2
1.698998183E1,1.640625000E2
1.703264850E1,1.640625000E2
1.707531517E1,4.687500000E1
1.711798183E1,1.640625000E2
1.716064850E1,1.640625000E2
1.720331517E1,1.640625000E2
1.724598183E1,1.171875000E2
1.728864850E1,1.640625000E2
1.733131517E1,7.031250000E1
1.737398183E1,1.640625000E2
1.741664850E1,7.031250000E1
1.745931517E1,7.031250000E1
