"Time (s)","Peak-Frequency"
7.133058667E0,7.031250000E1
7.175725333E0,7.031250000E1
7.218392000E0,7.031250000E1
7.261058667E0,7.031250000E1
7.303725333E0,7.031250000E1
7.346392000E0,7.031250000E1
7.389058667E0,7.031250000E1
7.431725333E0,1.171875000E2
7.474392000E0,4.687500000E1
7.517058667E0,7.031250000E1
7.559725333E0,7.031250000E1
7.602392000E0,4.687500000E1
7.645058667E0,7.031250000E1
7.687725333E0,4.687500000E1
7.730392000E0,7.031250000E1
7.773058667E0,3.046875000E2
7.815725333E0,4.687500000E1
7.858392000E0,4.687500000E1
7.901058667E0,7.031250000E1
7.943725333E0,4.687500000E1
7.986392000E0,7.031250000E1
8.029058667E0,4.687500000E1
8.071725333E0,4.687500000E1
8.114392000E0,9.375000000E1
8.157058667E0,1.171875000E2
8.199725333E0,4.687500000E1
8.242392000E0,4.687500000E1
8.285058667E0,9.375000000E1
8.327725333E0,3.515625000E2
8.370392000E0,7.031250000E1
8.413058667E0,4.687500000E1
8.455725333E0,2.343750000E2
8.498392000E0,4.687500000E1
8.541058667E0,4.687500000E1
8.583725333E0,9.375000000E1
8.626392000E0,4.687500000E1
8.669058667E0,4.687500000E1
8.711725333E0,9.375000000E1
8.754392000E0,4.687500000E1
8.797058667E0,3.750000000E2
8.839725333E0,7.031250000E1
8.882392000E0,7.031250000E1
8.925058667E0,7.031250000E1
8.967725333E0,7.031250000E1
9.010392000E0,1.171875000E2
9.053058667E0,7.031250000E1
9.095725333E0,1.875000000E2
9.138392000E0,7.031250000E1
9.181058667E0,7.031250000E1
9.223725333E0,7.031250000E1
9.266392000E0,1.171875000E2
9.309058667E0,1.171875000E2
9.351725333E0,1.875000000E2
9.394392000E0,7.031250000E1
9.437058667E0,7.031250000E1
9.479725333E0,7.031250000E1
9.522392000E0,7.031250000E1
9.565058667E0,7.031250000E1
9.607725333E0,9.375000000E1
9.650392000E0,7.031250000E1
9.693058667E0,7.031250000E1
9.735725333E0,1.171875000E2
9.778392000E0,1.171875000E2
9.821058667E0,7.031250000E1
9.863725333E0,1.171875000E2
9.906392000E0,1.171875000E2
9.949058667E0,7.031250000E1
9.991725333E0,9.375000000E1
1.003439200E1,4.687500000E1
1.007705867E1,4.687500000E1
1.011972533E1,7.031250000E1
1.016239200E1,7.031250000E1
1.020505867E1,1.171875000E2
1.024772533E1,1.171875000E2
1.029039200E1,1.171875000E2
1.033305867E1,7.031250000E1
1.037572533E1,7.031250000E1
1.041839200E1,1.171875000E2
1.046105867E1,4.687500000E1
1.050372533E1,4.687500000E1
1.054639200E1,7.031250000E1
1.058905867E1,9.375000000E1
1.063172533E1,7.031250000E1
1.067439200E1,1.406250000E2
1.071705867E1,1.171875000E2
