"Time (s)","Recording (a.u.)"
3.041666667E-3,-1.516495645E-1
3.062500000E-3,-1.579313576E-1
3.083333333E-3,-1.659304798E-1
3.104166667E-3,-1.741957366E-1
3.125000000E-3,-1.804991663E-1
3.145833333E-3,-1.833542585E-1
3.166666667E-3,-1.823591739E-1
3.187500000E-3,-1.779376566E-1
3.208333333E-3,-1.714367419E-1
3.229166667E-3,-1.647902131E-1
3.250000000E-3,-1.597160250E-1
3.270833333E-3,-1.563379765E-1
3.291666667E-3,-1.540077925E-1
3.312500000E-3,-1.522007287E-1
3.333333333E-3,-1.507271528E-1
3.354166667E-3,-1.502982974E-1
3.375000000E-3,-1.508402675E-1
3.395833333E-3,-1.519753635E-1
3.416666667E-3,-1.542390585E-1
3.437500000E-3,-1.571189761E-1
3.458333333E-3,-1.589154005E-1
3.479166667E-3,-1.586835980E-1
3.500000000E-3,-1.575912982E-1
3.520833333E-3,-1.570100486E-1
3.541666667E-3,-1.564911902E-1
3.562500000E-3,-1.558081061E-1
3.583333333E-3,-1.554183364E-1
3.604166667E-3,-1.554350555E-1
3.625000000E-3,-1.554875374E-1
3.645833333E-3,-1.548226774E-1
3.666666667E-3,-1.535414457E-1
3.687500000E-3,-1.522683948E-1
3.708333333E-3,-1.513522863E-1
3.729166667E-3,-1.511651129E-1
3.750000000E-3,-1.518817246E-1
3.770833333E-3,-1.536175013E-1
3.791666667E-3,-1.566054970E-1
3.812500000E-3,-1.608541906E-1
3.833333333E-3,-1.649700701E-1
3.854166667E-3,-1.666008979E-1
3.875000000E-3,-1.650759429E-1
3.895833333E-3,-1.613973528E-1
3.916666667E-3,-1.569243819E-1
3.937500000E-3,-1.524553895E-1
3.958333333E-3,-1.479709744E-1
3.979166667E-3,-1.444863975E-1
4.000000000E-3,-1.433565319E-1
4.020833333E-3,-1.437746286E-1
4.041666667E-3,-1.435720921E-1
4.062500000E-3,-1.415909827E-1
4.083333333E-3,-1.387769878E-1
4.104166667E-3,-1.367377341E-1
4.125000000E-3,-1.360178143E-1
4.145833333E-3,-1.357341558E-1
4.166666667E-3,-1.340988427E-1
4.187500000E-3,-1.306287944E-1
4.208333333E-3,-1.264404804E-1
4.229166667E-3,-1.224263459E-1
4.250000000E-3,-1.188357770E-1
4.270833333E-3,-1.150885075E-1
4.291666667E-3,-1.108646169E-1
4.312500000E-3,-1.064540222E-1
4.333333333E-3,-1.010550112E-1
4.354166667E-3,-9.418228269E-2
4.375000000E-3,-8.707608283E-2
4.395833333E-3,-8.137610555E-2
4.416666667E-3,-7.809001207E-2
4.437500000E-3,-7.701807469E-2
4.458333333E-3,-7.767459750E-2
4.479166667E-3,-7.966379821E-2
4.500000000E-3,-8.182715625E-2
4.520833333E-3,-8.316641301E-2
4.541666667E-3,-8.343846351E-2
4.562500000E-3,-8.275935054E-2
4.583333333E-3,-8.114693314E-2
