"Time (s)","Recording (a.u.)"
0.000000000E0,6.385275722E-2
2.083333333E-5,6.133097410E-2
4.166666667E-5,5.865918472E-2
6.250000000E-5,5.699000135E-2
8.333333333E-5,5.529635027E-2
1.041666667E-4,5.262195319E-2
1.250000000E-4,4.948152229E-2
1.458333333E-4,4.672587663E-2
1.666666667E-4,4.416810349E-2
1.875000000E-4,4.098200798E-2
2.083333333E-4,3.667133301E-2
2.291666667E-4,3.356495127E-2
2.500000000E-4,3.192623332E-2
2.708333333E-4,2.811702713E-2
2.916666667E-4,2.293654159E-2
3.125000000E-4,1.953263581E-2
3.333333333E-4,1.848096587E-2
3.541666667E-4,1.839243993E-2
3.750000000E-4,1.734746248E-2
3.958333333E-4,1.537464838E-2
4.166666667E-4,1.316152513E-2
4.375000000E-4,1.095400937E-2
4.583333333E-4,8.642869070E-3
4.791666667E-4,6.568893790E-3
5.000000000E-4,4.938183352E-3
5.208333333E-4,2.286545234E-3
5.416666667E-4,-1.628319966E-3
5.625000000E-4,-5.719146226E-3
5.833333333E-4,-8.039140143E-3
6.041666667E-4,-8.298164234E-3
6.250000000E-4,-9.897515178E-3
6.458333333E-4,-1.289085113E-2
6.666666667E-4,-1.535765082E-2
6.875000000E-4,-1.806358434E-2
7.083333333E-4,-2.107702196E-2
7.291666667E-4,-2.374184877E-2
7.500000000E-4,-2.570377290E-2
7.708333333E-4,-2.740051225E-2
7.916666667E-4,-2.936377749E-2
8.125000000E-4,-3.069517948E-2
8.333333333E-4,-3.210137784E-2
8.541666667E-4,-3.509242088E-2
8.750000000E-4,-3.784114122E-2
8.958333333E-4,-3.956357390E-2
9.166666667E-4,-4.287980869E-2
9.375000000E-4,-4.748190194E-2
9.583333333E-4,-5.084180832E-2
9.791666667E-4,-5.304586142E-2
1.000000000E-3,-5.583676323E-2
1.020833333E-3,-5.965258554E-2
1.041666667E-3,-6.287007779E-2
1.062500000E-3,-6.519357860E-2
1.083333333E-3,-6.756985188E-2
1.104166667E-3,-6.947450340E-2
1.125000000E-3,-7.005566359E-2
1.145833333E-3,-6.934517622E-2
1.166666667E-3,-6.884005666E-2
1.187500000E-3,-7.010559738E-2
1.208333333E-3,-7.243330032E-2
