"Time (s)","Peak-Frequency"
6.269752792E0,4.687500000E1
6.312419458E0,4.687500000E1
6.355086125E0,4.687500000E1
6.397752792E0,7.031250000E1
6.440419458E0,7.031250000E1
6.483086125E0,4.687500000E1
6.525752792E0,7.031250000E1
6.568419458E0,4.687500000E1
6.611086125E0,4.687500000E1
6.653752792E0,4.687500000E1
6.736479417E0,4.687500000E1
6.779146083E0,7.031250000E1
6.821812750E0,7.031250000E1
6.864479417E0,7.031250000E1
6.907146083E0,2.109375000E2
6.963107583E0,1.640625000E2
7.005774250E0,4.687500000E1
7.139663458E0,2.109375000E2
7.182330125E0,7.031250000E1
7.224996792E0,2.109375000E2
7.267663458E0,1.875000000E2
7.310330125E0,1.875000000E2
7.356711292E0,7.031250000E1
7.483279333E0,4.687500000E1
7.525946000E0,2.109375000E2
7.568612667E0,4.687500000E1
7.638741208E0,4.687500000E1
7.681407875E0,7.031250000E1
7.724074542E0,4.687500000E1
7.766741208E0,7.031250000E1
7.809407875E0,4.687500000E1
7.852074542E0,4.687500000E1
7.894741208E0,7.031250000E1
7.937407875E0,2.109375000E2
7.980074542E0,7.031250000E1
8.022741208E0,4.687500000E1
8.065407875E0,2.109375000E2
8.108074542E0,2.343750000E1
8.150741208E0,2.109375000E2
8.193407875E0,2.109375000E2
8.236074542E0,7.031250000E1
8.278741208E0,7.031250000E1
8.321407875E0,2.109375000E2
8.364074542E0,4.687500000E1
8.406741208E0,4.687500000E1
8.449407875E0,7.031250000E1
8.492074542E0,4.687500000E1
8.534741208E0,4.687500000E1
8.577407875E0,3.281250000E2
8.620074542E0,4.687500000E1
8.662741208E0,1.406250000E2
8.705407875E0,7.031250000E1
8.748074542E0,2.109375000E2
8.790741208E0,2.109375000E2
8.833407875E0,4.687500000E1
8.876074542E0,4.687500000E1
8.918741208E0,2.109375000E2
8.961407875E0,7.031250000E1
9.004074542E0,4.687500000E1
9.046741208E0,4.687500000E1
9.089407875E0,7.031250000E1
9.132074542E0,4.687500000E1
9.174741208E0,9.375000000E1
9.217407875E0,1.640625000E2
9.260074542E0,2.343750000E2
9.302741208E0,4.687500000E1
9.345407875E0,7.031250000E1
9.388074542E0,9.375000000E1
9.430741208E0,4.687500000E1
9.473407875E0,4.687500000E1
9.516074542E0,7.031250000E1
9.558741208E0,7.031250000E1
9.601407875E0,4.687500000E1
9.644074542E0,7.031250000E1
9.686741208E0,4.687500000E1
9.729407875E0,7.031250000E1
9.772074542E0,2.343750000E1
9.814741208E0,2.343750000E1
9.857407875E0,7.031250000E1
9.900074542E0,7.031250000E1
9.942741208E0,9.375000000E1
9.985407875E0,4.687500000E1
1.002807454E1,7.031250000E1
1.007074121E1,4.687500000E1
1.011340787E1,7.031250000E1
1.015607454E1,4.687500000E1
1.019874121E1,4.687500000E1
1.024140787E1,4.687500000E1
1.028407454E1,2.109375000E2
1.032674121E1,7.031250000E1
1.036940787E1,7.031250000E1
1.041207454E1,9.375000000E1
1.045474121E1,7.031250000E1
1.049740787E1,4.687500000E1
1.054007454E1,2.343750000E2
1.058274121E1,7.031250000E1
1.062540787E1,7.031250000E1
1.066807454E1,7.031250000E1
1.071074121E1,3.046875000E2
1.075340787E1,7.031250000E1
1.079607454E1,7.031250000E1
1.083874121E1,7.031250000E1
1.088140787E1,7.031250000E1
1.092407454E1,4.687500000E1
1.096674121E1,7.031250000E1
1.100940787E1,4.687500000E1
1.105207454E1,4.687500000E1
1.109474121E1,7.031250000E1
1.113740787E1,7.031250000E1
1.118007454E1,4.687500000E1
1.122274121E1,7.031250000E1
1.126540787E1,4.687500000E1
1.130807454E1,2.343750000E1
1.135074121E1,7.031250000E1
1.139340787E1,4.687500000E1
1.143607454E1,4.687500000E1
1.147874121E1,7.031250000E1
1.152140787E1,7.031250000E1
1.156407454E1,7.031250000E1
1.160674121E1,7.031250000E1
1.164940787E1,7.031250000E1
1.169207454E1,4.687500000E1
1.173474121E1,2.343750000E1
1.177740787E1,4.687500000E1
1.182007454E1,4.687500000E1
1.186274121E1,4.687500000E1
1.190540787E1,7.031250000E1
1.194807454E1,7.031250000E1
1.207636875E1,7.031250000E1
1.211903542E1,7.031250000E1
1.216170208E1,7.031250000E1
1.220436875E1,7.031250000E1
1.224703542E1,7.031250000E1
1.228970208E1,4.687500000E1
1.233236875E1,1.171875000E2
1.237503542E1,7.031250000E1
1.241770208E1,4.687500000E1
1.246036875E1,7.031250000E1
1.250303542E1,7.031250000E1
1.263843396E1,7.031250000E1
1.270931017E1,7.031250000E1
1.275197683E1,7.031250000E1
1.279464350E1,4.687500000E1
1.283731017E1,9.375000000E1
1.287997683E1,7.031250000E1
1.292264350E1,7.031250000E1
1.296531017E1,7.031250000E1
1.300797683E1,4.687500000E1
1.305064350E1,7.031250000E1
1.309331017E1,7.031250000E1
1.313597683E1,7.031250000E1
1.317864350E1,4.687500000E1
1.322131017E1,4.687500000E1
1.326397683E1,7.031250000E1
1.330664350E1,7.031250000E1
1.335334175E1,4.687500000E1
1.339600842E1,4.687500000E1
1.343867508E1,7.031250000E1
1.348134175E1,7.031250000E1
1.352400842E1,7.031250000E1
1.356667508E1,7.031250000E1
1.360934175E1,7.031250000E1
1.365200842E1,4.687500000E1
1.369467508E1,7.031250000E1
1.373734175E1,4.687500000E1
1.378000842E1,7.031250000E1
1.382267508E1,7.031250000E1
1.386534175E1,7.031250000E1
1.390800842E1,4.687500000E1
1.395067508E1,7.031250000E1
1.403852042E1,4.687500000E1
1.410799096E1,7.031250000E1
1.415065763E1,4.687500000E1
1.422871875E1,4.687500000E1
1.427138542E1,1.406250000E2
1.431405208E1,2.343750000E2
1.435671875E1,4.687500000E1
1.439938542E1,9.375000000E1
1.444205208E1,4.687500000E1
1.448471875E1,4.687500000E1
1.457748200E1,7.031250000E1
1.462014867E1,7.031250000E1
1.471768708E1,4.687500000E2
1.476035375E1,7.031250000E1
1.480302042E1,4.687500000E1
1.485736608E1,7.031250000E1
1.495777967E1,7.031250000E1
1.500044633E1,9.375000000E1
1.504311300E1,4.687500000E1
1.508577967E1,7.031250000E1
1.512844633E1,7.031250000E1
1.523581879E1,7.031250000E1
1.536650833E1,7.031250000E1
1.540917500E1,7.031250000E1
1.545184167E1,1.640625000E2
1.549450833E1,4.687500000E1
1.553717500E1,7.031250000E1
1.557984167E1,7.031250000E1
1.562428258E1,7.031250000E1
1.566694925E1,2.343750000E2
1.570961592E1,7.031250000E1
1.575228258E1,7.031250000E1
1.579494925E1,4.687500000E1
1.583761592E1,7.031250000E1
1.588028258E1,7.031250000E1
1.592294925E1,4.687500000E1
1.596561592E1,2.343750000E2
1.600828258E1,7.031250000E1
1.605094925E1,4.687500000E1
1.609361592E1,7.031250000E1
1.613628258E1,9.375000000E1
1.617894925E1,1.406250000E2
1.622161592E1,2.343750000E2
1.626428258E1,7.031250000E1
1.630694925E1,1.171875000E2
1.634961592E1,7.031250000E1
