"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.429687500E3,3.585906514E-1
4.453125000E3,3.059842184E-1
4.476562500E3,2.594464928E-1
4.500000000E3,1.749765512E-1
4.523437500E3,2.353687403E-1
4.546875000E3,5.008996332E-1
4.570312500E3,4.699098706E-1
4.593750000E3,2.436229240E-1
4.617187500E3,1.135385412E-1
4.640625000E3,3.271753910E-1
4.664062500E3,2.447658688E-1
4.687500000E3,4.052960065E-1
4.710937500E3,5.189255963E-1
4.734375000E3,4.636488062E-1
4.757812500E3,3.090287687E-1
4.781250000E3,2.134267235E-2
4.804687500E3,2.605192454E-1
4.828125000E3,1.660020598E-1
4.851562500E3,2.358656276E-1
4.875000000E3,3.910140863E-1
4.898437500E3,3.850743461E-1
4.921875000E3,2.639882631E-1
4.945312500E3,6.040162571E-2
4.968750000E3,1.783648765E-1
4.992187500E3,1.218249684E-1
5.015625000E3,1.741674355E-1
5.039062500E3,1.738959989E-1
5.062500000E3,2.608140483E-1
5.085937500E3,2.511313503E-1
5.109375000E3,2.499125603E-1
5.132812500E3,2.127769810E-1
5.156250000E3,2.288901156E-1
5.179687500E3,1.322628475E-1
5.203125000E3,2.914328931E-1
5.226562500E3,2.667124527E-1
5.250000000E3,7.935497601E-2
5.273437500E3,1.460616493E-1
5.296875000E3,2.895335095E-1
5.320312500E3,9.939667705E-2
5.343750000E3,1.517318221E-1
5.367187500E3,1.508941371E-1
5.390625000E3,1.381273409E-1
5.414062500E3,1.359733192E-1
5.437500000E3,1.042995758E-1
5.460937500E3,9.077168916E-2
5.484375000E3,3.926140554E-2
5.507812500E3,1.482380368E-1
5.531250000E3,6.326979108E-2
5.554687500E3,1.287084614E-1
5.578125000E3,2.518875759E-1
5.601562500E3,2.059913738E-1
5.625000000E3,1.578595316E-1
5.648437500E3,2.867740289E-1
5.671875000E3,2.998021460E-1
5.695312500E3,1.593814677E-1
5.718750000E3,1.745703576E-1
5.742187500E3,2.168743877E-1
5.765625000E3,1.425438700E-1
5.789062500E3,1.194973303E-1
5.812500000E3,7.412993536E-2
5.835937500E3,1.589132333E-1
5.859375000E3,1.342924389E-1
5.882812500E3,1.263141429E-1
5.906250000E3,1.966993261E-1
5.929687500E3,1.290185301E-1
5.953125000E3,8.844727156E-2
5.976562500E3,1.013483425E-1
6.000000000E3,1.253428267E-1
6.023437500E3,5.338311315E-2
6.046875000E3,1.157209214E-1
6.070312500E3,2.095576103E-1
6.093750000E3,1.159371399E-1
6.117187500E3,1.397440387E-1
6.140625000E3,1.288199042E-1
6.164062500E3,2.316483762E-1
6.187500000E3,1.284853739E-1
6.210937500E3,1.660482622E-1
6.234375000E3,1.225264645E-1
6.257812500E3,1.481080615E-1
6.281250000E3,1.154359577E-1
6.304687500E3,1.149607913E-1
6.328125000E3,1.386294618E-1
6.351562500E3,1.299237174E-1
6.375000000E3,1.024774795E-1
6.398437500E3,1.492089248E-1
6.421875000E3,1.135316915E-1
6.445312500E3,1.540665971E-1
6.468750000E3,1.288047883E-1
6.492187500E3,1.590842500E-1
6.515625000E3,1.716463052E-2
6.539062500E3,2.254664960E-1
6.562500000E3,8.097591718E-2
6.585937500E3,7.693772389E-2
6.609375000E3,2.361801741E-1
6.632812500E3,1.359506815E-1
6.656250000E3,1.491129670E-1
6.679687500E3,1.986060025E-1
6.703125000E3,1.381142580E-1
6.726562500E3,9.176428570E-2
6.750000000E3,2.958067809E-1
6.773437500E3,1.083762208E-1
6.796875000E3,2.229789625E-1
6.820312500E3,1.736554760E-1
6.843750000E3,2.228180829E-1
6.867187500E3,8.613169445E-2
6.890625000E3,2.144089088E-1
6.914062500E3,1.264128967E-1
6.937500000E3,1.665909604E-1
6.960937500E3,4.476124023E-2
6.984375000E3,1.212142733E-1
7.007812500E3,1.657789654E-1
7.031250000E3,1.534850285E-1
7.054687500E3,5.209721245E-2
7.078125000E3,7.514016857E-2
7.101562500E3,1.644115775E-1
7.125000000E3,3.324511889E-2
7.148437500E3,1.590349128E-1
7.171875000E3,9.944443161E-2
7.195312500E3,1.999206551E-1
7.218750000E3,6.606922467E-2
7.242187500E3,1.538697592E-1
7.265625000E3,7.609815240E-2
7.289062500E3,1.439990728E-1
7.312500000E3,1.170616332E-1
7.335937500E3,8.653366516E-2
7.359375000E3,4.365065204E-2
7.382812500E3,8.534589672E-2
7.406250000E3,1.831549504E-1
7.429687500E3,1.372648893E-1
7.453125000E3,7.995895103E-2
7.476562500E3,1.212251360E-1
7.500000000E3,1.156275645E-1
7.523437500E3,1.013694797E-1
7.546875000E3,1.391478039E-1
7.570312500E3,1.830526605E-1
7.593750000E3,1.589871610E-1
7.617187500E3,6.992106905E-2
7.640625000E3,1.455430225E-1
7.664062500E3,4.516783046E-2
7.687500000E3,8.827762792E-2
7.710937500E3,8.874119837E-2
7.734375000E3,2.766115582E-2
7.757812500E3,9.020626047E-2
7.781250000E3,7.763427233E-2
7.804687500E3,1.330859304E-1
7.828125000E3,1.355058492E-1
7.851562500E3,1.603703663E-1
7.875000000E3,9.797058704E-2
7.898437500E3,2.188155164E-1
7.921875000E3,9.768669109E-2
7.945312500E3,8.639233609E-2
7.968750000E3,8.064471937E-2
7.992187500E3,1.287885341E-1
8.015625000E3,1.389545501E-1
8.039062500E3,7.774365751E-2
8.062500000E3,1.368568924E-1
8.085937500E3,9.738957274E-2
8.109375000E3,6.311621011E-2
8.132812500E3,1.183920533E-1
8.156250000E3,1.601628494E-1
8.179687500E3,1.136942395E-1
8.203125000E3,1.702751271E-1
8.226562500E3,8.381491086E-2
8.250000000E3,9.527600522E-2
8.273437500E3,1.332464571E-1
8.296875000E3,1.515164967E-1
8.320312500E3,7.357364074E-2
8.343750000E3,1.052203444E-1
8.367187500E3,1.062712293E-1
8.390625000E3,1.110630030E-1
8.414062500E3,9.968042063E-2
8.437500000E3,7.218455414E-2
8.460937500E3,1.177268103E-1
8.484375000E3,7.982465794E-2
8.507812500E3,1.539410088E-1
8.531250000E3,1.114762006E-1
8.554687500E3,1.140116622E-1
8.578125000E3,8.062988278E-2
8.601562500E3,7.992517534E-2
8.625000000E3,1.020022214E-1
8.648437500E3,1.500280374E-1
8.671875000E3,1.189690157E-1
8.695312500E3,7.599862063E-2
8.718750000E3,1.732418881E-1
8.742187500E3,1.000922844E-1
8.765625000E3,3.979445031E-2
8.789062500E3,1.106062686E-1
8.812500000E3,5.414597330E-2
8.835937500E3,8.679504868E-2
8.859375000E3,3.100888123E-2
8.882812500E3,1.240695866E-1
8.906250000E3,1.381044050E-1
8.929687500E3,1.878481919E-1
8.953125000E3,9.097861315E-2
8.976562500E3,1.132108005E-1
9.000000000E3,6.379372104E-2
9.023437500E3,6.474760572E-2
9.046875000E3,1.544590138E-1
9.070312500E3,8.365832606E-2
9.093750000E3,6.416046341E-2
9.117187500E3,1.213584485E-1
9.140625000E3,3.659448492E-2
9.164062500E3,4.303114281E-2
9.187500000E3,1.096201974E-1
9.210937500E3,1.292212872E-1
9.234375000E3,8.339359549E-2
9.257812500E3,1.037932373E-1
9.281250000E3,5.648669819E-2
9.304687500E3,9.901890246E-2
9.328125000E3,6.846646548E-2
9.351562500E3,8.493530983E-2
9.375000000E3,4.697273758E-2
9.398437500E3,1.026693184E-1
9.421875000E3,8.897227924E-2
9.445312500E3,9.553556343E-2
9.468750000E3,1.461435704E-1
9.492187500E3,1.274239666E-1
9.515625000E3,6.826677978E-2
9.539062500E3,1.427977059E-2
9.562500000E3,3.316974733E-2
9.585937500E3,4.210554123E-2
9.609375000E3,5.488200005E-2
9.632812500E3,5.113387659E-2
9.656250000E3,8.863311246E-2
9.679687500E3,7.762381462E-2
9.703125000E3,2.939336250E-2
9.726562500E3,9.424714871E-2
9.750000000E3,1.023671901E-1
9.773437500E3,5.875657906E-2
9.796875000E3,1.155005614E-1
9.820312500E3,9.614069725E-2
9.843750000E3,3.640238698E-2
9.867187500E3,5.737886428E-2
9.890625000E3,1.047019457E-1
9.914062500E3,9.152781273E-2
9.937500000E3,6.176903320E-2
9.960937500E3,1.306310788E-1
9.984375000E3,1.022939900E-1
1.000781250E4,1.435253648E-1
1.003125000E4,9.321515906E-2
1.005468750E4,8.321689872E-2
1.007812500E4,7.127017168E-2
1.010156250E4,6.157947129E-2
1.012500000E4,1.009649619E-1
1.014843750E4,7.801869236E-2
1.017187500E4,7.592990449E-2
1.019531250E4,8.694465985E-2
1.021875000E4,6.747602978E-2
1.024218750E4,9.901132001E-2
1.026562500E4,8.179333251E-2
1.028906250E4,6.517757164E-2
1.031250000E4,6.167422093E-2
1.033593750E4,1.127473575E-1
1.035937500E4,1.234142169E-1
1.038281250E4,8.422223791E-2
1.040625000E4,8.304586229E-2
1.042968750E4,8.662231735E-2
1.045312500E4,8.467974845E-2
1.047656250E4,8.154085357E-2
1.050000000E4,7.189580196E-2
1.052343750E4,4.427150564E-2
1.054687500E4,8.554552582E-2
1.057031250E4,2.599225819E-2
1.059375000E4,9.777240496E-2
1.061718750E4,1.125736445E-1
1.064062500E4,8.370071695E-2
1.066406250E4,3.484557294E-2
1.068750000E4,8.561043951E-2
1.071093750E4,5.499975217E-2
1.073437500E4,8.079105073E-2
1.075781250E4,4.289006626E-2
1.078125000E4,2.086503789E-2
1.080468750E4,3.243859367E-2
1.082812500E4,3.815875710E-2
1.085156250E4,1.051198862E-1
1.087500000E4,8.157935271E-2
1.089843750E4,5.656718164E-2
1.092187500E4,6.294842749E-2
1.094531250E4,6.990911739E-2
1.096875000E4,7.449802089E-2
1.099218750E4,1.055458190E-1
1.101562500E4,1.003394092E-1
1.103906250E4,6.666712919E-2
1.106250000E4,1.538464949E-2
1.108593750E4,1.406574168E-1
1.110937500E4,4.272838793E-2
1.113281250E4,9.855327717E-2
1.115625000E4,6.202456423E-2
1.117968750E4,1.432848765E-1
1.120312500E4,2.667068140E-1
1.122656250E4,2.030231014E-1
1.125000000E4,1.336813356E-1
1.127343750E4,1.780667029E-1
1.129687500E4,7.946102975E-2
1.132031250E4,6.815646564E-2
1.134375000E4,1.151322683E-1
1.136718750E4,1.215248362E-1
1.139062500E4,6.916616484E-2
1.141406250E4,1.272779690E-1
1.143750000E4,1.440103425E-1
1.146093750E4,9.396991457E-2
1.148437500E4,8.995796871E-2
1.150781250E4,1.217278850E-1
1.153125000E4,1.077793666E-1
1.155468750E4,1.095188192E-1
1.157812500E4,1.180396788E-1
1.160156250E4,7.993713416E-2
1.162500000E4,1.678604812E-1
1.164843750E4,1.232425168E-1
1.167187500E4,8.833191846E-2
1.169531250E4,7.755475046E-2
1.171875000E4,1.021991414E-1
1.174218750E4,9.210092689E-2
1.176562500E4,7.637330996E-2
1.178906250E4,6.681881305E-2
1.181250000E4,9.103036412E-2
1.183593750E4,4.697624176E-2
1.185937500E4,8.544381508E-2
1.188281250E4,7.705370725E-2
1.190625000E4,9.076262351E-2
1.192968750E4,3.996121629E-2
1.195312500E4,1.222019775E-1
1.197656250E4,1.324210751E-1
1.200000000E4,4.808365044E-2
1.202343750E4,4.456124246E-2
