"t (s)","Inclination (deg)","Rotation (deg)"
2.645708330E-3,1.032394250E1,-2.154479020E1
5.025996250E-1,1.220645923E1,5.441590515E-2
1.002555625E0,1.138213044E1,-3.368530747E0
1.502511500E0,1.112096131E1,-8.065784615E0
2.002467500E0,8.000083076E0,-2.421562508E0
2.502422458E0,1.166792255E1,8.140392544E0
3.002378458E0,1.036168548E1,2.683976946E1
3.502334333E0,5.987850014E0,1.297084557E1
4.002290333E0,6.203305369E0,2.403310422E1
4.502245958E0,8.170131070E0,1.589274564E1
5.002200958E0,6.159220875E0,-2.462750739E1
5.502157500E0,9.652899569E0,-1.530084557E1
6.002113500E0,6.400594918E0,1.602402787E1
6.502069833E0,1.007020339E1,-2.545505531E1
7.002025833E0,6.873218238E0,-1.138775300E1
7.501981708E0,7.873091064E0,3.365375454E0
8.001937708E0,7.145402985E0,4.384236289E-1
8.501894000E0,9.153689970E0,2.489552922E0
9.001850000E0,1.113338186E1,7.774843697E0
9.501804625E0,8.326337227E0,-1.412824482E1
1.000176062E1,8.646403453E0,-3.528277226E1
1.050171708E1,8.669955579E0,-2.774199993E1
1.150162838E1,6.481994746E0,-1.361412348E1
1.200158337E1,7.449555274E0,-8.765365869E0
1.250153933E1,5.230294141E0,-2.970813272E1
1.300149433E1,3.164043546E0,-3.725263678E0
1.350144937E1,5.734934157E0,-1.002011205E1
1.400140437E1,2.780209691E0,7.062894703E1
1.450135858E1,3.636775399E0,4.023078641E1
1.500131458E1,8.108947104E0,-1.922624829E1
1.550126946E1,4.822894806E0,-3.148902932E1
1.600122446E1,8.626278150E0,-3.519733239E1
1.650118033E1,6.311869647E0,-4.721854158E1
1.700113533E1,6.336876604E0,-4.037359066E1
1.750109008E1,7.266002976E0,-2.342188183E1
1.800104508E1,6.582054641E0,-2.419131577E1
1.850099958E1,6.796156194E0,-2.411766419E1
1.900095458E1,6.075422250E0,-2.443104313E1
1.950090883E1,7.283889404E0,-2.313330589E1
2.000086383E1,5.971396499E0,-1.756993373E1
2.050081962E1,8.869219013E0,-2.898359908E1
2.100077462E1,9.585768556E0,-4.204455936E1
2.150072883E1,5.940172683E0,-7.598533027E0
2.200068383E1,8.599737252E0,-2.192666518E1
2.300059458E1,3.563754505E0,4.030842843E1
2.350054996E1,5.348290708E0,4.116520923E1
2.400050496E1,4.768795674E0,-2.366386382E1
2.450046121E1,8.073646642E0,-1.381732044E1
2.500041621E1,6.363348578E0,-2.176724894E1
2.550037096E1,7.110234153E0,-1.111788963E1
2.600032596E1,6.483837582E0,3.256544547E1
2.650028133E1,6.809506259E0,2.192394883E1
2.700023733E1,6.961179793E0,5.408867215E0
2.750019121E1,7.172803367E0,-8.954877554E0
2.800014621E1,9.962925243E0,-1.156108526E1
2.850010221E1,7.569126910E0,1.513267955E1
2.900005721E1,6.897027932E0,1.884031571E1
2.950001158E1,4.677591185E0,2.063677318E1
2.999996658E1,7.157598204E0,3.924932739E1
3.049992171E1,6.581943841E0,-1.289271557E0
3.099987571E1,6.735711454E0,1.113419737E1
3.149982987E1,6.632165724E0,8.559912784E0
3.199978487E1,8.288444131E0,4.010461695E0
3.249973971E1,8.760161427E0,2.749763813E0
3.299969471E1,8.713985587E0,1.638722167E1
3.349964850E1,8.072917497E0,1.125323329E1
3.399960250E1,8.689463527E0,1.199732929E1
3.499951225E1,9.483980951E0,6.465557795E0
3.549946612E1,6.536479097E0,1.498412989E1
3.599942012E1,9.629850156E0,1.325621788E1
3.649937296E1,8.466045991E0,7.519499866E0
3.699932796E1,7.323050172E0,2.158647388E1
3.749928312E1,8.023585290E0,8.392428770E0
3.799923712E1,7.844444808E0,9.504244919E0
3.849919171E1,8.186137606E0,9.649250645E0
3.899914571E1,6.889444312E0,1.047154580E1
3.949910133E1,1.044344192E1,-1.474333365E0
3.999905633E1,8.287770639E0,1.706570603E0
4.049901050E1,7.530277200E0,6.449297568E0
4.099896550E1,6.852639314E0,-1.670474538E1
4.149892083E1,5.622913050E0,1.237749878E1
4.199887583E1,3.078254575E0,6.447522479E1
4.249883112E1,7.007782558E0,-7.674230542E0
4.299878612E1,4.087454438E0,1.593303016E1
4.349874025E1,3.324310684E0,-1.237824072E1
4.399869525E1,4.904569617E0,-4.109433006E-2
4.449865108E1,5.322142350E0,-1.585904912E1
4.499860608E1,4.663959842E0,-1.181370894E1
4.549856083E1,4.160299933E0,-3.644294064E1
4.649847121E1,5.316248453E0,-4.220086089E1
4.699842721E1,4.066321162E0,-6.813049477E1
4.749838225E1,3.155397986E0,-4.522328717E1
4.799833725E1,3.859465386E0,-8.145632353E1
4.849829158E1,3.911736388E0,-3.336691794E1
4.899824758E1,6.258649554E-1,-8.895837332E1
4.949820196E1,1.429201017E0,-5.091120094E1
4.999815696E1,3.498451415E0,-3.608546660E1
5.049811346E1,3.510215165E0,-3.129999263E1
5.099806846E1,3.955309675E0,-5.859009417E1
5.149802433E1,4.092786771E0,-2.865711746E1
5.199798033E1,3.804664764E0,-4.464526006E1
5.249793458E1,3.562773873E0,-3.537360098E1
5.299788958E1,3.409894996E0,-2.131416487E1
5.349784458E1,5.193605110E0,-4.810221739E1
5.399779937E1,3.829566740E0,-2.196037000E1
5.449775437E1,4.211770099E0,-5.178038896E1
5.499771008E1,5.108669723E0,-5.495744594E1
5.549766508E1,3.308561547E0,-5.455657008E1
5.599761908E1,6.244191716E0,-6.488424362E1
5.649757408E1,4.326856483E0,-4.699100785E1
5.699752983E1,4.999095920E0,-4.544458911E1
5.749748483E1,4.482414584E0,-4.393484078E1
5.799743958E1,5.052663311E0,-6.174001462E1
5.849739458E1,4.831887294E0,-5.784100311E1
5.899734896E1,4.937551159E0,-4.913548534E1
5.949730396E1,5.770458855E0,-5.039000343E1
6.049721446E1,6.767545907E0,-5.501852317E1
6.099717021E1,5.040456511E0,-5.463051945E1
6.149712521E1,4.255617818E0,-4.952717101E1
6.199708013E1,6.060110947E0,-5.790812600E1
6.249703512E1,4.722275023E0,-4.973114550E1
6.299698883E1,6.245635792E0,-4.604013957E1
6.349694383E1,6.170368320E0,-4.176960568E1
6.399689871E1,6.942397888E0,-5.134358544E1
6.449685371E1,7.622033571E0,-4.504339492E1
6.499680925E1,6.650559382E0,-4.990373994E1
6.549676325E1,6.797529343E0,-5.490909575E1
6.599671737E1,5.749146971E0,-4.317322077E1
6.649667237E1,7.783440376E0,-4.090733978E1
6.699662696E1,6.991399368E0,-4.750677504E1
6.749658196E1,6.590503654E0,-3.948356711E1
6.799653696E1,5.704205674E0,-4.678875484E1
6.849649096E1,7.488115944E0,-5.849666372E1
6.899644563E1,8.060133597E0,-4.693525384E1
6.949639963E1,8.057604051E0,-3.183046819E1
6.999635500E1,6.492079595E0,-3.117847018E1
7.049631000E1,6.125517957E0,-4.644932896E1
7.099626358E1,6.504191373E0,-4.055267568E1
7.149621858E1,7.339619773E0,-5.393806794E1
7.199617362E1,5.881079230E0,-5.146223158E1
7.299608258E1,6.617133030E0,-5.428406218E1
7.349603758E1,8.109896200E0,-6.256866967E1
7.399599333E1,6.765118864E0,-6.148281547E1
7.449594733E1,7.469221303E0,-5.440316252E1
7.499590221E1,6.488716047E0,-7.656464609E1
7.549585721E1,6.801662663E0,-5.237268278E1
7.599581133E1,5.019035389E0,-3.349654881E1
7.649576633E1,9.819091419E0,-5.803024122E1
7.699572037E1,5.920011697E0,-5.723469881E1
7.749567437E1,2.628023397E0,-1.186016584E1
7.799562883E1,7.728049322E-1,-8.070075831E1
7.849558383E1,1.994308014E0,-1.254701294E2
7.899553921E1,1.348004429E0,-7.397020603E1
7.949549421E1,1.273412986E0,3.539394020E1
7.999544733E1,3.375122177E0,3.581317833E1
8.049540233E1,2.507315524E0,-1.291598386E2
8.099535671E1,3.334419962E0,-2.546898959E1
8.149531171E1,3.859722623E0,-1.678051288E2
8.199526558E1,5.366780246E0,-3.482239766E1
8.249522058E1,1.478240840E0,-6.885072036E1
8.299517496E1,3.964021957E0,-3.031761546E1
8.349512996E1,4.815027117E0,-3.768996586E1
8.399508396E1,4.736169401E0,-1.329993690E0
8.499499321E1,3.645115453E0,4.328781015E1
8.549494821E1,7.780638657E0,-1.576859737E1
