"t (s)","Inclination (deg)","Rotation (deg)"
6.669487583E1,3.290123931E0,1.796710612E2
6.719496558E1,3.855981493E0,1.758517161E2
6.769505558E1,3.524766790E0,1.763677257E2
6.819514658E1,3.443653602E0,1.795344275E2
6.869523858E1,3.466674744E0,1.724452962E2
6.919532996E1,3.456887371E0,1.780406838E2
6.969542196E1,3.354926755E0,1.738034996E2
7.019551258E1,2.320662305E0,1.796489004E2
7.069560358E1,1.683473516E0,1.793393861E2
7.119569388E1,1.614822855E0,-1.799372101E2
7.169578288E1,1.895721739E0,-1.793055397E2
7.219587138E1,2.721515455E0,1.797961672E2
7.269595938E1,3.015246036E0,1.799832223E2
7.319604571E1,3.301809406E0,-1.798458137E2
7.369613171E1,4.222467152E0,-1.788647504E2
7.419621671E1,4.585428554E0,-1.794407671E2
7.469630071E1,5.215416584E0,-1.785717623E2
7.519638446E1,5.339597724E0,-1.789915766E2
7.569646546E1,5.557355260E0,-1.757313015E2
7.619654500E1,5.735717252E0,-1.789149492E2
7.719670196E1,4.803288011E0,-1.753995412E2
7.769677796E1,4.667328699E0,-1.758552183E2
7.819685421E1,3.949392593E0,-1.712291634E2
7.869692821E1,3.586056375E0,-1.707370553E2
7.919700246E1,3.161421723E0,-1.696908613E2
7.969707446E1,6.270166294E-1,-4.310043425E1
8.019714683E1,5.546194005E-1,-7.139160333E1
8.069721683E1,7.960284641E-1,-6.463558280E1
8.119728496E1,7.095753266E-1,-6.541981029E1
8.169735296E1,6.760843736E-1,-5.962982715E1
8.219742188E1,7.381313181E-1,-5.147978014E1
8.269748888E1,8.217378687E-1,-6.483816712E1
8.319755546E1,7.308300142E-1,-6.455156329E1
8.369762146E1,7.855950829E-1,-5.848512753E1
8.419768588E1,6.106153642E-1,-6.075117366E1
8.469774988E1,9.212355481E-1,-6.749791492E1
8.519781250E1,8.258147160E-1,-6.695471426E1
8.569787550E1,8.813088001E-1,-6.837823364E1
8.619793875E1,7.837344180E-1,-6.198105335E1
8.669800075E1,7.019887395E-1,-5.528654403E1
8.719806233E1,7.910979241E-1,-6.047597138E1
8.769812333E1,5.187953428E-1,-4.444509454E1
8.819818433E1,7.879848533E-1,-6.306047193E1
8.869824533E1,6.191525882E-1,-6.777170064E1
8.969836583E1,7.852508022E-1,-6.493253656E1
9.019842633E1,6.427864900E-1,-6.579741278E1
9.069848633E1,9.175651042E-1,-6.848460736E1
9.119854475E1,6.185759257E-1,-5.209623173E1
9.169860375E1,8.872893916E-1,-6.843115513E1
9.219866188E1,7.076439624E-1,-6.033485609E1
9.281873288E1,5.786610801E-1,-5.589492982E1
9.331879000E1,8.548226960E-1,-6.692556049E1
9.381884700E1,5.392867235E-1,-5.345145439E1
9.431890296E1,8.408015056E-1,-6.512832425E1
9.481895896E1,5.747809268E-1,-4.931250314E1
9.531901400E1,7.268923800E-1,-6.057409582E1
9.581906900E1,8.035361620E-1,-7.158492484E1
9.631912363E1,7.151048869E-1,-6.731454800E1
9.681917663E1,8.240745185E-1,-6.461303170E1
9.731938983E1,6.639495841E-1,-5.421390601E1
9.781949383E1,9.335855791E-1,-7.144564960E1
9.831954613E1,6.111696395E-1,-6.487349733E1
