"t (s)","Inclination (deg)","Rotation (deg)"
4.882541660E-3,6.577639733E0,-1.134314391E1
5.048749167E-1,6.312895700E0,-1.117209708E1
1.004868917E0,6.273948490E0,-1.130205070E1
1.504861667E0,5.799370343E0,1.199426572E1
2.004855667E0,6.320105871E0,5.052573748E0
2.504849083E0,6.546239371E0,3.814590190E0
3.004843083E0,6.339782619E0,3.237459337E0
3.504836958E0,6.187719877E0,2.086842966E0
4.004831958E0,6.229077293E0,-4.636769939E0
4.504827042E0,5.881834877E0,-3.879537481E0
5.004825042E0,5.991668063E0,-1.813662803E0
5.504823417E0,9.841097537E0,-1.633832271E2
6.004823417E0,5.802463476E0,-7.915466748E0
6.504822833E0,5.986396864E0,-6.920389435E0
7.004824833E0,5.799842731E0,-7.275915469E0
7.504826333E0,5.760367664E0,-5.861574382E0
8.004828333E0,5.906454884E0,-1.107970870E1
8.504830458E0,5.876219163E0,-7.221450606E0
9.004831458E0,5.608493347E0,-5.812220126E0
9.504832042E0,5.687790847E0,-1.171462435E1
1.000483304E1,5.616586086E0,-4.234042714E0
1.050483454E1,5.696086905E0,-6.973326724E0
1.100483454E1,5.579768789E0,-3.423190685E0
1.200483642E1,5.316851158E0,-9.406002652E0
1.250483742E1,4.973041894E0,-1.891723856E0
1.300483842E1,4.920198427E0,-7.725247924E0
1.350483908E1,4.623780417E0,-4.402147163E0
1.400483908E1,4.856441375E0,-9.935397476E0
1.450483858E1,4.823183368E0,-4.381079829E0
1.500483858E1,4.690122774E0,-3.071304160E0
1.550483771E1,4.840450127E0,-1.088082718E1
1.600483771E1,4.532543720E0,-3.908246308E-1
1.650483904E1,4.270209962E0,-4.178299685E0
1.700484104E1,4.003521865E0,-3.685316732E0
1.750484496E1,4.156412782E0,-2.909607062E0
1.800485096E1,4.111691313E0,-8.344379104E0
1.850485679E1,3.977882492E0,5.484093970E0
1.900486479E1,4.000749372E0,-9.570180768E0
1.950487367E1,4.152335229E0,-4.685495239E0
2.000488167E1,1.681294790E0,4.021522788E0
2.050489008E1,9.404019081E-1,3.002966898E1
2.100489908E1,6.890825911E-1,3.437035650E1
2.150490904E1,3.608594871E-1,1.514687562E2
2.200491904E1,1.620391457E0,5.821511870E1
2.250492892E1,1.894367518E0,-1.059198272E2
2.350495108E1,5.716231239E-1,-4.823293707E1
2.400496208E1,3.924795181E-1,1.265630959E2
2.450497192E1,4.076450239E-1,8.547960799E1
2.500498092E1,2.768895884E-1,3.654497232E1
2.550499017E1,1.925278266E-1,2.822877618E1
2.600499817E1,3.517158187E-1,-8.189030939E1
2.650500592E1,2.739496186E-1,-1.577824057E2
2.700501292E1,7.549022088E-1,-7.831063082E1
2.750502017E1,3.293886547E-1,-3.711038219E1
2.800502617E1,4.215983374E-1,-1.007068413E2
2.850503179E1,4.225209357E-1,-4.376002523E1
2.900503779E1,2.859783017E-1,-1.194155988E2
2.950504342E1,1.589816997E-1,5.002907358E1
3.000504842E1,3.032342943E-1,2.641700040E1
3.050505371E1,2.998523905E-1,3.223177873E1
3.100505971E1,6.134979737E-1,5.704181480E1
3.150506442E1,1.383746570E0,7.476020512E1
3.200507042E1,3.481326684E-1,3.328629845E1
3.250507917E1,1.101564007E0,6.431026185E1
3.300508617E1,1.400060632E-1,-1.342361015E2
3.350509117E1,1.291225738E0,1.367814810E2
3.400509717E1,2.076007413E0,1.575454687E2
3.450510342E1,2.245284107E0,1.615369581E2
3.500510642E1,3.635286855E0,-1.776118098E2
3.550510792E1,3.878527125E0,1.596791439E2
3.600510892E1,3.833870940E0,1.721061219E2
3.650510904E1,4.479740676E0,1.668218622E2
3.700510904E1,3.085145393E0,1.688662613E2
3.750510683E1,2.782885380E0,1.389680601E2
3.850510229E1,2.722957710E0,1.562032051E2
3.900509929E1,9.970490424E-1,-1.502927185E2
3.950509567E1,1.590454111E0,-1.704549253E2
4.000509067E1,1.786469140E0,1.477131619E2
4.050508529E1,1.760339885E0,1.693785625E2
4.100508029E1,3.431151123E0,1.590137699E2
4.150507483E1,4.166061625E0,1.677533895E2
4.200506883E1,2.014798896E0,1.610733221E2
4.250506096E1,2.129852369E0,1.567795301E2
4.300505396E1,3.374280374E0,1.642126808E2
4.350504542E1,4.374285991E0,1.611910057E2
4.400503742E1,4.433832847E0,1.728173392E2
4.450502979E1,3.565139183E0,1.627296212E2
4.500502179E1,2.349748673E0,1.612836197E2
4.550501217E1,2.681109009E0,1.665397362E2
4.600500317E1,3.798737597E0,1.656820139E2
4.650499496E1,5.421780676E0,1.698517536E2
4.700498496E1,5.914353342E0,1.685984324E2
4.750497517E1,5.921272795E0,1.685947445E2
4.800496517E1,3.631417140E0,1.654840224E2
4.850495408E1,2.571234660E0,1.650811847E2
4.900494308E1,3.195776259E0,1.592195720E2
4.950493196E1,4.007959491E0,1.666440455E2
5.000492096E1,4.770877932E0,1.626769307E2
5.050490992E1,4.744960641E0,1.681570794E2
5.150488317E1,1.707506231E0,1.725274719E2
5.200487117E1,2.116844915E0,1.557251292E2
5.250485967E1,2.606864273E0,1.610534953E2
5.300484867E1,4.561087042E0,1.629822675E2
5.350483992E1,4.420332530E0,1.659775561E2
5.400483192E1,3.840870404E0,1.636550281E2
5.450482479E1,3.191772808E0,1.646199331E2
5.500481779E1,4.051919737E0,1.629748704E2
5.550481208E1,5.297235622E0,1.708750402E2
5.600480608E1,5.819644356E0,1.682292353E2
5.650479992E1,5.774355078E0,1.697021945E2
5.700522292E1,6.007956197E0,1.674222115E2
5.750576754E1,6.793140021E0,1.701253188E2
5.800634054E1,6.714974317E0,1.689531398E2
5.850691167E1,6.830493626E0,1.695322502E2
5.900750167E1,6.376536399E0,1.702839521E2
5.950807408E1,4.840744524E0,1.692327331E2
6.000864708E1,3.535540947E0,1.687236557E2
6.050920892E1,7.802376173E-1,2.998817401E1
6.100920392E1,3.755713436E-1,8.474465704E1
6.150919992E1,4.827554508E-1,3.456252465E1
6.250919304E1,4.841035882E-1,3.458931984E1
6.300944604E1,4.572974367E-1,3.047114623E1
6.350999554E1,5.501378492E-1,3.880358657E1
6.401054754E1,5.488172040E-1,3.990015752E1
6.451112067E1,4.884383476E-1,3.647647419E1
6.501169467E1,5.244687179E-1,4.171389802E1
6.551225142E1,4.832239045E-1,4.744451919E1
6.601280142E1,4.630327165E-1,3.135708522E1
6.651335871E1,4.525294117E-1,4.086914376E1
6.701390871E1,5.648925171E-1,3.411208253E1
6.751446583E1,4.475531268E-1,3.996456502E1
6.801504783E1,5.117264690E-1,4.241330481E1
6.851561504E1,5.108352837E-1,4.282702876E1
6.901617604E1,4.534563945E-1,4.342200297E1
6.951660242E1,5.038857705E-1,3.193068210E1
7.001659242E1,4.296397742E-1,3.205535771E1
7.051658129E1,5.658611855E-1,4.056243688E1
7.101657029E1,4.235153432E-1,3.299379892E1
7.151666258E1,4.438932225E-1,3.762434754E1
7.201723458E1,4.662488989E-1,3.438507717E1
7.251782654E1,3.832661866E-1,3.076001894E1
