"t (s)","Inclination (deg)","Rotation (deg)"
6.849538804E1,5.778668051E0,8.674398518E1
6.899532892E1,5.787115995E0,7.190625464E1
6.949526992E1,5.540558423E0,7.289125200E1
7.049515212E1,4.763278246E0,7.834433928E1
7.099509212E1,6.688818491E0,8.428863912E1
7.149503312E1,8.062656864E0,8.450669761E1
7.199497513E1,7.522468311E0,9.750852202E1
7.249491612E1,7.289336141E0,1.021927681E2
7.299485588E1,6.976021776E0,9.268093355E1
7.349479687E1,6.615124887E0,9.165663324E1
7.399473738E1,4.455927725E0,9.262864811E1
7.449467738E1,7.955470761E0,9.154540889E1
7.499461867E1,7.280281753E0,9.038655790E1
7.549455967E1,7.221987211E0,9.205606673E1
7.599449937E1,5.836131282E0,8.632653583E1
7.649444038E1,7.833543529E0,8.552668140E1
7.699438104E1,9.151103624E0,7.311767189E1
7.749432204E1,9.179550202E0,9.838665235E1
7.799426150E1,2.472453934E0,8.286305200E1
7.849420250E1,9.180543485E0,6.167987737E1
7.899414350E1,1.195435621E1,8.149389675E1
7.949408350E1,9.204425091E0,9.834772040E1
7.999402525E1,8.565117881E0,9.614261179E1
8.049396525E1,8.618569378E0,9.397140636E1
8.099390567E1,8.673469186E0,9.785311117E1
8.149384667E1,7.983344062E0,9.501457440E1
8.199378687E1,7.653276503E0,9.433526061E1
8.249372788E1,8.280011953E0,9.582297718E1
8.349360837E1,9.182514882E0,1.045595766E2
8.399354967E1,1.090586944E1,9.143055731E1
8.449349067E1,9.167880019E0,1.035031858E2
8.499343162E1,9.882100748E0,9.336884272E1
8.549337263E1,9.751857183E0,8.938770200E1
8.599331492E1,9.465504363E0,8.577590102E1
8.649325792E1,9.680935898E0,8.801323875E1
8.699319954E1,1.004791561E1,8.807211104E1
8.749314254E1,9.778148894E0,8.732066343E1
8.799308437E1,1.018060477E1,8.635377816E1
8.849302737E1,9.345750546E0,9.097854285E1
8.899296937E1,8.843498959E0,8.567207544E1
8.949291237E1,1.025169205E1,8.751969114E1
8.999285487E1,1.002394201E1,8.923173146E1
9.049279688E1,9.967605906E0,8.761212418E1
9.099273888E1,1.028623786E1,7.205604405E1
9.149268088E1,9.533646679E0,7.358795790E1
9.199262262E1,1.021951204E1,7.637388395E1
9.249256462E1,1.002740145E1,7.260352192E1
9.299250729E1,1.006629790E1,7.369727357E1
