"t (s)","Inclination (deg)","Rotation (deg)"
3.944208322E-3,4.401357759E0,-6.547147724E-1
5.038762083E-1,4.709921792E0,5.965875225E-1
1.003807792E0,4.000108176E0,-2.044507796E0
1.503739792E0,3.897806896E0,5.412395772E-1
2.003672542E0,3.823389052E0,-4.206083985E-1
2.503604542E0,4.107756493E0,-1.538515471E0
3.003535458E0,4.165224940E0,-2.963454805E0
3.503467458E0,3.918444943E0,-4.557511919E0
4.003397667E0,4.260662923E0,2.137006318E-1
4.503328667E0,4.075602044E0,-4.452723093E0
5.003259542E0,4.117473454E0,2.190841130E0
5.503190542E0,3.686255823E0,3.750614345E0
6.003121417E0,3.649793065E0,6.473045831E-1
6.503052417E0,3.779638328E0,-2.867682477E0
7.002982917E0,3.852964852E0,-4.990707228E0
7.502913917E0,3.734093014E0,-5.625548574E0
8.002844167E0,4.119195526E0,-2.310250718E0
8.502775167E0,4.301347034E0,-7.164535433E-1
9.002705167E0,4.832963634E0,4.303925935E-1
9.502635167E0,4.665168743E0,2.626504255E0
1.000256608E1,3.685956765E0,-2.706165485E0
1.050249608E1,3.793846954E0,-2.392619591E0
1.100242567E1,4.800774735E0,-2.883037668E0
1.150235567E1,5.265458545E0,-1.129099923E1
1.200228604E1,5.323589299E0,-1.292936212E1
1.300214642E1,5.250161136E0,-1.553757055E1
1.350207642E1,5.245442374E0,-1.187937288E1
1.400200554E1,5.149397390E0,-9.347577809E0
1.450193554E1,5.534374909E0,-8.443684538E0
1.500186629E1,5.746225122E0,8.809314123E-3
1.550179629E1,6.011023127E0,7.081231729E-1
1.600172704E1,5.570023531E0,2.316747633E0
1.650165704E1,5.098927485E0,1.022185677E1
1.700158667E1,4.741900795E0,1.094646685E1
1.750151767E1,5.967411105E0,-1.008734228E1
1.800144858E1,5.192539918E0,8.191229684E0
1.850137958E1,7.250144728E0,-1.586268546E0
1.900131204E1,8.351162615E0,6.043289386E0
1.950124304E1,1.013140345E1,-5.807162141E0
2.000117542E1,9.145187539E0,3.945151664E-1
2.050110742E1,9.260020600E0,-6.789421862E-1
2.100103917E1,8.822162451E0,-2.135659454E0
2.150097117E1,9.279971974E0,-9.387179651E0
2.200090204E1,9.841769524E0,-2.791180642E-1
2.250083404E1,9.565388158E0,-9.455456223E0
2.300076579E1,1.024305733E1,8.199038337E0
2.350069679E1,9.106744274E0,-5.918806896E0
2.400062933E1,9.161569722E0,1.839912089E0
2.500049083E1,9.049118260E0,-7.605242733E0
2.550042283E1,9.397954389E0,-1.276135678E1
2.600035508E1,8.924470973E0,-1.361036729E1
2.650028508E1,9.747885915E0,-1.666439370E1
2.700021567E1,9.955262477E0,-1.651513869E1
2.750014667E1,9.746157544E0,-1.527061982E1
2.800007704E1,9.812281917E0,-1.002024800E1
2.850000704E1,9.493895758E0,-7.987642160E0
2.899993804E1,9.432949709E0,-8.057028809E0
2.949986804E1,8.987865116E0,-1.688123470E0
2.999979817E1,1.017825396E1,-7.452521008E0
3.049972817E1,1.132682500E1,-1.040190865E1
3.099965979E1,1.122570701E1,-3.176040633E0
3.149958979E1,1.084653150E1,-3.516157694E0
3.199951992E1,1.114331033E1,3.162045079E0
3.249945092E1,1.111099621E1,6.085482372E0
3.299938133E1,1.184915360E1,-1.687543755E0
3.349931133E1,1.150181399E1,4.070551259E0
3.399924058E1,1.177900007E1,3.341410066E0
3.449917058E1,1.211562038E1,5.177162098E0
3.499910129E1,1.211057309E1,2.949438740E0
3.549903129E1,1.292243885E1,3.178742253E0
3.599896083E1,1.299382550E1,-3.927326790E-2
3.649889083E1,1.328627847E1,5.796232374E-1
3.699882117E1,1.260214266E1,-1.892133121E0
3.749875117E1,1.268168016E1,-9.890613579E-1
3.799868067E1,1.265084930E1,-6.131348300E-1
3.849861067E1,1.210176711E1,-6.526290649E-1
3.899853917E1,1.224285029E1,-1.387344876E0
3.999839942E1,1.265477372E1,-2.458279748E0
4.049832942E1,1.314580987E1,-4.870393837E0
4.099825983E1,1.302732812E1,-1.464083986E0
4.149818883E1,1.238317376E1,2.354671418E0
4.199811942E1,1.183085119E1,4.317192042E-1
4.249804942E1,1.254643359E1,-2.585495028E-1
4.299797867E1,1.201336912E1,3.121665241E-1
4.349790867E1,1.203532635E1,-4.462197906E-1
4.399783792E1,1.274493984E1,-1.032883846E0
4.449776792E1,1.202451311E1,4.324767646E-1
4.499769846E1,1.246266677E1,8.760515401E-1
4.549762746E1,1.244678223E1,4.291585348E-1
4.599755721E1,1.196005445E1,1.579678846E0
